IterType,MinNormIw,MaxVanillaIw,AvgVanillaIw,ESSRenyi,AvgNormIw,BatchSize,eRenyi2,VarNormIw,Bound,VanillaAvgRet,MaxNormIw,MinVanillaIw,VarVanillaIw,Delta,AvgDiscRet,J,VarDiscRet,AvgEpLen,ESSClassic,VarJ,VarRet,AvgRet,EpsThisIter
1,4.1895542e-05,9.668924,1.0702236,28.728024979104514,0.010000002,100,3.4809215,0.00029662217,45.559784,108.8423725164873,0.0903449,0.00448376,3.397447,0.25,108.8423725164873,323.41705,27085.56038992746,11.89,25.402894427579536,711.3671,27085.56038992746,108.8423725164873,100
1,0.00041975686,7.7843084,1.0379003,51.19842192364066,0.010000002,100,1.9531852,0.000118944474,-320.3645,350.075069965666,0.07500054,0.043566577,1.281314,0.25,350.075069965666,889.83154,414484.175605813,36.01,45.923160365611736,3338.622,414484.175605813,350.075069965666,100
1,4.3702842e-13,7.8724794,1.0257263,27.952859992113254,0.01,100,3.5774515,0.00028695268,266.94373,515.3032788707492,0.07675029,4.4827156e-11,3.0190701,0.25,515.3032788707492,1242.9868,337122.8891261257,52.55,26.03603019865192,1792.3422,337122.8891261257,515.3032788707492,100
1,2.194229e-14,15.675695,1.1316953,18.336741166847442,0.01,100,5.4535317,0.00048631537,1780.9817,1346.032476553726,0.13851516,2.4831985e-12,6.2284083,0.25,1346.032476553726,3803.391,2372611.138657027,135.54,17.198316785658125,3186.0913,2372611.138657027,1346.032476553726,100
1,3.4886705e-06,5.294354,1.0891651,43.89626580161498,0.01,100,2.278098,0.00014305385,3366.7566,3146.4956564731074,0.048609287,0.00037997382,1.69702,0.25,3146.4956564731074,4673.88,3891468.232120498,315.24,41.386736717990956,790.4544,3891468.232120498,3146.4956564731074,100
1,0.0004374737,1.8260844,1.041807,83.4425328722642,0.01,100,1.1984296,1.824626e-05,3928.0022,4624.49471841894,0.017528048,0.04557632,0.19803795,0.25,4624.49471841894,4876.0645,1125536.7908412232,462.63,84.69997207998244,457.6289,1125536.7908412232,4624.49471841894,100
1,0.00065818825,1.8982211,0.9700633,83.62303537990896,0.01,100,1.1958427,2.5226926e-05,3966.5903,4658.927968467305,0.019568013,0.06384843,0.23739116,0.25,4658.927968467305,4913.629,1055472.1034468734,466.06,80.01622929820682,288.62747,1055472.1034468734,4658.927968467305,100
1,0.0033854006,1.212395,0.96995604,97.02816678057899,0.010000002,100,1.0306286,3.815527e-06,4079.4924,4928.37714223455,0.012499483,0.328369,0.035897046,0.25,4928.37714223455,4958.68,220276.5553671289,492.9,96.36011871839963,252.97061,220276.5553671289,4928.37714223455,100
1,0.0013271414,1.3903798,0.99279886,92.91695788800929,0.009999999,100,1.0762298,9.022165e-06,4031.663,4862.598337402502,0.014004648,0.13175845,0.08892691,0.25,4862.598337402502,4930.091,566690.164173663,486.32,91.80045277422555,399.5678,566690.164173663,4862.598337402502,100
1,0.0075717564,1.052956,0.99833,99.85994669522412,0.01,100,1.0014025,2.1172704e-07,4128.85,4994.092018185999,0.010547173,0.7559112,0.0021102044,0.25,4994.092018185999,4995.4824,3259.3816371569515,499.44,99.79083425268516,43.118347,3259.3816371569515,4994.092018185999,100
