MaxNormIw,VarJ,VanillaAvgRet,renyi2,AvgRet,VarDiscRet,SamplesThisIter,AvgEpLen,VarVanillaIw,VarNormIw,delta,AvgNormIw,MaxVanillaIw,Bound,ESSRenyi,BatchSize,AvgVanillaIw,AvgDiscRet,J,MinVanillaIw,ESSClassic,VarRet,EpsThisIter,MinNormIw,IterType
0.0180945,64.1668,-1.60558555704,nan,-1.60558555704,24.7753758727,50000,500.0,2408.28,1.46666e-07,0.6,5.52486e-05,2318.65,3.07611,nan,100,7.07963,-1.60558555704,1123.44,1.02624e-31,1.34594456858,24.7753758727,100,8.00869e-37,1
0.00407716,72.4131,-3.41160313768,nan,-3.41160313768,32.7613254837,50000,500.0,462.899,4.52065e-08,0.6,5.52486e-05,412.572,2.17811,nan,100,5.59067,-3.41160313768,960.145,,0.767472691478,32.7613254837,100,,1
0.114545,246.366,-3.06890608362,nan,-3.06890608362,29.2194206261,50000,500.0,38759.3,1.65126e-06,0.6,5.52486e-05,17549.1,2.12473,nan,100,8.4645,-3.06890608362,1342.77,,0.50059981985,29.2194206261,100,,1
0.314545,43.9004,-0.835412072568,nan,-0.835412072568,27.8637165664,50000,500.0,inf,1.64537e-05,0.6,5.52486e-05,4.45584e+21,5.65363,nan,100,7.82651e+17,-0.835412072568,1913.16,,2.98957164079,27.8637165664,100,,1
0.205387,65.1451,-2.13440886231,nan,-2.13440886231,19.1952924135,50000,500.0,7.41282e+14,1.10574e-05,0.6,5.52486e-05,1.68166e+09,2.17574,nan,100,452363.0,-2.13440886231,1408.07,,4.99462092993,19.1952924135,100,,1
0.00295775,64.463,-2.61686829175,nan,-2.61686829175,31.8420286849,50000,500.0,363.45,4.04562e-08,0.6,5.52486e-05,280.344,2.58726,nan,100,5.23662,-2.61686829175,1019.48,8.88754e-22,0.690891308377,31.8420286849,100,9.37675e-27,1
0.00607234,58.6385,-2.20264145781,nan,-2.20264145781,28.9563251483,50000,500.0,1660.94,7.17062e-08,0.6,5.52486e-05,924.177,3.38526,nan,100,8.40853,-2.20264145781,1141.87,6.48285e-22,1.74127088391,28.9563251483,100,4.25958e-27,1
0.00606788,90.9932,-2.20822657692,nan,-2.20822657692,24.1087242698,50000,500.0,187.063,4.10324e-08,0.6,5.52486e-05,409.701,1.87199,nan,100,3.73036,-2.20822657692,819.328,1.74663e-26,1.94977210072,24.1087242698,100,2.58685e-31,1
0.0191471,118.782,-1.9085360942,nan,-1.9085360942,15.7692854504,50000,500.0,549.595,1.28127e-07,0.6,5.52486e-05,1254.02,2.45928,nan,100,3.61845,-1.9085360942,899.615,1.08764e-30,2.33375824932,15.7692854504,100,1.66067e-35,1
0.324221,26.1642,-0.802914199842,nan,-0.802914199842,20.5320182767,50000,500.0,5.55638e+12,1.74241e-05,0.6,5.52486e-05,1.83089e+08,6.32687,nan,100,31199.1,-0.802914199842,1648.88,,2.99946417751,20.5320182767,100,,1
0.0745464,372.825,-2.10866622203,nan,-2.10866622203,27.6792349135,50000,500.0,2010.0,4.30981e-07,0.6,5.52486e-05,5090.92,2.00459,nan,100,3.77303,-2.10866622203,1536.82,1.28179e-24,0.791744733573,27.6792349135,100,1.87693e-29,1
0.499992,90.2845,-2.16716434917,nan,-2.16716434917,41.4643479204,50000,500.0,inf,2.76219e-05,0.6,5.52486e-05,1.09288e+21,7.68997,nan,100,1.20762e+17,-2.16716434917,2971.21,,1.99999982852,41.4643479204,100,,1
0.198304,104.265,-0.404041326852,nan,-0.404041326852,38.4443394311,50000,500.0,1.18301e+07,4.79675e-06,0.6,5.52486e-05,311425.0,8.81712,nan,100,86.7646,-0.404041326852,2536.8,,1.81524969814,38.4443394311,100,,1
0.00756115,161.323,-0.0267819579519,nan,-0.0267819579519,38.4533933837,50000,500.0,1114.84,9.41263e-08,0.6,5.52486e-05,822.883,5.56159,nan,100,6.01273,-0.0267819579519,2101.45,1.62267e-30,0.724489909401,38.4533933837,100,1.491e-35,1
0.254307,130.997,-0.329594837277,nan,-0.329594837277,80.9559082135,50000,500.0,3.66907e+18,1.37014e-05,0.6,5.52486e-05,1.31599e+11,14.093,nan,100,2.85902e+07,-0.329594837277,5327.27,,1.0436126623,80.9559082135,100,,1
0.00584635,356.346,2.98995249342,nan,2.98995249342,78.8408201106,50000,500.0,350.9,7.50444e-08,0.6,5.52486e-05,399.777,12.4797,nan,100,3.77793,2.98995249342,3584.73,4.16675e-27,0.307480770847,78.8408201106,100,6.09348e-32,1
0.0831334,295.884,3.4671378106,nan,3.4671378106,149.565009763,50000,500.0,1.39544e+07,1.80644e-06,0.6,5.52486e-05,231057.0,20.7755,nan,100,153.555,3.4671378106,6652.64,,0.84614595983,149.565009763,100,,1
0.0560631,691.317,4.6207685552,nan,4.6207685552,164.564854577,50000,500.0,8545.98,3.98357e-07,0.6,5.52486e-05,8211.5,20.6669,nan,100,8.09219,4.6207685552,6554.24,,0.590757098866,164.564854577,100,,1
