InitialReturnMax,InitialReturnStd,EpisodesSoFar,EmpiricalD2,ESSRenyi,InitialReturnMean,MaxIWNorm,MeanEntropy,OptimizationReturnMax,ReturnStepMax,MaxIW,ESSClassic,J_sample_variance,VarianceInit,InitialBound,StdIWNorm,MinIW,Iteration,LearnableVariance,Weights,Bound,MeanIWNorm,OptimizationReturnMin,MeanIW,EpRewMean,ReturnStepMaxmin,InitialReturnMin,ReturnMeanIW,EpLenMean,MinIWNorm,OptimizationReturnMean,StdIW,TimeElapsed,EpThisIter,TimestepsSoFar
-410.1351,1.0621017,100,16.080212,6.2188234,-414.39172,0.06974328,1.466238,6.225281,0.8429837,6.9743285,23.42537,69001.99,-1,-428.27048,0.011349072,0.0044970373,1,True,[-0.  0.  0.],-315.91922,0.0062771295,,0.62771297,-414.3917725993693,0.8429837,-416.36038,-260.26553,500.0,4.4970373e-05,1.9686084,1.1349072,5.1140265464782715,100,50000
-413.07474,0.7590873,200,14.301621,6.992214,-414.6939,0.07723767,1.4957302,3.1151733,0.84227,7.7237673,26.441336,93588.14,-1,-428.5669,0.012198532,0.0094509395,2,True,[ 0.012 -0.072  0.047],-356.13623,0.007313618,,0.73136187,-414.6939115126431,0.84227,-416.1899,-303.67206,500.0,9.450939e-05,1.4960028,1.219853,11.278494119644165,100,100000
-414.2743,0.45839667,300,3.7492697,26.671862,-415.4028,0.08231893,1.4626431,1.921936,0.8429707,8.231894,31.244505,138735.19,-1,-429.27597,0.013209184,0.011061477,3,True,[-0.056 -0.259  0.077],-396.60168,0.00890449,,0.89044905,-415.40278147861363,0.8429707,-416.19623,-369.73895,500.0,0.00011061476,0.7934448,1.3209184,16.600403785705566,100,150000
-412.11713,0.6829117,400,1.1224456,89.09118,-415.2069,0.031018354,1.4696748,4.0378723,0.842835,3.1018355,85.40797,159484.78,-1,-429.07874,0.003946644,0.31729877,4,True,[-0.133 -0.155  0.044],-410.98495,0.009548152,,0.95481515,-415.20691445752976,0.842835,-416.155,-396.28836,500.0,0.0031729876,0.9480844,0.39466444,22.516535758972168,100,200000
-411.88028,0.83913505,500,1.1555156,86.54146,-414.95364,0.02220326,1.457953,4.3652954,0.84341633,2.220326,85.08143,169324.33,-1,-428.82846,0.004118824,0.33056468,5,True,[-0.245 -0.117  0.051],-423.19324,0.009836191,,0.98361915,-414.9536283031106,0.84341633,-416.24557,-408.27847,500.0,0.0033056466,1.291948,0.41188243,27.743110418319702,100,250000
-412.69885,0.59496367,600,41.32234,2.4199986,-415.0993,0.09016301,1.3942325,3.3727417,0.84207964,9.016301,17.33988,60121.195,-1,-428.96835,0.012802168,0.00027168484,6,True,[-0.235 -0.133  0.039],-332.6469,0.005863522,,0.5863522,-415.09933105051516,0.84207964,-416.0716,-243.49323,500.0,2.7168483e-06,0.9722644,1.2802167,33.742016077041626,100,300000
-412.92264,0.6415845,700,3.4612107,28.891624,-414.93164,0.080072895,1.4126403,3.153839,0.8423727,8.00729,40.537422,111985.86,-1,-428.80084,0.009691971,0.10430335,7,True,[-0.231 -0.074 -0.025],-357.5817,0.008002365,,0.8002365,-414.9316610392928,0.8423727,-416.07648,-331.77896,500.0,0.0010430336,1.1448153,0.96919715,39.606406450271606,100,350000
-410.97906,1.1009848,800,42.3302,2.3623796,-414.14868,0.06536964,1.3527863,5.04541,0.8435002,6.5369644,19.742378,56042.742,-1,-428.01617,0.0114152795,0.00041145823,8,True,[-0.445  0.057 -0.006],-324.93967,0.0056616515,,0.56616515,-414.14869172737,0.8435002,-416.02448,-234.71552,500.0,4.114582e-06,1.8757827,1.1415279,46.7293701171875,100,400000
-412.8946,0.73470396,900,44.4915,2.2476203,-414.98517,0.03781969,1.3386818,3.3769531,0.84218585,3.781969,25.690868,31745.592,-1,-428.86084,0.007242432,0.005196292,9,True,[-0.452 -0.041 -0.066],-268.90912,0.0042584613,,0.42584613,-414.9851418696344,0.84218585,-416.27155,-176.35538,500.0,5.1962917e-05,1.2864041,0.7242432,54.6016685962677,100,450000
-405.69946,2.0301933,1000,1.2156833,82.25826,-412.3829,0.018803533,1.3377097,10.091919,0.8447987,1.8803535,84.99084,167570.22,-1,-426.24258,0.004116529,0.16068204,10,True,[-0.454  0.207 -0.08 ],-419.98187,0.00979579,,0.97957885,-412.3828567028046,0.8447987,-415.79138,-404.70044,500.0,0.0016068204,3.4085238,0.41165292,65.52087640762329,100,500000
-408.1948,1.5940534,1100,43.963505,2.2746139,-413.17563,0.053832583,1.3018655,7.942993,0.8431011,5.3832583,21.005732,34072.055,-1,-427.04684,0.008556203,0.002125482,11,True,[-0.46   0.165 -0.081],-273.6018,0.004412169,,0.44121698,-413.1756157487631,0.8431011,-416.1378,-181.62846,500.0,2.125482e-05,2.9621763,0.8556203,78.80112719535828,100,550000
-400.79602,3.3487966,1200,5.3408685,18.723547,-408.91,0.048004653,1.3175541,14.488953,0.85086787,4.8004656,42.711536,127841.8,-1,-422.75284,0.009920941,0.013489832,12,True,[-0.431  0.323 -0.117],-384.45453,0.008566273,,0.8566273,-408.9100035068393,0.85086787,-415.28497,-352.46332,500.0,0.00013489832,6.374971,0.99209416,95.23732399940491,100,600000
-405.17307,2.3647163,1300,39.29207,2.545043,-411.79828,0.035656687,1.2556771,10.537262,0.8488362,3.5656686,21.021994,18424.768,-1,-425.65527,0.0062951786,0.00027986348,13,True,[-0.487  0.245 -0.101],-220.5459,0.00324782,,0.324782,-411.7982658562064,0.8488362,-415.71033,-133.68546,500.0,2.7986348e-06,3.9120643,0.6295179,114.36587285995483,100,650000
