TimeElapsed,LearnableVariance,ReturnMeanIW,InitialReturnStd,InitialReturnMin,Weights,EpLenMean,StdIW,OptimizationReturnMax,StdIWNorm,MeanIW,EpThisIter,EpRewMean,MaxIWNorm,VarianceInit,OptimizationReturnMean,Bound,MaxIW,InitialReturnMean,Iteration,MeanEntropy,ESSClassic,InitialBound,MinIW,ESSRenyi,EpisodesSoFar,ReturnStepMax,EmpiricalD2,MeanIWNorm,OptimizationReturnMin,J_sample_variance,MinIWNorm,TimestepsSoFar,InitialReturnMax,ReturnStepMaxmin
925.3911275863647,,-270.30573,2.3106828,-416.38913,[-0.05   0.225],500.0,1.1738582,9.56543,0.011738582,0.6562723,100,-413.6716955886781,0.08872778,-1.0,2.717433,-341.76605,8.872778,-413.6717,16,0.4189424,23.813148,-427.55133,0.0557869,3.772475,1600,0.8433569,26.507797,0.006562723,,75523.47,0.000557869,800000,-406.8237,0.8433569
995.8329033851624,,-334.6602,3.8522935,-416.29462,[-0.159  0.289],500.0,0.86992043,14.80014,0.008699205,0.8118463,100,-409.4618971627951,0.055436477,-1.0,6.832715,-374.21292,5.543648,-409.46188,17,0.4189424,46.550945,-423.33835,0.009634218,12.308523,1700,0.8438085,8.124452,0.008118463,,115386.46,9.634218e-05,850000,-401.49448,0.8438085
1054.1329064369202,,-295.03293,2.6412585,-416.40216,[-0.159  0.248],500.0,2.2900612,10.157928,0.022900613,0.71950185,100,-413.23690897539257,0.21748924,-1.0,3.1652546,-355.033,21.748924,-413.2369,18,0.4189424,8.984333,-427.11697,0.027091976,5.3515544,1800,0.84302837,18.68616,0.0071950187,,91110.445,0.00027091976,900000,-406.24423,0.84302837
1123.7423377037048,,-223.80708,4.3241243,-416.31476,[-0.184  0.308],500.0,1.3061308,16.430054,0.013061306,0.5513618,100,-409.107064088285,0.124844834,-1.0,7.2076893,-305.69702,12.484484,-409.10706,19,0.4189424,15.124543,-422.9842,0.00860017,2.8717067,1900,0.8438528,34.8225,0.005513618,,53673.984,8.6001695e-05,950000,-399.8847,0.8438528
1195.8452780246735,,-242.25623,5.175992,-415.86884,[-0.233  0.358],500.0,1.2409391,23.50705,0.012409391,0.60339105,100,-402.74170654952525,0.105017185,-1.0,13.127132,-311.22076,10.5017185,-402.74173,20,0.4189424,19.121778,-416.604,0.0007475442,4.0403466,2000,0.84949535,24.75035,0.006033911,,64278.246,7.475442e-06,1000000,-392.3618,0.84949535
1272.1094102859497,,-391.3339,6.4437637,-415.29755,[-0.401  0.374],500.0,0.41190305,31.8208,0.0041190307,0.973296,100,-400.6821136325598,0.024766516,-1.0,14.615435,-406.2367,2.4766517,-400.6821,21,0.4189424,84.8103,-414.5254,0.18470591,86.28602,2100,0.8499226,1.1589363,0.00973296,,165074.36,0.0018470591,1050000,-383.47675,0.8499226
1351.1727187633514,,-316.86526,5.9754195,-416.3697,[-0.398  0.366],500.0,1.7177453,25.773468,0.017177451,0.7937756,100,-402.9296500635147,0.10983433,-1.0,13.440039,-374.7018,10.983433,-402.92966,22,0.4189424,17.59641,-416.80865,0.00514587,5.7585187,2200,0.84985334,17.365578,0.007937755,,111781.9,5.14587e-05,1100000,-390.59622,0.84985334
1427.5458598136902,,-250.86844,6.2277575,-416.37823,[-0.366  0.401],500.0,1.1021839,30.66101,0.01102184,0.63533247,100,-397.3722630417347,0.06312353,-1.0,19.00597,-329.1864,6.312353,-397.37225,23,0.4189424,24.940258,-411.25153,0.0009384508,3.1405864,2300,0.8510485,31.841188,0.0063533247,,71542.19,9.384507e-06,1150000,-385.71722,0.8510485
1505.7950553894043,,-218.69995,7.8949494,-416.07986,[-0.278  0.428],500.0,1.1256424,40.779327,0.011256425,0.5625248,100,-393.3608656668663,0.067858815,-1.0,22.719004,-295.49286,6.785882,-393.3609,24,0.4189424,19.983149,-407.2302,0.0032789046,3.2618847,2400,0.85312927,30.657124,0.005625248,,56606.35,3.2789045e-05,1200000,-375.30054,0.85312927
1582.0680389404297,,-216.50067,12.593536,-412.53076,[-0.318  0.462],499.38,0.7642047,80.17441,0.0076420465,0.5582784,100,-383.1845918977261,0.044590354,-1.0,29.346169,-279.68674,4.4590354,-383.18457,25,0.4189424,34.797424,-396.9356,0.0027336613,4.7361736,2500,0.8581567,21.11409,0.0055827834,,53958.02,2.7336613e-05,1249938,-332.35635,0.8581567
1646.098869562149,,-249.94162,10.001633,-413.52933,[-0.426  0.455],500.0,1.072978,60.686188,0.01072978,0.6396521,100,-385.48941590979695,0.084202476,-1.0,28.03991,-307.89984,8.420248,-385.48944,26,0.4189424,26.22053,-399.27368,0.00020149566,5.656398,2600,0.8572883,17.679096,0.006396521,,71485.08,2.0149564e-06,1299938,-352.84314,0.8572883
1718.5327322483063,,-216.30034,6.5099206,-409.86337,[-0.42   0.427],500.0,0.97373253,31.342072,0.009737325,0.5529884,100,-392.8272930467129,0.07695798,-1.0,17.036074,-293.23126,7.695798,-392.8273,27,0.4189424,24.386612,-406.48938,0.0015678639,3.153798,2700,0.8521284,31.7078,0.0055298842,,52368.844,1.567864e-05,1349938,-378.5213,0.8521284
1787.359619140625,,-368.47693,12.735275,-413.08606,[-0.412  0.46 ],499.35,0.44717094,104.290955,0.0044717095,0.96395254,100,-384.3550304275751,0.030052466,-1.0,28.73103,-383.3084,3.0052466,-384.35504,28,0.4189424,82.2912,-398.12457,0.32535395,86.192566,2800,0.8545676,1.1601928,0.009639526,,160994.08,0.0032535393,1399873,-308.7951,0.8545676
1851.9343485832214,,-236.56589,9.883773,-400.86072,[-0.436  0.464],499.72,1.235152,68.56537,0.012351519,0.61945915,100,-383.84398375689983,0.086031996,-1.0,17.016735,-305.9155,8.6032,-383.84402,29,0.4189424,20.097605,-397.20602,0.0064508105,3.7124155,2900,0.8540288,26.93664,0.0061945915,,63099.89,6.45081e-05,1449845,-332.29535,0.8540288
1925.654777288437,,-227.94522,18.55031,-411.1243,[-0.388  0.49 ],498.08,1.3799075,145.8563,0.013799075,0.622105,100,-372.65067365974187,0.12358655,-1.0,38.47362,-288.2717,12.358655,-372.65067,30,0.4189424,16.891653,-386.3548,0.0052702622,5.160453,3000,0.8575182,19.378145,0.0062210504,,71694.52,5.270262e-05,1499653,-265.268,0.8575182
1989.4345872402191,,-263.3141,55.4594,-398.91876,[-0.399  0.515],454.12,1.3169287,239.84799,0.013169287,0.85141164,100,-332.04667342364786,0.08227037,-1.0,66.872086,-301.35495,8.227037,-332.0467,31,0.4189424,29.4771,-345.34396,0.008104689,12.218719,3100,0.85899067,8.184164,0.0085141165,,152808.55,8.104689e-05,1545065,-159.07077,0.85899067
