MeanEntropy,ReturnStepMaxmin,InitialReturnMax,VarianceInit,J_sample_variance,LearnableVariance,MaxIW,ESSRenyi,MinIW,TimeElapsed,EpLenMean,OptimizationReturnMax,MaxIWNorm,EmpiricalD2,Weights,Iteration,ReturnStepMax,Bound,MinIWNorm,InitialBound,InitialReturnMean,ReturnMeanIW,OptimizationReturnMin,InitialReturnStd,EpThisIter,MeanIWNorm,MeanIW,ESSClassic,EpisodesSoFar,StdIWNorm,TimestepsSoFar,EpRewMean,OptimizationReturnMean,StdIW,InitialReturnMin
0.4189424,0.84200704,-415.2574,-1.0,64923.484,,4.727009,4.1260543,0.0062213065,71.37577486038208,500.0,1.2664185,0.047270086,24.23623,[ 0. -0.],1,0.84200704,-321.54095,6.221306e-05,-430.0615,-416.17737,-253.18898,,0.26960856,100,0.0060866266,0.60866266,32.944405,100,0.008683672,50000,-416.1773861196637,0.34641662,0.86836725,-416.5238
0.4189424,0.84221107,-412.4548,-1.0,104295.49,,4.7337313,12.153022,0.0028642623,135.90178275108337,500.0,4.097534,0.047337312,8.228406,[0.309 0.124],2,0.84221107,-360.5236,2.8642622e-05,-429.46466,-415.57956,-320.69397,,0.80810046,100,0.0077139176,0.77139175,42.750557,200,0.008926675,100000,-415.5795876145363,0.97274935,0.8926674,-416.55234
0.4189424,0.84195805,-411.75687,-1.0,132381.0,,2.861898,45.648422,0.006201229,206.87785506248474,500.0,4.8037415,0.028618978,2.1906562,[0.668 0.087],3,0.84195805,-382.0547,6.201229e-05,-429.6204,-415.73508,-361.50317,,0.6884035,100,0.008690641,0.86906415,66.64233,300,0.0061485777,150000,-415.7350484843552,0.82555604,0.6148578,-416.5606
0.4189424,0.842071,-414.22006,-1.0,87194.414,,3.5617645,8.290747,0.00016440562,266.83957505226135,500.0,2.2941284,0.035617646,12.06164,[0.867 0.039],4,0.842071,-341.80383,1.6440562e-06,-429.854,-415.97015,-293.58554,,0.40396306,100,0.0070539443,0.7053944,50.629017,400,0.0069657527,200000,-415.97018024951217,0.5440082,0.69657534,-416.5142
0.4189424,0.841779,-415.74158,-1.0,31107.389,,3.9043086,3.7994387,0.013416471,335.7579276561737,500.0,0.9017029,0.039043084,26.319677,[ 0.636 -0.068],5,0.841779,-246.52538,0.0001341647,-430.13528,-416.24716,-175.27562,,0.17260833,100,0.0042119552,0.42119554,34.44357,500,0.0058108186,250000,-416.247161436826,0.39611542,0.58108187,-416.64328
0.4189424,0.8419206,-413.93112,-1.0,37563.08,,5.345024,3.2566414,0.03395216,401.5911567211151,500.0,2.606079,0.05345024,30.706482,[0.848 0.102],6,0.8419206,-269.17807,0.00033952162,-429.68216,-415.79755,-192.23889,,0.5733958,100,0.004629454,0.46294543,28.007158,600,0.007422324,300000,-415.79755396440623,0.73964846,0.74223244,-416.5372
0.4189424,0.84304756,-406.06454,-1.0,32046.49,,3.75152,5.257175,0.0074813333,468.0271189212799,500.0,10.150696,0.037515197,19.021624,[0.87  0.226],7,0.84304756,-237.18753,7.481333e-05,-427.43192,-413.55807,-176.67845,,2.3569367,100,0.0042784438,0.4278444,41.43931,700,0.005086074,350000,-413.5580694098771,2.6571689,0.50860745,-416.21524
0.4189424,0.8437508,-404.29285,-1.0,154854.53,,3.3903983,48.590675,0.069133446,532.3738715648651,500.0,11.983002,0.033903982,2.058008,[0.691 0.281],8,0.8437508,-407.79358,0.0006913344,-424.6025,-410.72668,-387.8876,,3.5570052,100,0.009405576,0.9405575,65.33646,800,0.006850843,400000,-410.7266522282362,5.549197,0.6850843,-416.27585
0.4189424,0.8432703,-404.23517,-1.0,44588.965,,4.1141872,3.5372887,0.012192529,594.5047879219055,500.0,12.20047,0.04114187,28.27024,[0.635 0.257],9,0.8432703,-281.31122,0.00012192528,-425.56952,-411.68832,-207.50525,,3.2313259,100,0.0050441786,0.5044178,41.338,900,0.006008887,450000,-411.68832474410533,4.7473125,0.6008888,-416.43564
0.4189424,0.843987,-400.62335,-1.0,55450.434,,4.884826,3.8903413,0.012389382,666.6057891845703,500.0,15.605957,0.04884826,25.704685,[0.418 0.293],10,0.843987,-300.00784,0.00012389383,-422.99832,-409.12402,-229.66537,,3.847591,100,0.005624873,0.5624873,27.185425,1000,0.009205637,500000,-409.124011310637,7.105295,0.92056376,-416.2293
0.4189424,0.84664947,-395.7153,-1.0,32976.31,,6.7943907,3.19586,0.004054817,738.9210951328278,500.0,20.515594,0.06794391,31.290483,[0.279 0.336],11,0.84664947,-251.9156,4.054817e-05,-419.52487,-405.65054,-174.30533,,4.9098725,100,0.00432575,0.432575,20.555685,1100,0.00850407,550000,-405.6505393883586,10.580362,0.85040694,-416.2309
0.4189424,0.84870183,-385.52264,-1.0,124409.164,,3.8689036,43.544884,0.06926751,810.3090486526489,500.0,29.200623,0.038689036,2.2964811,[0.285 0.381],12,0.84870183,-360.87494,0.0006926751,-412.45358,-398.62946,-339.9257,,5.4919853,100,0.008459905,0.84599054,52.098007,1200,0.008112069,600000,-398.6294988083839,16.093767,0.811207,-414.72327
0.4189424,0.8491074,-392.93112,-1.0,53905.98,,7.006763,3.7303185,0.007344391,866.0427343845367,500.0,22.932709,0.07006763,26.807362,[0.33  0.363],13,0.8491074,-292.90448,7.344391e-05,-416.1558,-402.2937,-221.13217,,6.0129976,100,0.005531547,0.55315477,23.839186,1300,0.009887049,650000,-402.29369091540576,13.570144,0.9887049,-415.86383
0.4189424,0.84931815,-383.04868,-1.0,165667.67,,1.954258,91.619255,0.39376178,938.3313884735107,500.0,31.931976,0.019542579,1.0914736,[0.229 0.398],14,0.84931815,-402.11234,0.003937618,-411.50394,-397.67126,-387.66083,,6.156143,100,0.009756771,0.975677,92.02192,1400,0.0028728298,700000,-397.67124605074525,17.309404,0.287283,-414.98065
0.4189424,0.850003,-380.4236,-1.0,135737.78,,6.5466123,32.398006,0.044754125,998.804518699646,500.0,34.050995,0.06546612,3.0866096,[0.204 0.402],15,0.850003,-377.19672,0.00044754124,-410.41394,-396.5981,-352.92404,,6.37926,100,0.008836105,0.88361055,40.459343,1500,0.010719099,750000,-396.5981118360162,17.8765,1.07191,-414.4746
0.4189424,0.8513508,-387.38156,-1.0,88155.29,,6.4053655,7.9029117,0.0012110078,1062.4887337684631,500.0,26.720581,0.064053655,12.653564,[0.269 0.385],16,0.8513508,-336.0144,1.2110078e-05,-412.02353,-398.22012,-286.91315,,5.7552223,100,0.007127902,0.7127903,29.720741,1600,0.010960884,800000,-398.2201048131287,15.882041,1.0960884,-414.10214
0.4189424,0.849888,-389.94504,-1.0,163671.1,,2.5791955,76.41313,0.22018865,1129.3003771305084,500.0,26.350677,0.025791954,1.3086756,[0.305 0.352],17,0.849888,-406.72083,0.0022018864,-417.93777,-404.06125,-390.84644,,5.9118843,100,0.00966744,0.96674407,80.59539,1700,0.00474361,850000,-404.06126935601236,12.234448,0.47436106,-416.29572
0.4189424,0.8498641,-390.8408,-1.0,55034.902,,4.031083,3.5762806,0.00037338198,1192.091435432434,500.0,24.9906,0.04031083,27.962011,[0.249 0.351],18,0.8498641,-300.21118,3.7338198e-06,-417.6,-403.73895,-226.91518,,5.868684,100,0.005606544,0.56065446,35.51079,1800,0.0075554196,900000,-403.7389533956349,12.092442,0.7555419,-415.8314
0.4189424,0.85127175,-385.72034,-1.0,59632.844,,9.069615,4.024411,0.0069197128,1250.2885479927063,500.0,30.69217,0.09069615,24.848354,[0.069 0.36 ],19,0.85127175,-303.2396,6.919713e-05,-417.1514,-403.27103,-234.04832,,5.86589,100,0.0058192476,0.5819248,21.790827,1900,0.011024499,950000,-403.2709744547308,13.141535,1.1024499,-416.4125
