LearnableVariance,MaxIWNorm,ReturnStepMaxmin,InitialReturnStd,ESSRenyi,StdIWNorm,MeanIW,MeanIWNorm,J_sample_variance,MaxIW,Bound,Weights,InitialBound,EpThisIter,InitialReturnMean,EmpiricalD2,TimestepsSoFar,EpLenMean,Iteration,OptimizationReturnMean,TimeElapsed,VarianceInit,MeanEntropy,StdIW,ESSClassic,OptimizationReturnMax,ReturnStepMax,EpRewMean,MinIWNorm,MinIW,OptimizationReturnMin,ReturnMeanIW,InitialReturnMax,EpisodesSoFar,InitialReturnMin
True,0.08369117,0.8645601,69.63359,8.324738,0.013318043,0.758443,0.0075844293,175319.78,8.369118,-231.76364,[-0.135  0.671 -0.249],-328.43954,100,-315.06024,12.012391,791732,434.51,16,86.31968,1079.4827983379364,-1,1.171146,1.3318044,24.48918,293.3503,0.8645601,-315.0602337740362,2.254845e-05,0.0022548449,,-185.39236,-108.0296,1600,-401.3799
True,0.07739683,0.86567247,67.67921,10.2952,0.010861588,0.7902653,0.007902654,145092.73,7.739683,-219.35783,[-0.137  0.721 -0.248],-271.22607,100,-258.1076,9.713264,827719,359.87,17,135.447,1119.890856742859,-1,1.2049428,1.0861588,34.613598,280.42352,0.86567247,-258.1075881367922,5.68882e-05,0.00568882,,-178.47261,-113.13109,1700,-393.5546
True,0.05388145,0.8637453,55.604324,6.843898,0.010342732,0.72041476,0.007204147,102077.375,5.3881454,-192.37885,[-0.129  0.758 -0.214],-241.57825,100,-229.56264,14.611556,859973,322.54,18,130.90594,1158.318677186966,-1,1.1492276,1.0342733,32.667675,235.24574,0.8637453,-229.56263588294388,5.04051e-06,0.00050405104,,-146.44907,-125.222824,1800,-360.46857
True,0.05510431,0.85875505,48.504753,16.676523,0.010191347,0.7533567,0.007533567,108784.42,5.5104313,-169.01143,[-0.085  0.788 -0.27 ],-199.03355,100,-186.90916,5.996454,886214,262.41,19,176.82309,1189.8948874473572,-1,1.0982493,1.0191348,35.335125,280.7943,0.85875505,-186.90915929317475,8.924091e-05,0.008924091,,-139.3216,-82.93793,1900,-363.73224
True,0.0523751,0.86175233,48.053608,10.416808,0.008447767,0.64301926,0.0064301924,68502.02,5.23751,-153.28345,[-0.008  0.766 -0.321],-206.08035,100,-194.67574,9.59987,913518,273.04,20,147.46236,1224.0108759403229,-1,1.1275591,0.8447768,36.684044,226.06186,0.86175233,-194.67574712336062,1.8038862e-05,0.0018038861,,-117.947815,-116.076225,2000,-342.1381
True,0.05120887,0.859028,47.219654,10.644054,0.008825955,0.73190314,0.0073190313,90732.17,5.120887,-160.59995,[ 0.035  0.808 -0.291],-186.2596,100,-174.54549,9.394917,938057,245.39,21,176.8777,1250.4133896827698,-1,1.1511221,0.8825956,40.74691,257.05234,0.859028,-174.54549204200507,0.00014126286,0.014126286,,-124.69488,-94.37085,2100,-351.4232
True,0.057769537,0.8654265,33.88523,10.884353,0.00920241,0.6131642,0.006131642,50786.96,5.7769537,-128.83286,[ 0.073  0.859 -0.268],-162.72719,100,-152.90385,9.187501,959474,214.17,22,141.79616,1276.138162612915,-1,1.1684562,0.92024094,30.74633,203.00327,0.8654265,-152.90385286614298,0.000120774675,0.0120774675,,-99.05745,-91.69675,2200,-294.7
True,0.028262155,0.8599287,52.60228,9.815069,0.006974576,0.55199116,0.005519911,61199.656,2.8262155,-126.76639,[ 0.022  0.801 -0.25 ],-196.56825,100,-184.66264,10.188416,985454,259.8,23,172.50525,1311.2695798873901,-1,1.1064273,0.6974577,38.513245,274.97772,0.8599287,-184.66264742523433,3.2733384e-05,0.0032733385,,-88.76456,-82.19019,2300,-357.1679
True,0.027280752,0.86131096,38.734737,76.25908,0.00489448,0.98013276,0.009801325,83603.164,2.7280753,-164.49205,[-0.05   0.82  -0.313],-172.22275,100,-162.80919,1.3113192,1008309,228.55,24,119.5975,1343.1133551597595,-1,1.1071124,0.48944804,80.04038,188.20729,0.86131096,-162.80918646425008,0.0028414805,0.28414807,,-153.71233,-94.19939,2400,-282.40668
True,0.09265758,0.8590746,33.342182,8.104268,0.01224476,0.6243061,0.006243061,50413.96,9.2657585,-112.04587,[ 0.015  0.83  -0.312],-166.72298,100,-158.43716,12.339177,1030449,221.4,25,90.13673,1374.6676194667816,-1,1.0461389,1.2244761,20.63195,154.16127,0.8590746,-158.43717427566648,1.696262e-06,0.0001696262,,-82.94021,-94.41263,2500,-248.5739
