Bound,ReturnStepMaxmin,EpRewMean,StdIW,EmpiricalD2,MaxIWNorm,EpThisIter,TimeElapsed,MinIW,MeanIWNorm,MeanIW,Iteration,OptimizationReturnMean,Weights,MeanEntropy,StdIWNorm,EpLenMean,InitialReturnStd,MaxIW,OptimizationReturnMax,InitialReturnMin,TimestepsSoFar,InitialReturnMax,J_sample_variance,ESSRenyi,VarianceInit,InitialBound,ReturnStepMax,EpisodesSoFar,InitialReturnMean,ESSClassic,OptimizationReturnMin,ReturnMeanIW,LearnableVariance,MinIWNorm
-316.27966,0.84227383,-414.5689645665884,1.2836987,8.978038,0.10212858,100,19.544763803482056,0.0402514,0.006646576,0.66465765,1,1.5554816,[-0. -0.  0.],1.4399967,0.012836985,500.0,0.95176566,10.212858,5.2165833,-416.12445,50000,-410.90787,77306.56,11.138291,-1,-428.4398,0.84227383,100,-414.56897,21.14083,,-274.71802,True,0.000402514
-381.00067,0.84368074,-412.7553998212516,0.84621966,5.825686,0.044241242,100,38.80340003967285,0.0023480789,0.008393912,0.8393911,2,2.829225,[0.052 0.171 0.021],1.4343932,0.008462197,500.0,1.7475376,4.4241242,8.128723,-415.58463,100000,-407.4559,122917.9,17.165361,-1,-426.6082,0.84368074,200,-412.75543,49.59489,,-347.56488,True,2.3480789e-05
-346.66193,0.8440964,-414.30230838492514,1.2491051,34.472244,0.089134164,100,66.78394031524658,0.0025323546,0.006402472,0.64024717,3,1.8239746,[0.022 0.032 0.015],1.4897864,0.012491051,500.0,1.1403368,8.913417,6.720337,-416.12628,150000,-409.40594,71704.66,2.9008846,-1,-428.1732,0.8440964,300,-414.3023,20.806044,,-265.22174,True,2.5323545e-05
-281.85974,0.8424974,-413.8069004410505,1.2297845,37.7637,0.089378916,100,103.31091284751892,0.00082957477,0.0047612176,0.47612178,4,2.2282562,[0.022 0.07  0.071],1.443317,0.0122978445,500.0,1.2119256,8.937892,4.9221497,-416.03516,200000,-411.113,39649.69,2.6480458,-1,-427.67474,0.8424974,400,-413.80692,13.035302,,-196.63884,True,8.295748e-06
-311.71188,0.8444398,-411.7968550260365,1.3398397,41.39477,0.09765456,100,139.85300254821777,0.005237519,0.0054395967,0.5439597,5,3.9849124,[0.021 0.242 0.024],1.4172246,0.013398397,500.0,2.19633,9.765456,10.66333,-415.78177,250000,-405.11844,51813.707,2.415764,-1,-425.65625,0.8444398,500,-411.79684,14.150321,,-222.54227,True,5.2375188e-05
-406.1122,0.84866846,-405.58236834213136,0.62563235,1.3991175,0.04014961,100,179.72878456115723,0.15928921,0.009595789,0.9595789,6,7.4897447,[ 0.018  0.408 -0.002],1.4016253,0.0062563233,500.0,4.1694913,4.0149612,18.409058,-413.0721,300000,-394.66306,158738.89,71.473625,-1,-419.35147,0.84866846,600,-405.5824,70.17118,,-389.82556,True,0.0015928921
-232.29126,0.84932876,-407.7275570656359,0.72287667,27.205748,0.044353947,100,222.81580066680908,0.021048913,0.0039692097,0.396921,7,7.826675,[ 0.075  0.388 -0.017],1.3983163,0.007228766,500.0,4.179916,4.435395,20.424133,-415.55423,350000,-395.1301,27619.121,3.675694,-1,-421.57935,0.84932876,700,-407.72754,23.165266,,-160.04143,True,0.00021048912
-353.77173,0.8497064,-399.0310876700282,2.0362258,24.80251,0.19070894,100,262.22922348976135,0.019879257,0.0072593754,0.7259376,8,8.886059,[ 0.002  0.514 -0.021],1.405705,0.020362256,500.0,4.711149,19.070894,21.165619,-407.91714,400000,-386.75153,89838.664,4.0318503,-1,-412.62833,0.8497064,800,-399.0311,11.276755,,-286.0546,True,0.00019879256
-251.95648,0.8566997,-388.2884470140934,0.74849373,31.0497,0.032258566,100,308.0654730796814,0.001218714,0.0044396375,0.44396377,9,24.946661,[-0.013  0.612 -0.013],1.3591946,0.0074849376,498.81,13.4521055,3.2258568,128.1528,-413.2351,449881,-285.0823,34190.5,3.220643,-1,-402.06293,0.8566997,900,-388.2884,26.025574,,-175.20183,True,1.218714e-05
-369.31726,0.8498641,-392.85537466853856,0.9553507,2.2022257,0.06502382,100,349.80833745002747,0.05064895,0.008771878,0.8771878,10,19.855898,[ 0.01   0.552 -0.06 ],1.3764614,0.009553507,500.0,7.6933675,6.502382,47.98938,-412.71127,499881,-364.7219,132476.73,45.408607,-1,-406.6124,0.8498641,1000,-392.85538,45.742462,,-348.90195,True,0.0005064895
