EpisodesSoFar,StdIW,ESSRenyi,J_sample_variance,ESSClassic,LearnableVariance,OptimizationReturnMin,MaxIWNorm,InitialBound,OptimizationReturnMean,MinIWNorm,Iteration,ReturnStepMaxmin,EmpiricalD2,TimestepsSoFar,InitialReturnMin,InitialReturnMax,MeanEntropy,MaxIW,TimeElapsed,MeanIWNorm,Weights,EpLenMean,ReturnStepMax,InitialReturnMean,StdIWNorm,OptimizationReturnMax,InitialReturnStd,ReturnMeanIW,MeanIW,EpRewMean,Bound,VarianceInit,EpThisIter,MinIW
100,0.15908536,95.157394,167267.92,97.424324,True,,0.013780081,-428.2969,1.4822967,0.0070500975,1,0.8426924,1.0508904,50000,-415.91537,-412.40714,1.4183384,1.3780081,10.163950681686401,0.009784025,[-0. -0.  0.],500.0,0.8426924,-414.43314,0.0015908537,3.5082397,0.79853225,-405.37534,0.97840255,-414.4330808529258,-419.5876,-1,100,0.70500976
200,1.0584009,1.7444767,35686.71,15.414842,True,,0.09622128,-428.11298,1.7487271,1.8143284e-06,2,0.84258807,57.32378,100000,-415.9952,-412.02744,1.3533485,9.6221285,23.99919629096985,0.004518274,[ 0.023  0.03  -0.001],500.0,0.84258807,-414.2465,0.010584007,3.9677734,0.9322881,-187.1928,0.45182744,-414.246483913213,-292.17953,-1,100,0.00018143284
300,0.8975251,3.0869145,35481.043,20.1303,True,,0.062386364,-427.70093,1.9873465,6.546983e-05,3,0.8428801,32.394806,150000,-415.82736,-409.5506,1.3191409,6.2386365,38.662862062454224,0.004505891,[ 0.02   0.108 -0.066],500.0,0.8428801,-413.84,0.008975251,6.276764,1.2561039,-185.85014,0.45058915,-413.8400176435709,-264.74152,-1,100,0.0065469835
400,1.2377777,4.5517416,70027.58,20.749975,True,,0.086042725,-424.28247,5.158373,9.740711e-05,4,0.8487046,21.969612,200000,-415.58792,-402.1693,1.3706694,8.604273,57.640427350997925,0.0063336175,[ 0.036  0.282 -0.1  ],500.0,0.8487046,-410.42953,0.012377777,13.41861,2.9992304,-260.4248,0.63336164,-410.4295492596924,-325.35593,-1,100,0.009740711
500,1.6330948,6.9157677,106097.664,18.532133,True,,0.13411707,-425.36432,4.4764495,4.0659535e-05,5,0.84887606,14.459711,250000,-415.9749,-398.46396,1.4185108,13.411707,75.90693092346191,0.0077889846,[ 0.078  0.255 -0.048],500.0,0.84887606,-411.49844,0.016330948,17.510956,2.752134,-320.3749,0.77889854,-411.49846018090847,-373.101,-1,100,0.0040659537
600,1.8945079,11.202455,96356.46,13.362053,True,,0.18149309,-424.45874,4.3636365,6.415524e-05,6,0.84889334,8.926615,300000,-414.98938,-403.4936,1.3795744,18.14931,101.5616352558136,0.007440103,[ 0.015  0.286 -0.   ],500.0,0.84889334,-410.62573,0.01894508,11.495789,2.403963,-305.97137,0.7440104,-410.62574399217965,-347.30078,-1,100,0.006415524
700,1.3214461,8.409515,105604.25,25.780819,True,,0.110156,-426.18536,2.8119245,7.4217925e-05,7,0.84882015,11.891292,350000,-415.1587,-406.47086,1.4080944,11.0156,132.61750745773315,0.007788248,[-0.001  0.204 -0.039],500.0,0.84882015,-412.3468,0.013214461,8.687836,2.01592,-322.18616,0.77882475,-412.34676695927976,-369.90692,-1,100,0.007421793
800,1.3503301,1.9847803,63894.17,16.69528,True,,0.095710784,-427.674,2.2102697,3.7104344e-06,8,0.8489303,50.38341,400000,-416.01703,-409.6582,1.3415381,9.571078,169.90176463127136,0.0060450793,[ 0.03   0.086 -0.011],500.0,0.8489303,-413.8068,0.013503301,6.3588257,1.3014164,-250.19232,0.6045079,-413.80675554260614,-348.62372,-1,100,0.00037104345
900,1.2838502,2.6405303,67425.96,18.954988,True,,0.08578115,-427.87534,2.0387719,3.6083536e-06,9,0.8489672,37.87118,450000,-416.0459,-410.16843,1.2822847,8.578115,209.87962675094604,0.006208877,[ 0.031  0.093 -0.077],500.0,0.8489672,-414.0071,0.0128385015,5.877472,1.232222,-256.6302,0.6208876,-414.0071291016042,-341.9745,-1,100,0.00036083537
1000,1.5971962,3.9118125,75313.99,14.459829,True,,0.13488969,-426.72296,2.9077694,9.0123416e-05,10,0.8489704,25.563597,500000,-415.77167,-407.14468,1.3359339,13.488969,255.82152462005615,0.0065668146,[-0.226  0.165 -0.137],500.0,0.8489704,-412.86386,0.015971962,8.626984,1.8967477,-271.20135,0.65668154,-412.8638979354501,-341.27338,-1,100,0.0090123415
