EpLenMean,Bound,MeanEntropy,LearnableVariance,OptimizationReturnMean,OptimizationReturnMax,StdWReturnMean,DivergenceHarmonic,MeanD2-0,InitialReturnMin,MinBehavPdf,WReturnMean,MinIW,EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialReturnMax,ESSRenyiHarmonic,InitialBound,EpisodesSoFar,MaxIW,OptimizationReturnMin,Weights,InitialReturnStd,MeanIW,Inner Iteration,Iteration,ReturnMeanIW,Penalization,EpThisIter,StdIW,EmpiricalD2Harmonic,ReturnStepMax,InitialReturnMean,Epsilon,TimeElapsed,EpRewMean,MinTargetPdf,VarianceInitializer,TimestepsSoFar,ESSRenyiArithmetic
500.0,-12401253.0,0.4189424,,0.38740784,1.146637,,8.006981e+16,1.0,-416.5701,-242.79492,0.2116829,0.113859445,1.0,0.84211415,-415.42346,100.0,-0.2555101,100,3081.4084,,[ 0. -0.],0.24818961,92.23438,1,1,14.771002,True,100,335.5573,1.0,0.84211415,-416.1827,2.0,7.304861545562744,-416.1826901784539,-242.79492,-1.0,50000,100.0
500.0,-138048590000000.0,0.4189424,,3.911233,10.15921,,1.6101514e+27,1.0,-416.40485,-248.04059,22.415392,0.048599627,1.0,0.843512,-406.24564,100.0,-25.85581,200,49548.11,,[0.015 0.25 ],2.6678925,1648.0125,1,2,54321.633,True,100,5989.596,1.0,0.843512,-412.49362,2.0,14.497014045715332,-412.4936164177954,-248.04059,-1.0,100000,100.0
500.0,-81157950.0,0.4189424,,14.856411,27.197693,,10812677000000.0,1.0,-415.92365,-242.86974,259.5619,0.56901824,1.0,0.8489159,-388.72595,100.0,-284.2197,300,6931.358,,[0.027 0.374],6.232892,313.27844,1,3,78747.1,True,100,901.8335,1.0,0.8489159,-401.06726,2.0,21.43319869041443,-401.0672319544852,-242.86974,-1.0,150000,100.0
500.0,-3543191300000.0,0.4189424,,21.578293,41.710205,,3.733018e+21,1.0,-410.66144,-246.2843,514.80176,0.1632206,1.0,0.8518541,-368.95123,100.0,-572.7946,400,2312569.0,,[0.009 0.434],7.0127773,31407.877,1,4,9484939.0,True,100,231079.58,1.0,0.8518541,-389.08313,2.0,28.402995109558105,-389.08314475387334,-246.2843,-1.0,200000,100.0
466.05,-5.182711e+17,0.4189424,,59.86582,232.15886,,8.321765e+28,1.0,-404.64514,-238.67267,6338.0566,0.38843957,1.0,0.8587022,-172.48628,100.0,-8134.687,500,11480546.0,,[0.012 0.496],52.479908,370241.62,1,5,519228100.0,True,100,1566199.2,1.0,0.8587022,-344.77933,2.0,36.27296757698059,-344.77932281643155,-238.67267,-1.0,246605,100.0
337.67,-9.345513e+16,0.4189424,,153.87689,268.7986,,1.5057077e+27,1.0,-397.4677,-238.69052,27719.725,0.043383993,1.0,0.86045885,-128.6691,100.0,-30128.186,600,55210300.0,,[0.01  0.559],63.573772,870805.7,1,6,2262125800.0,True,100,5667184.0,1.0,0.86045885,-243.59082,2.0,43.46587085723877,-243.5908134147525,-238.69052,-1.0,280372,100.0
247.49,-161220440000.0,0.4189424,,135.07378,217.42563,,1.0459873e+16,1.0,-312.37262,-171.34277,20101.52,0.06293675,1.0,0.86062986,-94.94699,100.0,-21677.332,700,216194.89,,[0.016 0.621],43.088177,4141.496,1,7,58169308.0,True,100,24349.488,1.0,0.86062986,-177.29883,2.0,50.01080250740051,-177.29883061245084,-171.34277,-1.0,305121,100.0
220.92,-615838100000.0,0.4189424,,98.85203,164.08615,,4.708162e+17,1.0,-258.46008,-159.39542,11229.066,0.03853827,1.0,0.8624698,-94.37393,100.0,-12126.549,800,3071801.0,,[-0.101  0.665],38.17516,34597.52,1,8,25888818.0,True,100,306033.03,1.0,0.8624698,-159.60805,2.0,55.88781785964966,-159.60805261090397,-159.39542,-1.0,327213,100.0
198.64,-1483105200.0,0.4189424,,132.40631,192.97458,,1423455200000.0,1.0,-275.68195,-159.764,18938.955,0.012119945,1.0,0.86488557,-82.707375,100.0,-20180.27,900,2597.9358,,[-0.101  0.727],37.516983,114.329796,1,9,2119511.5,True,100,302.19778,1.0,0.86488557,-143.27565,2.0,62.07279014587402,-143.2756364324689,-159.764,-1.0,347077,100.0
218.91,-2080665200.0,0.4189424,,89.00226,150.98058,,7410377000000.0,1.0,-247.57048,-155.03056,9148.511,0.4953835,1.0,0.8627124,-96.589905,100.0,-9908.3545,1000,230553.0,,[-0.128  0.671],35.030132,3879.23,1,10,12234119.0,True,100,24013.553,1.0,0.8627124,-158.56822,2.0,67.6837329864502,-158.568226839602,-155.03056,-1.0,368968,100.0
