VarianceInitializer,MinTargetPdf,EpThisIter,Epsilon,EpRewMean,LearnableVariance,OptimizationReturnMin,MeanD2-0,MaxIW,TimeElapsed,EpLenMean,OptimizationReturnMean,EmpiricalD2Arithmetic,InitialReturnMax,ESSRenyiHarmonic,TimestepsSoFar,StdWReturnMean,InitialReturnMin,StdIW,ReturnMeanIW,InitialReturnStd,Weights,OptimizationReturnMax,WReturnMean,MinIW,InitialBound,ESSRenyiArithmetic,MinBehavPdf,EpisodesSoFar,ReturnStepMaxmin,Iteration,DivergenceHarmonic,MeanEntropy,Penalization,MeanIW,InitialReturnMean,Inner Iteration,ReturnStepMax,Bound,EmpiricalD2Harmonic
-1.0,-244.8195,100,2.0,-416.2389395597577,,,1.0,1886.3885,5.3073859214782715,500.0,0.374646,1.0,-415.5683,100.0,50000,,-416.6136,275.8265,18.112612,0.2009761,[0. 0.],1.0452881,0.18075101,0.5584554,-0.21717301,100.0,-244.8195,100,0.84201,1,5615869000000000.0,0.4189424,True,99.098114,-416.2389,1,0.84201,-2729368.0,1.0
-1.0,-246.21732,100,2.0,-412.7624163609743,,,1.0,24105.854,10.454143285751343,500.0,3.5542321,1.0,-406.74985,100.0,100000,,-416.31665,2800.974,22516.03,2.3950844,[0.025 0.249],9.566803,18.368996,1.9944508,-21.419876,100.0,-246.21732,200,0.84394896,2,1.6561385e+27,0.4189424,True,943.92084,-412.76242,1,0.84394896,-124154010000000.0,1.0
-1.0,-274.89233,100,2.0,-401.52052344486117,,,1.0,129803.0,15.34947943687439,500.0,14.521714,1.0,-389.65924,100.0,150000,,-416.04224,15854.632,667909.9,6.1731415,[0.022 0.374],26.382996,248.98784,0.11172879,-272.19055,100.0,-274.89233,300,0.8497119,3,209870070000000.0,0.4189424,True,2869.333,-401.52048,1,0.8497119,-336794000.0,1.0
-1.0,-246.11526,100,2.0,-390.1605441904068,,,1.0,70496630.0,19.87251567840576,500.0,23.551495,1.0,-360.431,100.0,200000,,-413.71204,7013647.0,239914480.0,9.096803,[0.028 0.436],53.281036,637.4246,0.0688152,-732.056,100.0,-246.11526,400,0.85601807,4,3.7433073e+23,0.4189424,True,712998.6,-390.16058,1,0.85601807,-57896675000000.0,1.0
-1.0,-246.1276,100,2.0,-355.3996082423627,,,1.0,312606340.0,25.411193132400513,478.5,43.9984,1.0,-228.71881,100.0,247850,,-399.398,34658736.0,6253808000.0,41.120037,[0.038 0.498],170.6792,3626.7166,0.04407122,-4597.7856,100.0,-246.1276,500,0.8574594,5,8.248058e+29,0.4189424,True,5291536.5,-355.3996,1,0.8574594,-8.818928e+17,1.0
-1.0,-234.22078,100,2.0,-233.6541193266213,,,1.0,3860396300.0,32.191645860672,325.33,154.68439,1.0,-128.64583,100.0,280383,,-388.3385,395137180.0,65471558000.0,59.645042,[0.035 0.56 ],259.6927,27484.79,0.040336642,-29732.828,100.0,-234.22078,600,0.86236113,6,9.935366e+29,0.4189424,True,48866820.0,-233.65411,1,0.86236113,-2.240733e+18,1.0
-1.0,-194.26321,100,2.0,-190.57318315401673,,,1.0,19827830.0,37.19035458564758,263.1,162.24713,1.0,-94.80559,100.0,306693,,-352.8203,1983393.2,5133435400.0,47.168194,[0.046 0.622],258.0147,28548.969,0.104780264,-30768.047,100.0,-194.26321,700,0.8607677,7,7.6678766e+20,0.4189424,True,234132.06,-190.57318,1,0.8607677,-61452782000000.0,1.0
-1.0,-152.39474,100,2.0,-151.79595463097095,,,1.0,142195.72,42.10649514198303,210.98,124.67132,1.0,-82.51448,100.0,327791,,-276.4673,14899.851,37509676.0,36.726387,[0.061 0.682],193.9528,16891.768,0.029392054,-18145.701,100.0,-152.39474,800,0.86091626,8,101321120000000.0,0.4189424,True,2725.6821,-151.79596,1,0.86091626,-12659297000.0,1.0
-1.0,-136.3913,100,2.0,-127.53581957831979,,,1.0,15869.184,46.85593557357788,177.5,104.820946,1.0,-75.542496,100.0,345541,,-232.35677,1606.3518,1981377.5,32.275387,[0.066 0.745],156.81427,12029.132,0.034954827,-12848.827,100.0,-136.3913,900,0.86403215,9,2.1787418e+16,0.4189424,True,299.08704,-127.53582,1,0.86403215,-120992900000.0,1.0
-1.0,-109.3608,100,2.0,-116.48034444153309,,,1.0,41744.707,50.46280097961426,162.35,68.81119,1.0,-71.894806,100.0,361776,,-185.29153,5027.8223,2053072.2,24.009338,[0.07  0.807],113.39673,5311.4277,0.061417878,-5740.0566,100.0,-109.3608,1000,0.864491,10,74824570000.0,0.4189424,True,1047.4547,-116.48034,1,0.864491,-119300130.0,1.0
-1.0,-114.704384,100,2.0,-110.1058171582222,,,1.0,11846.18,54.08269667625427,153.61,80.84057,1.0,-71.27952,100.0,377137,,-190.94638,1304.5349,708536.6,27.975801,[0.073 0.869],119.66686,7317.8423,0.016837407,-7795.1826,100.0,-114.704384,1100,0.8613956,11,397540640.0,0.4189424,True,278.72195,-110.10582,1,0.8613956,-10225916.0,1.0
-1.0,-94.90133,100,2.0,-98.16964123502373,,,1.0,19732.951,58.902910470962524,138.16,47.400352,1.0,-61.33485,100.0,390953,,-145.56999,2306.5066,445669.72,19.470764,[0.061 0.931],84.23514,2625.9038,0.015914846,-2862.4229,100.0,-94.90133,1200,0.86393994,12,4620762600.0,0.4189424,True,480.43027,-98.16965,1,0.86393994,-16523305.0,1.0
-1.0,-122.42586,100,2.0,-100.37657853528857,,,1.0,354992350.0,63.715484380722046,140.71,120.24488,1.0,-60.517403,100.0,405024,,-220.62146,46009080.0,100707434000.0,25.743174,[0.071 0.992],160.10406,15121.542,3.4999962,-15975.988,100.0,-122.42586,1300,0.86508846,13,3.1449372e+28,0.4189424,True,6842000.5,-100.37658,1,0.86508846,-1.5152691e+17,1.0
-1.0,-94.48172,100,2.0,-91.2603727196157,,,1.0,20242.252,68.36178278923035,128.96,53.1375,1.0,-60.547672,100.0,417920,,-144.39787,2022.3054,502408.72,20.787994,[-0.163  1.08 ],83.850204,3255.7346,0.2257483,-3490.0967,100.0,-94.48172,1400,0.8662783,14,536514140.0,0.4189424,True,305.53702,-91.26037,1,0.8662783,-5930880.5,1.0
