ReturnMeanIW,OptimizationReturnMean,InitialReturnMin,ReturnStepMaxmin,MaxIW,OptimizationReturnMin,EpThisIter,EpRewMean,MeanIW,TimeElapsed,InitialReturnMax,OptimizationReturnMax,VarianceInit,Bound,ESSClassic,InitialReturnStd,EmpiricalD2,EpisodesSoFar,Iteration,MeanIWNorm,StdIW,MinIWNorm,MaxIWNorm,Weights,InitialReturnMean,InitialBound,MinIW,StdIWNorm,J_sample_variance,MeanEntropy,EpLenMean,LearnableVariance,ReturnStepMax,TimestepsSoFar,ESSRenyi
-199.70554,1.937355,-416.30246,0.84255314,7.9182386,,100,-414.3651048569381,0.48206818,8.990460872650146,-411.164,5.1384583,-1,-291.1536,16.678629,1.1031259,43.428375,100,1,0.0048206816,1.0774733,2.0182565e-06,0.07918239,[ 0. -0.  0.],-414.36514,-428.24182,0.00020182566,0.010774733,40686.45,1.3539561,500.0,True,0.84255314,50000,2.3026419
-302.71408,1.5357687,-415.9723,0.8427112,9.577778,,100,-414.4365243117511,0.7295643,16.96643090248108,-410.197,5.775299,-1,-360.84375,24.685822,0.97288084,17.57557,200,2,0.007295642,1.274319,1.3387942e-05,0.09577778,[ 0.014  0.025 -0.065],-414.43652,-428.30228,0.0013387942,0.012743191,93031.14,1.3903666,500.0,True,0.8427112,100000,5.6897163
-275.66064,0.9836862,-416.17896,0.84232056,6.7690077,,100,-415.19526979073885,0.6644023,28.05112314224243,-412.55646,3.6224976,-1,-365.31296,26.86278,0.57670945,41.764305,300,3,0.006644023,1.0962883,1.5462998e-05,0.067690074,[ 0.012 -0.118 -0.029],-415.19528,-429.06787,0.0015462998,0.010962883,77235.98,1.4477675,500.0,True,0.84232056,150000,2.3943892
-312.60492,1.2306311,-416.15573,0.84213686,8.099185,,100,-414.92510049194095,0.7525073,41.030548095703125,-411.9234,4.2323303,-1,-359.55322,30.965889,0.7513337,11.454351,400,4,0.007525073,1.1235718,3.3372037e-06,0.08099185,[ 0.008 -0.122  0.029],-414.9251,-428.79694,0.00033372038,0.011235718,99060.49,1.468669,500.0,True,0.84213686,200000,8.730307
-238.78389,0.69247985,-416.14948,0.8422056,7.84796,,100,-415.4569896581769,0.5742299,56.20473504066467,-414.13773,2.0117493,-1,-314.9057,19.134544,0.45657182,30.113564,500,5,0.005742299,1.1804789,5.1906477e-07,0.078479595,[-0.06  -0.323  0.05 ],-415.45694,-429.3286,5.1906478e-05,0.011804789,57681.39,1.4220428,500.0,True,0.8422056,250000,3.3207626
-311.9492,0.4757776,-416.44833,0.84193444,6.8421597,,100,-415.97255512818697,0.75008345,75.34742474555969,-415.30783,1.1405029,-1,-375.997,22.100794,0.21483155,21.287703,600,6,0.0075008343,1.4082253,2.1852913e-05,0.068421595,[-0.084 -0.546  0.003],-415.97253,-429.8542,0.0021852914,0.014082252,98562.44,1.474284,500.0,True,0.84193444,300000,4.697548
-298.94003,0.6366812,-416.54678,0.84219676,6.479985,,100,-415.91009998545053,0.7193442,95.59749221801758,-414.5999,1.9468689,-1,-360.72067,22.78105,0.3102247,19.797922,700,7,0.0071934406,1.3243777,0.0002298244,0.06479985,[-0.089 -0.564  0.055],-415.91006,-429.79495,0.02298244,0.013243778,90694.13,1.5085481,500.0,True,0.84219676,350000,5.051035
-159.78583,0.7388068,-416.24338,0.8421538,3.6878362,,100,-415.5045704348385,0.38496578,121.83895635604858,-414.4423,1.8010864,-1,-246.17471,30.523537,0.41002688,38.76713,800,8,0.0038496577,0.580796,0.000111379406,0.036878362,[-0.175 -0.291  0.09 ],-415.5046,-429.37933,0.011137941,0.0058079595,25936.951,1.5186772,500.0,True,0.8421538,400000,2.5795047
-363.2565,1.9152478,-415.75827,0.8463441,11.324187,,100,-413.8430215090513,0.8773769,155.25810265541077,-410.72845,5.0298157,-1,-385.97348,30.00763,1.1287127,2.6869657,900,9,0.00877377,1.3399721,0.0003499199,0.11324187,[0.008 0.041 0.1  ],-413.84302,-427.70166,0.03499199,0.013399721,134413.16,1.487956,500.0,True,0.8463441,450000,37.2167
-139.82115,1.4348696,-416.04694,0.8467405,4.728762,,100,-414.6120642143488,0.3378184,192.65031218528748,-411.43903,4.60791,-1,-221.1175,21.972929,0.8812385,34.3637,1000,10,0.0033781838,0.6365932,2.5669378e-05,0.04728762,[-0.021 -0.002  0.069],-414.61206,-428.48026,0.0025669378,0.006365932,19956.82,1.4568291,500.0,True,0.8467405,500000,2.9100475
