Weights,MinIW,LearnableVariance,InitialReturnMax,InitialBound,ReturnStepMaxmin,MaxIW,EpRewMean,MeanEntropy,ESSRenyi,StdIW,ReturnMeanIW,Iteration,MaxIWNorm,InitialReturnMean,StdIWNorm,MeanIW,Bound,MeanIWNorm,J_sample_variance,MinIWNorm,ESSClassic,TimestepsSoFar,InitialReturnStd,TimeElapsed,InitialReturnMin,OptimizationReturnMean,VarianceInit,EpThisIter,EpLenMean,ReturnStepMax,OptimizationReturnMax,EpisodesSoFar,OptimizationReturnMin,EmpiricalD2
[ 0. -0.],0.0019367976,,-415.55655,-430.08896,0.84211415,5.144286,-416.20206118837,0.4189424,11.034272,0.93121386,-318.91934,1,0.05144286,-416.20212,0.00931214,0.76599306,-360.72482,0.00765993,102864.91,1.9367975e-05,40.35652,50000,0.21337923,69.1836109161377,-416.6068,0.40475067,-1.0,100,500.0,0.84211415,1.0502625,100,,9.062673
[ 0.063 -0.138],0.0007701147,,-415.67123,-430.19937,0.8421114,6.0486164,-416.31232545018196,0.4189424,11.524215,0.9441841,-287.9801,2,0.060486164,-416.31235,0.009441841,0.69162154,-328.88773,0.0069162156,83861.87,7.701147e-06,34.91984,100000,0.16554396,140.75480318069458,-416.61148,0.29915193,-1.0,100,500.0,0.8421114,0.9402466,200,,8.677381
[-0.16  -0.277],0.009568419,,-416.20596,-430.30997,0.84195083,6.9292846,-416.4201294544339,0.4189424,3.1360366,1.0635818,-230.20335,3,0.06929284,-416.42017,0.010635819,0.5528717,-308.6379,0.005528717,53610.918,9.568419e-05,21.27307,150000,0.101596184,213.40696024894714,-416.69592,0.27578887,-1.0,100,500.0,0.84195083,0.48995972,300,,31.887383
[-0.17  -0.037],0.011436777,,-415.65427,-430.13757,0.84193313,7.875335,-416.25067578792573,0.4189424,15.340814,1.1177284,-375.9585,4,0.07875335,-416.2507,0.011177283,0.90310377,-411.41385,0.009031038,142986.64,0.00011436777,39.497864,200000,0.1981363,277.53008341789246,-416.60767,0.3569928,-1.0,100,500.0,0.84193313,0.95339966,400,,6.518559
[ 0.343 -0.115],0.008031057,,-415.75992,-430.19684,0.8420378,9.539408,-416.3098533152044,0.4189424,3.9452565,1.0478142,-218.0581,5,0.095394075,-416.30988,0.010478142,0.5238516,-287.97333,0.005238516,48110.945,8.031057e-05,19.996605,250000,0.16090886,348.1458625793457,-416.6109,0.30104646,-1.0,100,500.0,0.8420378,0.85098267,500,,25.346895
[0.825 0.03 ],0.035371408,,-414.40466,-429.85345,0.84204525,8.519926,-415.9709698133171,0.4189424,3.7324586,1.059513,-247.52368,6,0.08519926,-415.97098,0.010595129,0.5954423,-319.38086,0.0059544225,62120.01,0.00035371407,24.002907,300000,0.37841907,414.8934087753296,-416.47488,0.5039123,-1.0,100,500.0,0.84204525,2.070221,600,,26.791992
[0.627 0.166],0.091591604,,-410.8574,-428.95346,0.84206665,8.951333,-415.0724626836181,0.4189424,4.5090337,1.2490983,-258.68927,7,0.08951333,-415.07245,0.012490982,0.6252451,-324.05945,0.0062524504,68507.07,0.000915916,20.035662,350000,1.2787223,476.8938868045807,-416.43057,1.3581076,-1.0,100,500.0,0.84206665,5.573181,700,,22.177702
[0.599 0.252],0.03408491,,-405.89038,-426.08926,0.84326637,13.145144,-412.2084111985564,0.4189424,3.0318608,1.4143786,-240.63979,8,0.13145144,-412.2084,0.0141437845,0.5875605,-320.35855,0.0058756047,60686.812,0.00034084907,14.717493,400000,2.8029232,552.093095779419,-416.4246,4.216181,-1.0,100,500.0,0.84326637,10.53421,800,,32.983044
[0.581 0.316],0.0021482091,,-397.4314,-420.8664,0.8442361,4.868222,-406.98443561032417,0.4189424,8.717375,0.99192345,-323.53522,9,0.04868222,-406.98447,0.009919234,0.7905331,-370.5526,0.007905331,109548.125,2.148209e-05,38.84394,450000,4.319474,615.61381316185,-416.45926,9.474826,-1.0,100,500.0,0.8442361,19.027863,900,,11.471343
[0.444 0.293],0.017255947,,-402.89633,-424.2275,0.8439767,9.431715,-410.3492138904333,0.4189424,3.3681085,1.3166404,-238.30228,10,0.094317146,-410.3492,0.013166403,0.58474505,-313.92346,0.00584745,60127.516,0.00017255946,16.474678,500000,3.8883927,685.074226140976,-416.34924,6.000032,-1.0,100,500.0,0.8439767,13.452911,1000,,29.690254
[0.388 0.347],0.008810038,,-392.76004,-417.44882,0.8484199,6.1201134,-403.5842191295326,0.4189424,2.8116121,1.0226858,-223.39796,11,0.061201133,-403.58423,0.010226859,0.5583163,-306.08362,0.0055831624,54936.984,8.810037e-05,22.960836,550000,5.319066,764.0054066181183,-415.93857,12.354348,-1.0,100,500.0,0.8484199,23.178528,1100,,35.566784
[0.361 0.391],0.002069082,,-382.66623,-412.59357,0.85053575,4.8145676,-398.71430255308746,0.4189424,4.0665665,0.6993895,-162.61748,12,0.048145674,-398.7143,0.006993895,0.40906194,-231.44357,0.0040906193,29601.36,2.069082e-05,25.489328,600000,5.8611455,837.0406777858734,-416.37845,17.664146,-1.0,100,500.0,0.85053575,33.71222,1200,,24.590769
[0.228 0.414],0.008456673,,-371.77866,-408.68878,0.8505501,7.5544906,-394.8228197185695,0.4189424,3.8504589,1.16582,-230.90906,13,0.0755449,-394.8228,0.011658199,0.5894497,-301.57257,0.005894497,61883.586,8.4566724e-05,20.359402,650000,7.2983603,896.532552242279,-415.9802,21.157381,-1.0,100,500.0,0.8505501,44.201538,1300,,25.97093
[0.22  0.449],0.007591759,,-278.13138,-399.29086,0.8524684,6.939316,-385.54020559981467,0.4189424,5.791945,1.0280094,-209.83496,14,0.06939316,-385.5402,0.010280094,0.5475759,-266.97116,0.005475759,52965.53,7.591759e-05,22.101572,699884,13.946533,962.3387815952301,-412.51984,26.979631,-1.0,100,498.84,0.8524684,134.38846,1400,,17.265358
[0.316 0.464],0.006818412,,-333.09595,-394.64688,0.85150385,5.2499685,-381.08776128515603,0.4189424,3.4370975,0.74125016,-179.05522,15,0.052499685,-381.08777,0.0074125007,0.4696133,-252.19208,0.004696133,37333.805,6.818412e-05,28.641552,749861,11.251152,1033.5102846622467,-406.77423,25.686472,-1.0,100,499.77,0.85150385,73.67828,1500,,29.094315
[0.387 0.486],0.010229462,,-177.38095,-359.8901,0.8621423,7.0392294,-346.56382167115805,0.4189424,13.264756,1.163603,-265.15216,16,0.070392296,-346.56384,0.01163603,0.7521205,-301.74194,0.007521205,101142.61,0.000102294616,29.468037,796889,50.72789,1100.79469704628,-399.78885,53.225025,-1.0,100,470.28,0.8621423,222.4079,1600,,7.538774
[0.466 0.476],0.18108976,,-238.14337,-384.28537,0.8555167,3.508507,-370.62250130444767,0.4189424,81.20972,0.48891687,-347.96835,17,0.03508507,-370.6225,0.004889169,0.9504907,-363.1297,0.009504908,157787.64,0.0018108975,79.07699,846205,27.332317,1164.9887437820435,-409.88632,39.26382,-1.0,100,493.16,0.8555167,171.74295,1700,,1.2313797
[0.496 0.475],0.01053638,,-242.65965,-388.68387,0.8581258,9.898471,-374.9832169277966,0.4189424,4.337633,1.3704134,-257.749,18,0.0989847,-374.98322,0.013704133,0.7097995,-323.5322,0.007097995,95490.414,0.0001053638,21.152285,895600,26.328009,1222.4288685321808,-411.0198,36.03659,-1.0,100,493.95,0.8581258,168.36015,1800,,23.054049
[0.411 0.496],0.008269263,,-166.57396,-347.91315,0.8576373,4.6141324,-334.6145000037551,0.4189424,7.280706,0.9823423,-231.45184,19,0.046141323,-334.6145,0.009823423,0.6372982,-280.73752,0.006372982,66411.37,8.269263e-05,29.62115,941035,60.153732,1281.9035778045654,-398.95944,64.34495,-1.0,100,454.35,0.8576373,232.38548,1900,,13.734932
[0.471 0.475],0.013625963,,-237.1941,-385.50848,0.85568154,9.612157,-371.65311351269486,0.4189424,4.6840487,1.2296247,-239.62817,20,0.096121565,-371.65314,0.012296247,0.6688603,-303.647,0.0066886037,93348.664,0.00013625962,22.832767,990403,27.060253,1350.3548007011414,-415.66135,44.008232,-1.0,100,493.68,0.85568154,178.46724,2000,,21.349052
[0.568 0.485],0.0072255433,,-216.57593,-372.11166,0.85907906,5.4296155,-358.2835483022034,0.4189424,8.047926,1.1134609,-282.85202,21,0.054296155,-358.2835,0.01113461,0.746076,-331.59607,0.0074607595,98139.1,7.225543e-05,30.985401,1038692,38.67149,1417.8296842575073,-414.844,56.560448,-1.0,100,482.89,0.85907906,198.26807,2100,,12.425562
[0.555 0.461],0.0030964315,,-221.5376,-392.37314,0.85687417,5.3080893,-378.69697980612517,0.4189424,3.568242,0.82375556,-177.68555,22,0.05308089,-378.69696,0.008237556,0.49151173,-250.08539,0.0049151173,45280.402,3.0964315e-05,26.254627,1088245,24.027798,1474.488130569458,-410.2853,31.588327,-1.0,100,495.53,0.85687417,188.74771,2200,,28.025005
[0.576 0.49 ],0.0030164972,,-176.69812,-370.9452,0.8614906,5.2128725,-357.2140354499221,0.4189424,3.4306903,0.9059954,-183.4693,23,0.052128725,-357.21402,0.009059954,0.5457733,-257.60312,0.0054577338,61572.867,3.0164972e-05,26.6264,1136656,37.31239,1537.4347670078278,-411.93472,54.720688,-1.0,100,484.11,0.8614906,235.2366,2300,,29.148653
[0.591 0.517],0.0926555,,-167.56726,-324.14957,0.85666376,4.445726,-311.13586609974504,0.4189424,68.20736,0.7241187,-288.7655,24,0.044457257,-311.13586,0.007241186,0.97070986,-304.52292,0.009707099,156774.84,0.000926555,64.24801,1179400,63.044075,1599.6850628852844,-390.4109,79.275024,-1.0,100,427.44,0.85666376,222.84363,2400,,1.4661174
[0.561 0.524],0.005616571,,-109.80226,-324.0872,0.8610317,9.595368,-310.89173254713415,0.4189424,7.7858496,1.3419605,-218.46895,25,0.09595368,-310.89172,0.013419604,0.7611193,-265.7592,0.007611193,117790.96,5.6165707e-05,24.338804,1222232,61.13158,1662.763393163681,-395.86377,84.97203,-1.0,100,428.32,0.8610317,286.06152,2500,,12.843814
