MeanD2-0,Epsilon,MaxIW,MinBehavPdf,StdIW,TimestepsSoFar,WReturnMean,LearnableVariance,Inner Iteration,Iteration,OptimizationReturnMin,EpThisIter,MeanEntropy,Weights,DivergenceHarmonic,StdWReturnMean,Penalization,EpisodesSoFar,OptimizationReturnMean,EmpiricalD2Arithmetic,ReturnStepMaxmin,ESSRenyiHarmonic,InitialReturnMean,InitialReturnMin,EpRewMean,MeanIW,ESSRenyiArithmetic,ReturnStepMax,MinTargetPdf,InitialReturnMax,InitialBound,TimeElapsed,EpLenMean,EmpiricalD2Harmonic,ReturnMeanIW,OptimizationReturnMax,InitialReturnStd,Bound,MinIW,VarianceInitializer
1.0,2.0,1212.2704,-250.78844,147.78421,50000,0.14299518,,1,1,,100,0.4189424,[0. 0.],8.959569e+17,,True,100,0.29178497,1.0,0.8420187,100.0,-416.20316,-416.49493,-416.2031495898962,74.011116,100.0,0.8420187,-250.78844,-415.4307,-0.18074983,14.14674711227417,500.0,1.0,9.301074,1.0642395,0.2405342,-35735610.0,0.011255049,-1.0
1.0,2.0,34341.93,-251.13135,5523.1895,100000,22.926617,,1,2,,100,0.4189424,[0.007 0.25 ],1.0189102e+31,,True,200,3.8722053,1.0,0.84374416,100.0,-412.57523,-416.44745,-412.57524286031725,1864.4211,100.0,0.84374416,-251.13135,-405.1855,-27.154469,28.395041704177856,500.0,1.0,89947.1,11.261963,2.8164952,-1.3495063e+16,0.053881966,-1.0
1.0,2.0,60031.49,-250.68262,6038.534,150000,266.71387,,1,3,,100,0.4189424,[0.013 0.375],2.968059e+16,,True,300,14.774431,1.0,0.84913063,100.0,-400.0872,-414.8616,-400.0871719747782,884.39264,100.0,0.84913063,-250.68262,-384.52362,-297.39447,44.97547721862793,500.0,1.0,243701.42,30.337982,6.9591694,-5285772300.0,0.11734832,-1.0
1.0,2.0,2333624.8,-249.86998,237978.8,200000,652.99585,,1,4,,100,0.4189424,[0.015 0.437],1.5712781e+22,,True,400,23.96629,1.0,0.8524016,100.0,-390.95715,-414.92346,-390.95717312976717,36139.926,100.0,0.8524016,-249.86998,-364.75024,-736.9097,62.17859482765198,500.0,1.0,18895432.0,50.173218,8.866394,-10518407000000.0,0.48321435,-1.0
1.0,2.0,61602824.0,-264.06702,7555538.5,247245,5092.285,,1,5,,100,0.4189424,[0.009 0.5  ],3.963103e+28,,True,500,58.60592,1.0,0.8586873,100.0,-346.87332,-405.47922,-346.8733059443533,1423081.2,100.0,0.8586873,-264.06702,-206.20847,-6415.942,77.30537128448486,472.45,1.0,2843118300.0,199.27075,40.714024,-2.6350176e+17,0.06876272,-1.0
1.0,2.0,133644424.0,-226.34186,13294236.0,280511,18122.207,,1,6,,100,0.4189424,[0.015 0.562],3.1379484e+25,,True,600,120.32444,1.0,0.86154413,100.0,-239.62837,-359.95282,-239.6283740735054,1476427.9,100.0,0.86154413,-226.34186,-137.50963,-19771.598,89.78056383132935,332.66,1.0,4393661000.0,222.44319,60.367496,-9239322000000000.0,0.007671412,-1.0
1.0,2.0,733210.4,-168.30016,88297.6,305451,15804.437,,1,7,,100,0.4189424,[0.008 0.624],2.1726906e+16,,True,700,118.09956,1.0,0.85918945,100.0,-180.35771,-298.45728,-180.35771759480238,18197.54,100.0,0.85918945,-168.30016,-104.32786,-17060.658,98.4814293384552,249.4,1.0,149574240.0,194.12943,43.092136,-185315230000.0,0.050868284,-1.0
1.0,2.0,96917.28,-138.87178,13359.998,325473,7247.6567,,1,8,,100,0.4189424,[0.005 0.686],13794988000000.0,,True,800,80.24832,1.0,0.86256886,100.0,-143.43991,-223.68823,-143.43991691306235,2890.5657,100.0,0.86256886,-138.87178,-84.24817,-7895.779,106.02016425132751,200.22,1.0,21024716.0,139.44006,28.422964,-2428238000.0,0.048903134,-1.0
1.0,2.0,1334028.8,-133.8317,132700.02,344018,12231.168,,1,9,,100,0.4189424,[0.006 0.749],2227119800000.0,,True,900,105.97041,1.0,0.8650168,100.0,-133.08916,-239.05959,-133.08917241930962,14372.639,100.0,0.8650168,-133.8317,-83.036514,-13042.613,113.46769142150879,185.45,1.0,42179028.0,156.02307,31.645523,-1253134600.0,0.12423802,-1.0
1.0,2.0,4776.2944,-138.6929,764.30664,361002,11076.333,,1,10,,100,0.4189424,[0.014 0.811],14466166000.0,,True,1000,100.44365,1.0,0.8569718,100.0,-122.17536,-222.61902,-122.17535764306784,249.79445,100.0,0.8569718,-138.6929,-74.43048,-11808.331,118.93093156814575,169.84,1.0,2557057.2,148.18854,31.42299,-90598000.0,0.082574934,-1.0
1.0,2.0,13165.152,-134.63614,1395.3771,379865,18060.957,,1,11,,100,0.4189424,[0.028 0.75 ],538581300000.0,,True,1100,129.08586,1.0,0.86335933,100.0,-135.66202,-264.74786,-135.66200413793325,302.78946,100.0,0.86335933,-134.63614,-72.05025,-19298.71,125.58159184455872,188.63,1.0,6272995.0,192.69762,37.387127,-914631040.0,0.039554648,-1.0
1.0,2.0,24891.178,-179.74979,2935.7095,400660,21947.242,,1,12,,100,0.4189424,[0.041 0.689],2099541600000.0,,True,1200,143.23146,1.0,0.8614201,100.0,-149.5844,-292.81586,-149.58438321471215,821.4933,100.0,0.8614201,-179.74979,-93.10913,-23276.68,132.56463837623596,207.95,1.0,13502781.0,199.70673,37.841606,-1939813600.0,0.19210383,-1.0
1.0,2.0,24939.459,-138.26544,2971.2932,420056,17558.729,,1,13,,100,0.4189424,[0.069 0.745],8432916600000.0,,True,1300,126.89791,1.0,0.8669865,100.0,-139.75095,-266.64886,-139.75094474434852,929.07666,100.0,0.8669865,-138.26544,-83.022316,-18682.693,138.5504331588745,193.96,1.0,12018552.0,183.62656,38.152927,-3275932000.0,0.087581255,-1.0
1.0,2.0,8767.942,-136.44092,881.47925,436968,23868.336,,1,14,,100,0.4189424,[0.075 0.807],88719890000.0,,True,1400,151.10303,1.0,0.86237085,100.0,-121.00726,-272.1103,-121.00727056011557,152.4948,100.0,0.86237085,-136.44092,-72.04583,-25202.535,145.1287763118744,169.12,1.0,3260047.2,200.06445,32.19025,-400661150.0,0.09059816,-1.0
1.0,2.0,73958.39,-149.96391,8027.8745,455090,22181.553,,1,15,,100,0.4189424,[0.098 0.749],307890500000.0,,True,1500,145.40027,1.0,0.8681299,100.0,-130.5235,-275.92377,-130.52349373221398,1524.3197,100.0,0.8681299,-149.96391,-73.38707,-23548.932,151.70272707939148,181.22,1.0,26320696.0,202.5367,32.2539,-785045600.0,0.033278637,-1.0
1.0,2.0,72227896.0,-136.45178,7818193.5,471477,15397.09,,1,16,,100,0.4189424,[0.091 0.811],1.0387632e+30,,True,1600,120.16926,1.0,0.86791384,100.0,-117.46046,-237.62971,-117.46045917138457,1472026.1,100.0,0.86791384,-136.45178,-71.81897,-16313.534,158.15927720069885,163.87,1.0,18238781000.0,165.81075,30.92637,-9.340333e+17,0.011481852,-1.0
1.0,2.0,68453265000.0,-133.07907,8831490000.0,486356,16211.897,,1,17,,100,0.4189424,[0.173 0.905],2.758667e+36,,True,1700,124.2125,1.0,0.86197644,100.0,-106.49412,-230.70663,-106.49411780789495,1280623600.0,100.0,0.86197644,-133.07907,-60.668575,-17175.666,163.1965503692627,148.79,1.0,20102441000000.0,170.03806,27.984781,-1.6007393e+21,0.18164174,-1.0
1.0,2.0,13303.684,-101.226974,1465.1152,499723,6567.0093,,1,18,,100,0.4189424,[0.214 1.023],720302850.0,,True,1800,77.82029,1.0,0.8532755,100.0,-94.91923,-172.73952,-94.91922616958618,259.06882,100.0,0.8532755,-101.226974,-61.132545,-6982.214,169.31586122512817,133.67,1.0,1115329.2,111.60697,22.605568,-12258761.0,0.035964943,-1.0
1.0,2.0,8701.701,-113.78263,928.0897,512676,16462.336,,1,19,,100,0.4189424,[0.228 1.084],1248370600.0,,True,1900,126.15761,1.0,0.8645663,100.0,-91.33293,-217.49054,-91.33292909562587,187.66327,100.0,0.8645663,-113.78263,-61.591354,-17272.486,174.81379675865173,129.53,1.0,2167834.2,155.89919,23.379341,-30792354.0,0.062741384,-1.0
1.0,2.0,17963.355,-88.02377,2353.3164,524765,3109.411,,1,20,,100,0.4189424,[0.238 1.146],161972770.0,,True,2000,52.613735,1.0,0.85819364,100.0,-85.50524,-138.11899,-85.50525022163987,407.04544,100.0,0.85819364,-88.02377,-51.1334,-3361.6274,179.45155000686646,120.89,1.0,1170106.0,86.98559,18.471746,-4380027.0,0.06442729,-1.0
1.0,2.0,211152430.0,-122.13791,22117832.0,536916,16916.44,,1,21,,100,0.4189424,[0.229 1.208],5.3250763e+34,,True,2100,128.07875,1.0,0.8608165,100.0,-85.820175,-213.89894,-85.82018644958734,3739153.5,100.0,0.8608165,-122.13791,-51.24218,-17798.346,183.97159051895142,121.51,1.0,55665950000.0,162.65677,22.633451,-2.035101e+20,0.03690332,-1.0
