StdIW,InitialReturnStd,ESSRenyiHarmonic,ReturnStepMaxmin,InitialReturnMean,MaxIW,ReturnStepMax,MinIW,EmpiricalD2Arithmetic,Iteration,DivergenceHarmonic,EmpiricalD2Harmonic,MeanD2-0,EpLenMean,MeanIW,TimeElapsed,Epsilon,InitialBound,InitialReturnMax,Penalization,Bound,Inner Iteration,EpThisIter,EpRewMean,EpisodesSoFar,MinTargetPdf,ESSRenyiArithmetic,OptimizationReturnMean,VarianceInitializer,TimestepsSoFar,InitialReturnMin,Weights,MeanEntropy,StdWReturnMean,LearnableVariance,OptimizationReturnMax,OptimizationReturnMin,ReturnMeanIW,WReturnMean,MinBehavPdf
204.65865,0.29860723,100.0,0.8422575,-416.1875,1295.2687,0.8422575,0.028739896,1.0,1,7.6276024e+24,1.0,1.0,500.0,94.43363,34.129128217697144,2.0,-0.3680272,-414.85986,True,-281404180000.0,1,100,-416.1875411452353,100,-254.05592,100.0,0.42067415,-1.0,50000,-416.60822,[-0.  0.],0.4189424,,,1.748352,,12.954969,0.266133,-254.05592
7508.212,2.8665292,100.0,0.84381676,-412.207,64024.215,0.84381676,0.23765133,1.0,2,2.9077715e+29,1.0,1.0,500.0,2116.385,69.16501045227051,2.0,-31.018589,-405.52258,True,-2180999200000000.0,1,100,-412.20700919747355,200,-245.33446,100.0,4.330922,-1.0,100000,-416.53793,[0.007 0.25 ],0.4189424,,,11.01535,,79624.43,26.973873,-245.33446
673.33765,5.6531663,100.0,0.84996533,-400.97256,5146.5483,0.84996533,0.08074091,1.0,3,132253690000000.0,1.0,1.0,500.0,236.97537,103.83913445472717,2.0,-281.7034,-388.22314,True,-294623400.0,1,100,-400.9726241956651,300,-247.23466,100.0,14.970982,-1.0,150000,-415.9436,[0.004 0.375],0.4189424,,,27.720459,,56787.555,256.0886,-247.23466
75008.445,15.295433,100.0,0.85179937,-389.0172,675671.25,0.85179937,0.1786293,1.0,4,1.1473171e+23,1.0,1.0,498.68,16504.723,143.62544751167297,2.0,-1567.7825,-261.81665,True,-257873800000000.0,1,100,-389.01720369413493,400,-242.68143,100.0,23.92689,-1.0,199868,-412.9441,[0.019 0.435],0.4189424,,,151.12744,,9222153.0,806.44617,-242.68143
90198056.0,40.58188,100.0,0.8568303,-352.9651,860556300.0,0.8568303,0.04009242,1.0,5,1.0529227e+29,1.0,1.0,477.71,12182624.0,183.68406009674072,2.0,-5612.5195,-199.89043,True,-4.4955594e+17,1,100,-352.9650909911096,500,-255.62238,100.0,50.79534,-1.0,247639,-403.76044,[0.018 0.498],0.4189424,,,203.87001,,18448069000.0,4227.0557,-255.62238
555717.9,63.10383,100.0,0.8645952,-247.99419,5170268.0,0.8645952,0.022971556,1.0,6,3.3440237e+27,1.0,1.0,342.93,84240.83,210.72316646575928,2.0,-27858.607,-127.07226,True,-1.3795105e+17,1,100,-247.99417039230465,600,-235.47641,100.0,146.59781,-1.0,281932,-394.59198,[0.023 0.56 ],0.4189424,,,267.5197,,1186881900.0,25473.012,-235.47641
793888.1,44.845264,100.0,0.8644305,-178.84395,7974457.0,0.8644305,0.014526717,1.0,7,4.465469e+16,1.0,1.0,248.0,89197.35,228.9883575439453,2.0,-40926.906,-94.12457,True,-536930980000.0,1,100,-178.84395579740405,700,-198.77228,100.0,190.75194,-1.0,306732,-369.5959,[0.009 0.621],0.4189424,,,275.4713,,2409640200.0,38397.4,-198.77228
169824.2,36.999477,100.0,0.8592929,-156.86671,1705702.0,0.8592929,0.039754327,1.0,8,9448221000000.0,1.0,1.0,217.04,19026.287,244.16682386398315,2.0,-17660.793,-93.29983,True,-3704908800.0,1,100,-156.8667104485631,800,-148.33725,100.0,123.01,-1.0,328436,-279.8767,[0.017 0.683],0.4189424,,,186.57687,,138185500.0,16500.42,-148.33725
14169.683,36.70882,100.0,0.86070246,-129.65372,141087.0,0.86070246,0.013744389,1.0,9,13006390000.0,1.0,1.0,180.7,2107.357,258.70955991744995,2.0,-27500.602,-82.17743,True,-191110860.0,1,100,-129.65371471807362,900,-173.55472,100.0,157.33652,-1.0,346506,-286.99023,[0.005 0.745],0.4189424,,,204.8128,,31643670.0,26102.318,-173.55472
3158800.2,26.582424,100.0,0.85697776,-119.681435,31755446.0,0.85697776,0.012750916,1.0,10,6.778517e+20,1.0,1.0,167.14,327956.56,274.7738938331604,2.0,-10151.91,-72.91055,True,-17137212000000.0,1,100,-119.68143430098891,1000,-117.594864,100.0,93.739914,-1.0,363220,-213.42136,[0.031 0.802],0.4189424,,,140.5108,,2945271600.0,9493.798,-117.594864
