InitialReturnMin,MaxIWNorm,InitialReturnStd,EpLenMean,TimestepsSoFar,J_sample_variance,MeanIW,StdIW,EpThisIter,ESSRenyi,Bound,OptimizationReturnMin,ESSClassic,ReturnMeanIW,EmpiricalD2,EpRewMean,InitialReturnMean,Iteration,InitialReturnMax,MeanIWNorm,TimeElapsed,MinIW,LearnableVariance,MaxIW,Weights,InitialBound,OptimizationReturnMean,VarianceInit,EpisodesSoFar,StdIWNorm,OptimizationReturnMax,ReturnStepMax,ReturnStepMaxmin,MeanEntropy,MinIWNorm
-416.5759,0.057239227,0.24440889,500.0,50000,30807.385,0.41922525,0.7669525,100,3.3659978,-250.07864,,23.004923,-174.39258,29.708872,-416.1858410158753,-416.18582,1,-415.46753,0.0041922526,55.19771862030029,0.023910478,,5.7239227,[-0.  0.],-430.0717,0.39005554,-1.0,100,0.0076695257,1.1083679,0.84202474,0.84202474,0.4189424,0.00023910477
-416.48215,0.02485121,1.1282789,500.0,100000,162708.75,0.96366584,0.6003171,100,48.72552,-420.52716,,72.042534,-400.6389,2.0523126,-415.2089023935795,-415.2089,2,-410.0438,0.009636659,124.10376596450806,0.008617739,,2.485121,[-0.011  0.161],-429.09164,1.2732431,-1.0,200,0.0060031717,6.4383545,0.84206265,0.84206265,0.4189424,8.617739e-05
-416.52887,0.04748816,0.6993965,500.0,150000,142766.33,0.90257895,0.80103576,100,22.975,-404.48322,,55.93935,-375.51672,4.352557,-415.69783409461377,-415.6978,3,-412.7688,0.00902579,188.43073272705078,0.0048737894,,4.748816,[-0.028  0.113],-429.58215,0.8310321,-1.0,300,0.008010357,3.7600708,0.8427557,0.8427557,0.4189424,4.8737893e-05
-416.52435,0.024648184,0.31435546,500.0,200000,34761.37,0.44537285,0.54293084,100,3.5661216,-258.73254,,40.224003,-185.2099,28.041668,-416.07263408645986,-416.07266,4,-414.82785,0.004453728,247.71196961402893,0.03156924,,2.4648185,[0.148 0.041],-429.9568,0.45171997,-1.0,400,0.005429308,1.6965027,0.84179574,0.84179574,0.4189424,0.0003156924
-416.4523,0.06791456,1.4150658,500.0,250000,65420.445,0.6109716,1.0537114,100,3.8208365,-323.73788,,25.160946,-252.72047,26.17228,-415.0256166186929,-415.02563,5,-409.77155,0.0061097164,310.7602758407593,0.06981737,,6.791456,[0.067 0.185],-428.90735,1.4266825,-1.0,500,0.010537113,6.6807556,0.84199,0.84199,0.4189424,0.0006981737
-416.37952,0.07063479,2.8648674,500.0,300000,36166.69,0.45407298,0.83568656,100,3.5533159,-259.87555,,22.793798,-186.24614,28.142727,-411.6678088350594,-411.66785,6,-404.22195,0.0045407303,369.7066082954407,0.03831712,,7.063479,[0.088 0.265],-425.54712,4.7117066,-1.0,600,0.0083568655,12.157562,0.8434979,0.8434979,0.4189424,0.0003831712
-416.23367,0.048928373,4.9341483,500.0,350000,63111.445,0.5995865,0.9528255,100,3.2980459,-318.94867,,28.365906,-242.54967,30.320986,-406.24724370524285,-406.24722,7,-392.75885,0.005995865,427.68495988845825,0.002594635,,4.8928375,[0.07  0.323],-420.1217,9.9864235,-1.0,700,0.009528255,23.474823,0.84411216,0.84411216,0.4189424,2.5946349e-05
-416.24347,0.059620503,5.680179,500.0,400000,55148.535,0.55986124,1.0162683,100,3.2340899,-302.1308,,23.282866,-224.97827,30.9206,-404.4153527155519,-404.4154,8,-392.39142,0.0055986126,500.9957220554352,0.008166398,,5.9620504,[-0.1   0.35],-418.29016,11.828116,-1.0,800,0.010162682,23.85205,0.84856313,0.84856313,0.4189424,8.166398e-05
-416.0203,0.097867996,7.374227,500.0,450000,82957.97,0.68593025,1.269737,100,3.6564856,-345.13763,,22.59053,-272.61703,27.348665,-398.7573643775284,-398.75735,9,-381.08932,0.006859303,558.0501537322998,0.0033805098,,9.786799,[-0.07   0.391],-412.62473,17.262932,-1.0,900,0.012697371,34.93097,0.8509184,0.8509184,0.4189424,3.3805096e-05
-412.1827,0.06254888,7.339584,500.0,500000,80421.13,0.68324274,1.0490764,100,4.2311163,-337.80942,,29.78346,-271.01486,23.634424,-393.69888715952635,-393.69885,10,-377.81052,0.0068324273,615.0969207286835,0.0024221542,,6.2548885,[0.03  0.416],-407.43826,18.483824,-1.0,1000,0.010490764,34.372192,0.85160846,0.85160846,0.4189424,2.4221541e-05
