LearnableVariance,VarianceInit,MeanIWNorm,EmpiricalD2,Bound,EpThisIter,MinIWNorm,ReturnStepMaxmin,InitialReturnMean,ESSRenyi,EpisodesSoFar,StdIW,TimestepsSoFar,InitialReturnMax,OptimizationReturnMin,Iteration,Weights,InitialBound,MinIW,InitialReturnMin,EpLenMean,MaxIW,ESSClassic,MeanIW,ReturnMeanIW,InitialReturnStd,OptimizationReturnMax,StdIWNorm,J_sample_variance,EpRewMean,MeanEntropy,ReturnStepMax,TimeElapsed,MaxIWNorm,OptimizationReturnMean
True,-1,0.0042934422,35.535957,-260.04965,100,0.00027285516,0.84220433,-414.5193,2.8140512,100,0.9285334,50000,-411.91394,,1,[-0.  0.  0.],-428.38168,0.027285518,-415.87134,500.0,6.3798046,17.61439,0.42934427,-177.41318,0.8907868,3.9573975,0.009285334,32215.275,-414.5192823341489,1.4167904,0.84220433,10.822461128234863,0.06379805,1.3520584
True,-1,0.008896024,10.321156,-411.61197,100,0.00012214735,0.8442714,-411.6053,9.688838,200,1.4013377,100000,-405.7509,,2,[-0.049  0.241 -0.002],-425.46085,0.012214735,-415.6677,500.0,7.957936,28.724228,0.8896025,-367.09872,2.392684,9.916809,0.014013378,138143.06,-411.60526417076585,1.4569789,0.8442714,25.426061868667603,0.07957935,4.062435
True,-1,0.0061625885,33.541187,-334.92636,100,5.914145e-06,0.84303325,-412.6606,2.981409,300,1.4761208,150000,-407.63147,,3,[-0.057  0.172  0.038],-426.5057,0.0005914145,-415.352,500.0,10.316777,14.842456,0.61625886,-254.74301,1.6075349,7.72052,0.014761207,66189.58,-412.6606049729884,1.3977184,0.84303325,41.2516450881958,0.10316777,2.6913865
True,-1,0.0056065754,16.406805,-288.2397,100,1.4395713e-05,0.8432215,-413.84366,6.0950317,400,1.415462,200000,-411.49548,,4,[-0.059  0.1   -0.021],-427.7093,0.0014395714,-415.96915,500.0,10.278901,13.5614605,0.56065756,-232.07646,1.0912812,4.4736633,0.014154619,54949.55,-413.84366898313164,1.3435172,0.8432215,60.088295698165894,0.10278901,2.1254778
True,-1,0.0052872305,31.16611,-295.82196,100,0.0001994087,0.84218013,-414.43054,3.2086136,500,0.9405242,250000,-410.11853,,5,[-0.071  0.051 -0.075],-428.29672,0.019940872,-415.98538,500.0,7.545334,24.013397,0.5287231,-218.41177,1.0429125,5.866852,0.009405241,48885.34,-414.4305575580895,1.3593273,0.84218013,79.99299883842468,0.07545333,1.5548217
True,-1,0.0049633286,32.661873,-283.4145,100,6.7153783e-06,0.84681034,-411.33746,3.0616739,600,1.1573601,300000,-406.61728,,6,[-0.054  0.249 -0.06 ],-425.18753,0.0006715378,-415.50174,500.0,8.133785,15.534232,0.49633288,-204.26062,2.0007792,8.88446,0.0115736015,42982.844,-411.33745652467013,1.2992564,0.84681034,98.71018886566162,0.081337854,4.164286
True,-1,0.007231978,34.480835,-380.31207,100,1.4524404e-05,0.8469269,-412.21777,2.9001617,700,1.465229,350000,-401.08508,,7,[-0.008  0.2   -0.12 ],-426.08582,0.0014524404,-416.04126,500.0,7.7976303,19.58923,0.7231979,-298.8784,2.3464015,14.956177,0.01465229,91467.01,-412.2177997264266,1.2424189,0.8469269,118.40852665901184,0.0779763,3.8234613
True,-1,0.0037630145,42.554096,-246.1427,100,1.1557792e-05,0.8466974,-413.70273,2.34995,800,0.8553071,400000,-409.81686,,8,[-0.042  0.126 -0.177],-427.56714,0.0011557792,-415.93335,500.0,7.0569105,16.217407,0.3763014,-155.70007,1.471373,6.1164856,0.008553071,24748.234,-413.7027367424965,1.1783321,0.8466974,137.72783398628235,0.070569105,2.230617
True,-1,0.007083282,31.880892,-371.4975,100,8.619683e-06,0.84681094,-413.13663,3.1366751,900,1.7687223,450000,-408.4554,,9,[-0.046  0.162 -0.241],-427.00378,0.0008619683,-416.01367,500.0,11.95367,13.821324,0.70832825,-293.19934,1.7667542,7.558258,0.017687224,87724.21,-413.1366639952362,1.118483,0.84681094,158.80697536468506,0.11953669,2.877011
True,-1,0.0048349067,33.38269,-280.50922,100,2.3387875e-05,0.8465452,-414.1464,2.9955645,1000,0.6662262,500000,-408.73688,,10,[-0.051  0.114 -0.3  ],-428.01505,0.0023387875,-416.06073,500.0,4.5629196,34.497654,0.48349065,-200.37903,1.3593384,7.3238525,0.006662261,40875.85,-414.1463790848851,1.1651653,0.8465452,179.23811626434326,0.045629196,1.9143457
True,-1,0.009766391,1.1367879,-420.20517,100,0.0029583105,0.8469243,-414.85355,87.967155,1100,0.36265996,550000,-412.24628,,11,[-0.066  0.022 -0.254],-428.72632,0.29583105,-416.18362,500.0,1.9845657,87.881996,0.97663903,-405.41397,0.9422815,3.9373474,0.0036265997,166879.75,-414.8535105632246,1.170101,0.8469243,201.64499950408936,0.019845657,1.3301108
True,-1,0.008377774,11.406249,-394.93637,100,4.128721e-05,0.84665346,-415.09164,8.767124,1200,1.384236,600000,-412.8851,,12,[-0.097 -0.015 -0.249],-428.9692,0.004128721,-416.3267,500.0,7.8141923,26.809635,0.8377774,-348.0675,0.7028187,3.4415894,0.013842359,122884.07,-415.0916719201207,1.2048205,0.84665346,223.05424761772156,0.07814192,1.2350141
True,-1,0.008441398,6.420563,-386.16187,100,3.6953556e-05,0.84677577,-415.48615,15.574958,1300,1.0077875,650000,-413.56616,,13,[-0.086 -0.138 -0.214],-429.36276,0.0036953557,-416.30035,500.0,5.852614,41.231857,0.8441399,-350.99997,0.47385445,2.734192,0.010077875,124740.555,-415.4861040462554,1.2167804,0.84677577,241.1959047317505,0.05852614,0.8142499
True,-1,0.0034843609,37.25966,-229.55298,100,9.550187e-05,0.84674746,-415.9216,2.683868,1400,0.6463757,700000,-415.04013,,14,[-0.074 -0.318 -0.202],-429.80148,0.009550187,-416.39697,500.0,3.7225907,22.515873,0.34843606,-144.82912,0.25742373,1.356842,0.0064637573,21263.531,-415.92155795782804,1.2073841,0.84674746,261.39827704429626,0.037225906,0.4754135
True,-1,0.0051302556,29.511127,-288.24582,100,1.1324272e-05,0.8467053,-414.93372,3.3885524,1500,1.3200868,750000,-410.63135,,15,[-0.134 -0.002 -0.212],-428.80496,0.0011324272,-416.13834,500.0,10.756646,13.121551,0.5130256,-212.89128,0.89961565,5.5069885,0.013200869,46041.035,-414.9336909873784,1.1457659,0.8467053,281.06608533859253,0.10756646,1.2046466
True,-1,0.0039540245,35.13084,-246.47104,100,2.1767187e-06,0.84659135,-415.00824,2.8465018,1600,0.88530815,800000,-413.25882,,16,[-0.117 -0.009 -0.273],-428.88446,0.00021767187,-416.2868,500.0,6.9831405,16.630236,0.39540246,-164.22487,0.69027627,3.0279846,0.008853082,27368.293,-415.00823500961064,1.0907155,0.84659135,301.63747215270996,0.0698314,1.2785666
