ReturnStepMax,OptimizationReturnMean,MeanEntropy,ESSRenyiHarmonic,TimestepsSoFar,OptimizationReturnMin,EpisodesSoFar,InitialBound,InitialReturnMin,TimeElapsed,MinBehavPdf,EpThisIter,Iteration,EpRewMean,Weights,ReturnMeanIW,MaxIW,StdWReturnMean,VarianceInitializer,WReturnMean,MeanIW,Epsilon,ReturnStepMaxmin,LearnableVariance,InitialReturnMax,StdIW,Inner Iteration,Penalization,OptimizationReturnMax,InitialReturnStd,MinTargetPdf,InitialReturnMean,Bound,ESSRenyiArithmetic,EmpiricalD2Arithmetic,DivergenceHarmonic,EpLenMean,MeanD2-0,MinIW,EmpiricalD2Harmonic
0.8420527,0.4605255,0.4189424,100.0,50000,,100,-0.33490872,-416.64264,5.963463306427002,-249.6153,100,1,-416.18211299598215,[-0.  0.],19.580975,1834.0505,,-1.0,0.2778371,80.92447,2.0,0.8420527,,-415.33417,227.46426,1,True,1.3084717,0.25642416,-249.6153,-416.18207,-142596320.0,100.0,1.0,6.2431205e+18,500.0,1.0,0.05223216,1.0
0.84381866,3.9760253,0.4189424,100.0,100000,,200,-26.760319,-416.2527,12.135836839675903,-258.94962,100,2,-412.2766613264382,[0.007 0.25 ],48444.344,24463.805,,-1.0,22.483637,1634.5709,2.0,0.84381866,,-404.92587,4215.048,1,True,11.326813,2.5835748,-258.94962,-412.27664,-6182298300000000.0,100.0,1.0,2.0898323e+30,500.0,1.0,0.038619507,1.0
0.8487659,14.966689,0.4189424,100.0,150000,,300,-282.643,-415.84827,18.35374927520752,-261.05228,100,3,-400.8815761701763,[0.018 0.374],114492.34,11205.475,,-1.0,256.64926,578.5402,2.0,0.8487659,,-387.92352,1432.4115,1,True,27.924744,5.7137966,-261.05228,-400.8816,-1171939500.0,100.0,1.0,2032409300000000.0,500.0,1.0,0.047246903,1.0
0.8533395,21.052452,0.4189424,100.0,200000,,400,-567.76074,-412.57898,24.478652000427246,-265.99167,100,4,-391.5265296690166,[0.017 0.437],7596062.0,1049090.2,,-1.0,515.7101,18687.834,2.0,0.8533395,,-373.06342,112565.805,1,True,39.515564,8.514952,-265.99167,-391.52652,-573510900000.0,100.0,1.0,1.2140643e+20,500.0,1.0,0.112963036,1.0
0.86294585,62.334213,0.4189424,100.0,246607,,500,-9319.04,-405.56293,29.99506664276123,-253.11302,100,5,-343.22871113985775,[0.007 0.498],22453977000.0,1340279300.0,,-1.0,7129.2285,13924406.0,2.0,0.86294585,,-149.25662,133327400.0,1,True,256.3063,56.953266,-253.11302,-343.2287,-3.13023e+18,100.0,1.0,2.0434209e+30,466.07,1.0,0.012739637,1.0
0.86864614,148.7655,0.4189424,100.0,280430,,600,-27910.945,-392.57794,34.84409523010254,-251.23306,100,6,-243.81241558134556,[0.009 0.561],2500245200.0,101188440.0,,-1.0,25598.014,1354892.6,2.0,0.86864614,,-129.164,10162706.0,1,True,263.41394,58.87982,-251.23306,-243.81242,-2.4835318e+16,100.0,1.0,1.1529933e+26,338.23,1.0,0.044318035,1.0
0.86306375,193.32423,0.4189424,100.0,305855,,700,-42322.094,-376.5001,38.45645833015442,-210.50119,100,7,-183.17583800390364,[0.025 0.621],7418725000.0,21522578.0,,-1.0,39932.844,296351.47,2.0,0.86306375,,-108.77504,2194898.2,1,True,267.72504,50.582382,-210.50119,-183.17584,-37760850000000.0,100.0,1.0,2.4968896e+20,254.25,1.0,0.05262094,1.0
0.8635198,102.305046,0.4189424,100.0,326640,,800,-12566.513,-251.7554,41.107014656066895,-159.71567,100,8,-149.4503485685587,[0.015 0.683],21053838.0,47184.727,,-1.0,11627.218,2487.997,2.0,0.8635198,,-83.89056,8249.749,1,True,167.86484,34.071896,-159.71567,-149.45035,-15725677000.0,100.0,1.0,279549400000000.0,207.85,1.0,0.044894528,1.0
0.8592729,114.74069,0.4189424,100.0,344804,,900,-15083.57,-244.80966,43.35976767539978,-151.54343,100,9,-130.06897841334342,[0.016 0.745],912885.4,2336.2844,,-1.0,14204.986,98.95403,2.0,0.8592729,,-82.460106,291.8494,1,True,162.34955,32.24223,-151.54343,-130.06897,-8917505.0,100.0,1.0,83007920.0,181.64,1.0,0.0068105618,1.0
0.8627217,106.19658,0.4189424,100.0,362018,,1000,-13201.727,-229.84927,45.59723663330078,-132.35388,100,10,-123.65268142402172,[-0.018  0.798],266951340000.0,3515413500.0,,-1.0,12384.521,35700740.0,2.0,0.8627217,,-73.27339,349734620.0,1,True,156.57588,33.268696,-132.35388,-123.65268,-1.3237531e+19,100.0,1.0,2.6239588e+32,172.14,1.0,0.7326211,1.0
