InitialBound,EmpiricalD2,ReturnMeanIW,Bound,J_sample_variance,ESSClassic,MaxIWNorm,MeanIWNorm,InitialReturnMax,OptimizationReturnMax,ReturnStepMax,TimeElapsed,InitialReturnStd,Iteration,MeanEntropy,LearnableVariance,InitialReturnMean,ESSRenyi,EpLenMean,MeanIW,TimestepsSoFar,EpRewMean,VarianceInit,OptimizationReturnMin,MinIW,ReturnStepMaxmin,StdIW,MinIWNorm,EpThisIter,MaxIW,Weights,EpisodesSoFar,OptimizationReturnMean,InitialReturnMin,StdIWNorm
-428.38855,7.680934,-317.76294,-356.20123,103304.24,28.127,0.07475648,0.0076851947,-411.33633,4.745117,0.8421563,46.36113429069519,0.9177068,1,1.4307747,True,-414.51917,13.01925,500.0,0.7685195,50000,-414.5191501879692,-1,,0.05451213,0.8421563,1.2285026,0.00054512126,100,7.475648,[ 0. -0.  0.],100,1.5623028,-416.08145,0.012285025
-426.51535,19.478815,-260.20874,-321.4038,70008.21,12.416916,0.16243511,0.0063252063,-406.56287,9.401825,0.84382105,114.78452467918396,1.89175,2,1.4738059,True,-412.64984,5.1337824,500.0,0.6325206,100000,-412.6498612584174,-1,,0.0155884605,0.84382105,1.6798786,0.0001558846,100,16.243511,[0.063 0.178 0.012],200,3.3148305,-415.9647,0.016798787
-424.8736,36.969288,-209.41846,-293.7286,45581.28,30.580458,0.042704616,0.005105233,-403.92197,12.065826,0.84849834,187.73571395874023,2.61191,3,1.5152688,True,-411.00735,2.704948,500.0,0.5105233,150000,-411.0073514214158,-1,,0.011724245,0.84849834,0.76919144,0.000117242445,100,4.2704616,[0.161 0.272 0.055],300,4.980442,-415.9878,0.007691914
-421.2401,32.823727,-275.65536,-354.8485,79754.3,17.860476,0.07839105,0.00676911,-393.8066,20.875214,0.8484241,257.11487555503845,4.521353,4,1.4536803,True,-407.41742,3.0465767,500.0,0.6769109,200000,-407.4174366723001,-1,,0.00031996486,0.8484241,1.451647,3.1996485e-06,100,7.839105,[0.156 0.39  0.096],400,7.2643895,-414.68182,0.01451647
-420.20535,27.024792,-251.81464,-323.8335,66839.37,26.990326,0.07331835,0.0061863046,-394.28912,21.321075,0.8493612,329.49626302719116,4.01588,5,1.5054501,True,-406.35165,3.700306,500.0,0.61863047,250000,-406.3516657041013,-1,,0.0037557639,0.8493612,1.0174602,3.755764e-05,100,7.331835,[0.034 0.404 0.035],500,9.2585335,-415.6102,0.010174602
-422.6807,20.042376,-261.12698,-323.04797,72687.01,11.312278,0.1355121,0.0064376695,-395.04147,19.897766,0.84937024,399.56208992004395,3.4983945,6,1.5407844,True,-408.84937,4.9894285,500.0,0.64376694,300000,-408.84937392011284,-1,,0.012782548,0.84937024,1.802542,0.00012782548,100,13.55121,[0.045 0.365 0.087],600,6.089865,-414.93924,0.01802542
-418.2923,30.386248,-245.12071,-321.41315,63727.363,15.13109,0.086086,0.0060396316,-394.413,20.793457,0.85240746,471.6720952987671,5.006757,7,1.4855528,True,-404.45215,3.2909625,500.0,0.60396314,350000,-404.4521060015261,-1,,0.00042833266,0.85240746,1.4303743,4.2833267e-06,100,8.6086,[0.033 0.47  0.122],700,10.754342,-415.20645,0.014303742
-420.08453,10.929269,-317.8796,-363.50998,104471.73,31.0851,0.07872262,0.0077659274,-396.54654,17.529022,0.84983253,542.5465915203094,3.6531188,8,1.5066025,True,-406.28198,9.149743,500.0,0.77659273,400000,-406.28201483353973,-1,,0.006169099,0.84983253,1.1563084,6.169099e-05,100,7.872262,[0.003 0.407 0.067],800,7.793547,-414.07556,0.011563084
-423.89612,26.145245,-257.57117,-328.4388,68769.87,24.805515,0.07696359,0.006273902,-402.90475,12.884186,0.84983844,616.4636738300323,2.8894777,9,1.5582403,True,-410.0365,3.8247874,500.0,0.6273902,450000,-410.03649583026765,-1,,0.002790018,0.84983844,1.0923368,2.790018e-05,100,7.696359,[0.018 0.305 0.088],900,5.752446,-415.78894,0.010923369
-425.72156,25.989307,-180.7523,-251.46143,34020.78,20.18615,0.061462946,0.0044080685,-403.2681,12.833405,0.8498255,686.388610124588,2.183707,10,1.564004,True,-411.85147,3.8477364,500.0,0.4408069,500000,-411.8515178236365,-1,,0.026715703,0.8498255,0.8765179,0.00026715704,100,6.1462946,[0.035 0.257 0.139],1000,4.2499895,-416.1015,0.008765179
