EpRewMean,Epsilon,Weights,StdIW,MaxIW,Inner Iteration,OptimizationReturnMin,InitialBound,InitialReturnMax,MeanEntropy,MinIW,ESSRenyiArithmetic,MinTargetPdf,MinBehavPdf,EmpiricalD2Harmonic,EpThisIter,TimeElapsed,OptimizationReturnMax,EpisodesSoFar,InitialReturnStd,ESSRenyiHarmonic,StdWReturnMean,ReturnStepMax,Bound,DivergenceHarmonic,EpLenMean,MeanD2-0,Iteration,MeanIW,InitialReturnMean,WReturnMean,InitialReturnMin,TimestepsSoFar,OptimizationReturnMean,Penalization,VarianceInitializer,ReturnMeanIW,ReturnStepMaxmin,LearnableVariance,EmpiricalD2Arithmetic
-416.214885443449,2.0,[ 0. -0.],145.72633,1017.444,1,,-0.16638435,-415.45267,0.4189424,0.2847093,100.0,-250.78844,-250.78844,1.0,100,34.43691873550415,1.0537415,100,0.21067828,100.0,,0.8420187,-46935140.0,1.6080605e+18,500.0,1.0,1,66.23696,-416.21487,0.12937088,-416.5064,50000,0.29152283,True,-1.0,7.750192,0.8420187,,1.0
-412.79505282193423,2.0,[-0.027  0.249],2637.8792,20216.322,1,,-24.915558,-404.6998,0.4189424,0.25107113,100.0,-241.8554,-241.8554,1.0,100,73.85619449615479,11.736908,200,2.6574345,100.0,,0.8431115,-8.912236e+16,3.767047e+32,500.0,1.0,2,1059.5222,-412.79504,20.32359,-416.4367,100000,3.641652,True,-1.0,40374.934,0.8431115,,1.0
-400.4768181449175,2.0,[-0.024  0.374],2263.615,19558.486,1,,-330.3593,-381.17657,0.4189424,0.06608005,100.0,-248.32338,-248.32338,1.0,100,114.19764804840088,35.096863,300,6.3059845,100.0,,0.8524772,-22004730000.0,2.8720735e+17,500.0,1.0,3,648.2928,-400.47684,289.29855,-416.27344,150000,15.796617,True,-1.0,147040.56,0.8524772,,1.0
-390.06072926282883,2.0,[-0.023  0.436],106206.73,991744.1,1,,-787.21185,-365.1594,0.4189424,0.5329469,100.0,-249.16562,-249.16562,1.0,100,154.76078391075134,49.827667,400,9.117443,100.0,,0.8554653,-16139745000000.0,3.8032345e+22,500.0,1.0,4,20178.04,-390.06073,704.4498,-414.98706,200000,24.926332,True,-1.0,10716257.0,0.8554653,,1.0
-348.883265426755,2.0,[-0.027  0.498],6878218.5,49015228.0,1,,-8160.6636,-182.74353,0.4189424,0.08284502,100.0,-263.402,-263.402,1.0,100,191.95529341697693,232.39902,500,44.384914,100.0,,0.8608521,-1.1142525e+17,3.8306497e+27,471.68,1.0,5,1472328.1,-348.88327,6360.313,-415.14255,247168,66.25928,True,-1.0,4564013600.0,0.8608521,,1.0
-248.18405405327678,2.0,[-0.025  0.561],1747180.9,17094484.0,1,,-28841.736,-136.71352,0.4189424,0.027181339,100.0,-230.7693,-230.7693,1.0,100,213.82011008262634,262.42322,600,61.314392,100.0,,0.85931575,-701219200000000.0,9.331253e+22,342.31,1.0,6,260523.8,-248.18407,26546.172,-399.13675,281399,150.9527,True,-1.0,782384960.0,0.85931575,,1.0
-184.53390173196792,2.0,[-0.043  0.621],1343805.1,13473829.0,1,,-18700.35,-94.70383,0.4189424,0.017543433,100.0,-175.52176,-175.52176,1.0,100,232.00976967811584,213.8804,700,42.273193,100.0,,0.8636359,-2835680900000.0,3.4564357e+18,255.63,1.0,7,156212.08,-184.5339,17175.506,-308.58423,306962,124.05032,True,-1.0,798860700.0,0.8636359,,1.0
-152.406495975852,2.0,[-0.047  0.683],24087.434,239185.45,1,,-22184.76,-94.85379,0.4189424,0.015317423,100.0,-191.00589,-191.00589,1.0,100,247.5820074081421,196.89389,800,38.42585,100.0,,0.8601057,-4932930600.0,14133728000000.0,211.41,1.0,8,3963.2607,-152.4065,20892.51,-291.74768,328103,139.34119,True,-1.0,74772790.0,0.8601057,,1.0
-128.63398071408272,2.0,[-0.041  0.745],4176.7974,41717.33,1,,-8728.82,-81.05236,0.4189424,0.10407596,100.0,-155.49109,-155.49109,1.0,100,261.4417517185211,132.00674,900,31.942995,100.0,,0.86162555,-12117246.0,226395950.0,179.36,1.0,9,593.8753,-128.63397,8147.9575,-213.05911,346039,84.42514,True,-1.0,3377367.8,0.86162555,,1.0
-120.8637150889635,2.0,[-0.006  0.798],4556490.5,45803090.0,1,,-5985.492,-72.15663,0.4189424,0.005794929,100.0,-122.48052,-122.48052,1.0,100,274.7842297554016,118.88278,1000,24.28492,100.0,,0.8628553,-10822527000000.0,5.275748e+20,168.66,1.0,10,467594.6,-120.86372,5514.3857,-191.03941,362905,70.1757,True,-1.0,1744098600.0,0.8628553,,1.0
-140.64305078834295,2.0,[-0.105  0.721],14612.72,128372.99,1,,-15830.752,-70.71566,0.4189424,0.003855104,100.0,-145.67151,-145.67151,1.0,100,288.9721486568451,184.52328,1100,39.541924,100.0,,0.8629923,-25077240000.0,487121130000000.0,195.6,1.0,11,2482.739,-140.64305,14695.784,-255.23895,382465,114.5959,True,-1.0,27708284.0,0.8629923,,1.0
-127.25787347465753,2.0,[-0.104  0.783],969.11096,8674.789,1,,-27040.15,-71.5049,0.4189424,0.019707914,100.0,-151.00163,-151.00163,1.0,100,303.7708113193512,211.10823,1200,37.674004,100.0,,0.8596308,-916150140.0,375786100000.0,176.57,1.0,12,251.47972,-127.25787,25554.586,-282.61313,400122,155.35526,True,-1.0,5483512.0,0.8596308,,1.0
-138.26944283872842,2.0,[-0.1    0.721],8919502.0,89667144.0,1,,-17460.734,-82.96626,0.4189424,0.034274556,100.0,-151.24612,-151.24612,1.0,100,320.8998544216156,179.18852,1300,32.2934,100.0,,0.85602915,-1.0922319e+16,1.0414293e+26,191.91,1.0,13,921342.5,-138.26944,16390.443,-262.1548,419313,123.88533,True,-1.0,19911967000.0,0.85602915,,1.0
-170.51296004101633,2.0,[-0.006  0.638],286163.72,2534788.5,1,,-34969.344,-94.36539,0.4189424,0.05352632,100.0,-184.94327,-184.94327,1.0,100,342.8141882419586,251.9284,1400,44.213413,100.0,,0.8692797,-12715553000000.0,3.611766e+19,236.06,1.0,14,51425.5,-170.51295,32853.727,-346.2938,442919,175.78084,True,-1.0,1241924500.0,0.8692797,,1.0
-180.75617065414787,2.0,[0.244 0.63 ],311732.1,3126752.0,1,,-33632.35,-107.975685,0.4189424,0.23122698,100.0,-194.53241,-194.53241,1.0,100,363.53756880760193,244.05222,1500,48.093105,100.0,,0.8597782,-2471953200000.0,1.5500582e+18,249.84,1.0,15,35911.527,-180.75616,31646.947,-352.0279,467903,171.27174,True,-1.0,125000184.0,0.8597782,,1.0
-145.97739893689752,2.0,[0.249 0.692],2151.068,10934.215,1,,-38458.73,-84.1594,0.4189424,0.0655148,100.0,-185.90826,-185.90826,1.0,100,380.1929144859314,247.93622,1600,42.06717,100.0,,0.85784173,-2627254500.0,1610920800000.0,202.29,1.0,16,834.3278,-145.9774,36409.637,-332.0956,488132,186.11823,True,-1.0,26521592.0,0.85784173,,1.0
-123.69056174144148,2.0,[0.249 0.754],571.86755,3747.4695,1,,-11559.1,-73.81273,0.4189424,0.023744188,100.0,-119.83174,-119.83174,1.0,100,394.99080872535706,149.65807,1700,29.264578,100.0,,0.8576626,-127747810.0,28475623000.0,172.19,1.0,17,188.0879,-123.69056,10812.511,-223.4708,505351,99.780235,True,-1.0,1763734.1,0.8576626,,1.0
-117.15877730324864,2.0,[0.242 0.817],5783.583,57979.785,1,,-7647.5576,-72.20386,0.4189424,0.045331296,100.0,-106.734726,-106.734726,1.0,100,409.8734724521637,125.24873,1800,26.02981,100.0,,0.8636197,-327221280.0,386167930000.0,163.92,1.0,18,797.1518,-117.15878,7124.647,-197.45259,521743,80.293816,True,-1.0,2273518.0,0.8636197,,1.0
-112.49641260296106,2.0,[0.246 0.879],2785.9136,27751.594,1,,-9933.465,-62.410316,0.4189424,0.049047362,100.0,-116.80606,-116.80606,1.0,100,422.98860716819763,142.00504,1900,28.498978,100.0,,0.8627903,-39149268.0,2926412800.0,157.27,1.0,19,421.268,-112.496414,9261.281,-204.41534,537470,91.91894,True,-1.0,2786742.2,0.8627903,,1.0
-119.16873732060193,2.0,[0.237 0.817],180.91333,1352.8187,1,,-13277.223,-73.75071,0.4189424,0.06780003,100.0,-129.53824,-129.53824,1.0,100,435.6238741874695,153.71582,2000,27.589632,100.0,,0.8633332,-9841258.0,130519770.0,165.9,1.0,20,68.794586,-119.16874,12489.601,-227.46654,554060,108.29779,True,-1.0,843092.06,0.8633332,,1.0
-127.37108209550381,2.0,[0.206 0.763],3652.3145,36120.418,1,,-11763.999,-62.203125,0.4189424,0.08324989,100.0,-123.536766,-123.536766,1.0,100,449.489431142807,164.84465,2100,30.376942,100.0,,0.857447,-57570484.0,3366238200.0,176.25,1.0,21,621.98694,-127.371086,10858.202,-227.04778,571685,99.67669,True,-1.0,5017077.5,0.857447,,1.0
-112.85761448442936,2.0,[0.193 0.824],2753.2415,26562.908,1,,-6726.0986,-73.86487,0.4189424,0.0296332,100.0,-106.80859,-106.80859,1.0,100,461.9668617248535,113.806335,2200,26.406328,100.0,,0.8590375,-17714930.0,1509266200.0,158.12,1.0,22,460.10004,-112.857605,6294.367,-187.6712,587497,74.81358,True,-1.0,942553.44,0.8590375,,1.0
-109.11103917166591,2.0,[0.21  0.884],13616.667,136521.03,1,,-21748.941,-71.6682,0.4189424,0.02061153,100.0,-128.47983,-128.47983,1.0,100,473.9513957500458,178.46802,2300,28.269104,100.0,,0.8631896,-97796504.0,4156644000.0,153.16,1.0,23,1638.7976,-109.111046,20687.242,-250.13622,602813,141.02519,True,-1.0,29346894.0,0.8631896,,1.0
-99.19085177525878,2.0,[0.215 0.946],194.32018,1126.0703,1,,-5035.722,-61.89693,0.4189424,0.040104046,100.0,-102.65416,-102.65416,1.0,100,484.63970279693604,101.75603,2400,23.134748,100.0,,0.8645884,-8635671.0,579708100.0,139.36,1.0,24,73.61192,-99.19085,4690.5786,-163.65295,616749,64.4621,True,-1.0,325619.16,0.8645884,,1.0
-108.72644400268793,2.0,[0.234 0.887],2311991.0,22942498.0,1,,-7613.2344,-61.031216,0.4189424,0.038751733,100.0,-105.99625,-105.99625,1.0,100,497.622430562973,127.379105,2500,26.886133,100.0,,0.8561108,-497075560000000.0,8.446829e+23,152.48,1.0,25,300822.25,-108.726456,7072.385,-188.41032,631997,79.68388,True,-1.0,485719000.0,0.8561108,,1.0
