MeanIW,MinIW,LearnableVariance,StdIW,ESSClassic,MeanEntropy,EpThisIter,OptimizationReturnMean,StdIWNorm,EpisodesSoFar,ESSRenyi,InitialReturnMax,OptimizationReturnMin,MaxIWNorm,InitialReturnMin,InitialReturnMean,Iteration,InitialReturnStd,ReturnStepMax,MinIWNorm,OptimizationReturnMax,Weights,TimestepsSoFar,J_sample_variance,TimeElapsed,Bound,ReturnStepMaxmin,ReturnMeanIW,InitialBound,MeanIWNorm,EpRewMean,MaxIW,EmpiricalD2,VarianceInit,EpLenMean
0.9714905,0.29987103,True,0.4123245,84.735954,1.4283316,100,1.5854694,0.0041232444,100,86.415855,-410.78854,,0.021596568,-415.9894,-414.4039,1,1.0768421,0.8436276,0.0029987101,5.2008667,[-0.  0.  0.],50000,164971.33,36.085519552230835,-417.71878,0.8436276,-402.80237,-428.27023,0.009714905,-414.4039414520562,2.1596568,1.1571951,-1,500.0
0.51331663,0.0120779965,True,1.0044067,20.709621,1.4771755,100,1.698359,0.010044065,200,4.918499,-412.0838,,0.066364594,-416.26154,-414.5632,2,0.79415387,0.8425382,0.000120779965,4.1777344,[-0.006 -0.032  0.009],100000,46119.926,73.71628308296204,-275.463,0.8425382,-212.8984,-428.43857,0.0051331664,-414.56317458882927,6.6364594,20.331406,-1,500.0
0.6988056,0.0009031214,True,1.5820639,16.325226,1.417913,100,1.2721963,0.015820637,300,2.4171734,-412.82822,,0.113422155,-416.23642,-414.96417,3,0.78082716,0.8428149,9.031214e-06,3.4082031,[ 0.055 -0.114  0.058],150000,85468.04,116.37071657180786,-378.94806,0.8428149,-289.70697,-428.83875,0.0069880555,-414.9642252996564,11.342216,41.370636,-1,500.0
0.623091,0.00880985,True,1.106045,24.090822,1.4659009,100,1.390282,0.01106045,400,4.5534406,-411.39368,,0.08131557,-415.863,-414.4727,4,0.9036283,0.8426911,8.8098495e-05,4.46933,[ 0.08   0.015 -0.001],200000,67828.95,160.4491662979126,-322.94003,0.8426911,-257.97806,-428.3348,0.0062309103,-414.4727215705812,8.131557,21.961414,-1,500.0
0.39102042,0.007564574,True,0.6094138,29.16311,1.4456676,100,2.2615714,0.0060941377,500,2.5552518,-409.11642,,0.035900913,-415.72336,-413.4618,5,1.2625722,0.8434674,7.564574e-05,6.6069336,[0.046 0.112 0.047],250000,26699.207,200.74994373321533,-247.94344,0.8434674,-161.25397,-427.31924,0.0039102044,-413.46178696140646,3.5900912,39.135086,-1,500.0
0.9753426,0.17482376,True,0.679031,67.35407,1.4255794,100,5.2995996,0.00679031,600,67.5419,-398.62845,,0.042944744,-415.21912,-409.91953,6,3.7136722,0.84848213,0.0017482375,16.590668,[0.091 0.321 0.027],300000,165691.44,243.1574878692627,-417.00824,0.84848213,-400.16718,-423.76016,0.009753426,-409.9195194390416,4.2944746,1.4805624,-1,500.0
0.9646953,0.15309179,True,0.46203002,81.34166,1.4283334,100,5.388168,0.0046202997,700,76.84346,-399.9943,,0.02359135,-414.79373,-409.40555,7,3.091195,0.8484542,0.0015309178,14.799438,[0.09  0.315 0.007],350000,161739.39,289.34420919418335,-411.95694,0.8484542,-396.18417,-423.23203,0.009646953,-409.40556624174116,2.3591352,1.3013469,-1,500.0
0.571801,0.0005558682,True,1.0683045,22.268728,1.4733913,100,4.5941677,0.010683046,800,4.037227,-403.95343,,0.070775114,-415.3247,-410.7306,8,2.465581,0.84849715,5.558682e-06,11.371277,[0.101 0.272 0.009],400000,56976.07,329.33318877220154,-304.54517,0.84849715,-235.64427,-424.57468,0.0057180105,-410.7305432397127,7.077512,24.769476,-1,500.0
0.8362791,0.0004476044,True,1.7174872,19.165215,1.4319303,100,3.337111,0.017174872,900,6.4136887,-406.8028,,0.1329876,-415.87982,-412.54272,9,1.978965,0.84847784,4.476044e-06,9.077026,[0.12  0.186 0.054],450000,122190.27,370.6178114414215,-400.86023,0.84847784,-346.12177,-426.4054,0.008362791,-412.5427128624916,13.29876,15.591652,-1,500.0
0.55928755,0.02466556,True,0.9805706,24.5466,1.4551195,100,1.9826273,0.009805706,1000,3.5196939,-409.87482,,0.06612818,-415.918,-413.9354,10,1.2497057,0.8484905,0.0002466556,6.0431824,[0.032 0.068 0.013],500000,54679.27,410.21021461486816,-304.66342,0.8484905,-230.7652,-427.79932,0.005592876,-413.93537446409465,6.6128182,28.411562,-1,500.0
0.9151793,0.031068414,True,0.8530927,53.50683,1.4704175,100,4.464985,0.008530926,1100,56.69301,-399.93317,,0.071222335,-415.5235,-411.05856,11,2.7902403,0.8484945,0.00031068415,15.590332,[0.067 0.259 0.036],550000,146077.27,451.5209333896637,-395.58173,0.8484945,-377.1863,-424.9093,0.009151792,-411.0585108308494,7.122234,1.763886,-1,500.0
0.3444738,0.017952845,True,0.48021793,33.9742,1.465701,100,3.382619,0.0048021795,1200,3.3460832,-405.58917,,0.03406246,-415.61353,-412.23093,12,1.7716105,0.84845173,0.00017952845,10.024353,[0.043 0.205 0.051],600000,20717.416,493.98346042633057,-217.26704,0.84845173,-141.53145,-426.0847,0.003444738,-412.2309080845118,3.4062462,29.885689,-1,500.0
0.42268646,0.00045995717,True,0.9187621,17.468323,1.4010553,100,6.9984193,0.00918762,1300,2.4405773,-398.24463,,0.050764423,-414.84378,-407.8454,13,3.6234753,0.8485295,4.5995716e-06,16.599152,[0.14  0.385 0.047],650000,31106.621,536.6445183753967,-260.79276,0.8485295,-172.27771,-421.6735,0.004226865,-407.845362765193,5.0764422,40.97391,-1,500.0
0.52020174,0.0029225617,True,0.84558266,27.455801,1.4531217,100,7.7479005,0.008455827,1400,2.9931319,-393.5477,,0.051790424,-414.0339,-406.286,14,4.0076942,0.8489011,2.9225617e-05,20.486206,[ 0.126  0.392 -0.018],700000,46963.52,581.3635056018829,-290.5074,0.8489011,-210.73514,-420.08713,0.0052020173,-406.2860038654506,5.1790423,33.40982,-1,500.0
0.42383775,0.0014592122,True,0.8804982,18.811974,1.3913032,100,9.339129,0.008804982,1500,2.7052817,-395.0629,,0.056486852,-413.8304,-404.49133,15,4.7378902,0.84971815,1.4592121e-05,18.767517,[0.134 0.438 0.034],750000,31135.01,622.804191827774,-255.63342,0.84971815,-171.76569,-418.2856,0.004238377,-404.49128905922174,5.6486855,36.964725,-1,500.0
0.79309326,0.005690394,True,1.5720687,20.287628,1.4382328,100,8.629373,0.015720684,1600,7.41667,-394.92947,,0.10666511,-414.20038,-405.571,16,4.383923,0.85008764,5.6903937e-05,19.270905,[ 0.142  0.404 -0.028],800000,109521.94,665.8302345275879,-371.09268,0.85008764,-320.3954,-419.37766,0.007930933,-405.57100375801326,10.666512,13.48314,-1,500.0
0.72558653,0.0009858235,True,1.8470533,13.368842,1.3842337,100,10.038227,0.018470533,1700,6.186074,-393.51685,,0.12517413,-414.45917,-404.421,17,4.4944205,0.85008603,9.858234e-06,20.942322,[0.126 0.431 0.019],850000,91602.79,711.0568103790283,-350.5457,0.85008603,-294.99966,-418.23624,0.0072558657,-404.4209390234947,12.517414,16.165342,-1,500.0
0.42600837,0.0054695,True,0.7782395,23.05602,1.3791503,100,8.345156,0.0077823945,1800,3.0377908,-394.92294,,0.057485003,-414.07602,-405.73087,18,4.0598793,0.8502125,5.4695e-05,19.153076,[ 0.081  0.405 -0.035],900000,31544.348,751.2120447158813,-250.59998,0.8502125,-171.40823,-419.5334,0.004260083,-405.7308643488586,5.7485003,32.91866,-1,500.0
0.5233021,0.008408285,True,1.4310964,11.794097,1.3687193,100,15.051713,0.014310964,1900,4.5415683,-375.65012,,0.13240433,-413.0527,-398.001,19,6.608482,0.85099334,8.408284e-05,37.402588,[ 0.079  0.525 -0.04 ],950000,48433.55,797.1235752105713,-269.37048,0.85099334,-204.76321,-411.7694,0.00523302,-398.0009924195707,13.240434,22.018826,-1,500.0
0.6348166,0.016206026,True,1.1139541,24.514605,1.3893371,100,29.296192,0.01113954,2000,3.8990483,-212.9317,,0.056528125,-412.6561,-383.35992,20,25.694515,0.8522485,0.00016206026,199.7244,[-4.907e-04  6.163e-01 -5.021e-02],999619,79561.54,839.109885931015,-300.9043,0.8522485,-231.2436,-397.1151,0.0063481657,-383.35990319892767,5.6528125,25.647284,-1,496.19
0.57490844,0.0013916751,True,1.1506572,19.976631,1.3482664,100,33.055225,0.011506571,2100,2.64813,-209.36978,,0.07209467,-401.82434,-368.7691,21,29.62363,0.8569896,1.39167505e-05,192.45456,[ 0.01   0.687 -0.03 ],1048696,61841.723,883.0356862545013,-278.84375,0.8569896,-196.53511,-382.16324,0.0057490836,-368.76911290884016,7.2094674,37.762497,-1,490.77
0.91347283,0.02457442,True,1.5246392,26.41481,1.3175054,100,78.17229,0.015246392,2200,26.17968,-150.03127,,0.11945871,-388.83267,-310.6604,22,68.40341,0.85760474,0.0002457442,238.8014,[ 0.024  0.748 -0.071],1091445,218992.89,925.4552938938141,-254.49301,0.85760474,-229.1616,-323.6215,0.0091347275,-310.6603915719688,11.945871,3.8197565,-1,427.49
