VarianceInitializer,InitialReturnStd,MinIW,StdWReturnMean,ESSRenyiHarmonic,EpisodesSoFar,MeanD2-0,Bound,Epsilon,TimeElapsed,EmpiricalD2Harmonic,Inner Iteration,OptimizationReturnMean,Weights,ESSRenyiArithmetic,StdIW,InitialReturnMax,InitialReturnMin,TimestepsSoFar,OptimizationReturnMax,ReturnStepMax,InitialReturnMean,EpLenMean,LearnableVariance,WReturnMean,MinBehavPdf,Iteration,EpRewMean,ReturnMeanIW,EpThisIter,ReturnStepMaxmin,Penalization,DivergenceHarmonic,MinTargetPdf,InitialBound,EmpiricalD2Arithmetic,MeanIW,MeanEntropy,MaxIW,OptimizationReturnMin
-1.0,0.21338083,0.107918456,,100.0,100,1.0,-3744653.8,2.0,10.599260330200195,1.0,1,0.40475038,[ 0. -0.],100.0,107.65454,-415.55658,-416.6068,50000,1.0502319,0.84211415,-416.20212,500.0,,0.20935424,-248.20024,1,-416.20206118837,10.660666,100,0.84211415,True,1.037343e+16,-248.20024,-0.24612157,1.0,51.31786,0.4189424,732.7256,
-1.0,2.6979415,0.121310055,,100.0,200,1.0,-75653140000000.0,2.0,22.679161071777344,1.0,1,3.8886719,[0.034 0.248],100.0,5670.9854,-406.40656,-416.2705,100000,9.863953,0.8432275,-412.38184,500.0,,22.400656,-251.43217,2,-412.3818340179324,52198.082,100,0.8432275,True,5.4411715e+26,-251.43217,-25.644003,1.0,1485.7677,0.4189424,53232.04,
-1.0,6.0410724,0.026867125,,100.0,300,1.0,-1187183500.0,2.0,36.42268681526184,1.0,1,12.963574,[0.047 0.372],100.0,6516.215,-385.63693,-414.05475,150000,28.417816,0.85159403,-401.09113,500.0,,204.54883,-242.86974,3,-401.0911743800342,186690.95,100,0.85159403,True,1944369100000000.0,-242.86974,-231.46863,1.0,1042.064,0.4189424,64247.34,
-1.0,7.9680343,0.15671882,,100.0,400,1.0,-1670982300000.0,2.0,54.674986124038696,1.0,1,26.490942,[0.037 0.434],100.0,687874.1,-372.73743,-416.04602,200000,43.308594,0.8537632,-389.55508,500.0,,765.25946,-246.2843,4,-389.5550799636543,49668204.0,100,0.8537632,True,7.142727e+20,-246.2843,-827.7822,1.0,86515.99,0.4189424,6882178.0,
-1.0,41.776905,0.026544798,,100.0,500,1.0,-1.1507926e+18,2.0,77.25549602508545,1.0,1,48.025043,[0.034 0.496],100.0,1656114.5,-170.75433,-399.3518,247608,228.59747,0.8583588,-351.32675,476.08,,4051.7139,-253.2974,5,-351.3267661577463,597023100.0,100,0.8583588,True,4.3646646e+29,-253.2974,-5793.6455,1.0,407817.84,0.4189424,14235978.0,
-1.0,65.33216,0.077754475,,100.0,600,1.0,-5102537000000000.0,2.0,94.78355312347412,1.0,1,158.10541,[0.034 0.559],100.0,21471122.0,-128.13379,-403.39853,281473,275.26474,0.8567857,-245.29315,338.65,,29265.605,-231.5699,6,-245.2931360116601,28778838000.0,100,0.8567857,True,4.0813845e+24,-231.5699,-31791.334,1.0,3796555.0,0.4189424,188422860.0,
-1.0,42.882397,0.064874165,,100.0,700,1.0,-2633018000000.0,2.0,106.8349392414093,1.0,1,110.28645,[0.02  0.619],100.0,163179.28,-105.15738,-290.05,306436,184.89261,0.85898894,-179.76352,249.63,,14002.001,-163.7348,7,-179.7635391423106,168049310.0,100,0.85898894,True,5.3384665e+18,-163.7348,-15141.521,1.0,35306.57,0.4189424,1082193.8,
-1.0,31.099684,0.02905583,,100.0,800,1.0,-7666182700.0,2.0,120.10881853103638,1.0,1,73.20332,[0.038 0.679],100.0,102521.01,-74.21321,-223.35468,327297,149.14146,0.86450064,-150.15135,208.61,,6325.917,-131.19989,8,-150.15135014399885,3812376.8,100,0.86450064,True,106800955000000.0,-131.19989,-7067.3623,1.0,13498.411,0.4189424,994502.1,
-1.0,31.839886,0.048841983,,100.0,900,1.0,-1740518000.0,2.0,134.02703714370728,1.0,1,124.29481,[0.038 0.741],100.0,10408.992,-71.459496,-256.4993,345666,185.0398,0.8598445,-132.20448,183.69,,16462.98,-135.54892,9,-132.204481844157,29005576.0,100,0.8598445,True,2248754300000.0,-135.54892,-17604.312,1.0,1924.2347,0.4189424,96365.77,
-1.0,29.156548,0.05033399,,100.0,1000,1.0,-445514800.0,2.0,147.43038129806519,1.0,1,98.83963,[0.045 0.803],100.0,3038.611,-72.90874,-221.88751,362834,148.97878,0.8688749,-123.047874,171.68,,10619.377,-140.47998,10,-123.0478771007061,6934493.0,100,0.8688749,True,351433500000.0,-140.47998,-11359.203,1.0,606.0688,0.4189424,28516.11,
-1.0,32.662033,0.059367012,,100.0,1100,1.0,-4447218000.0,2.0,165.1248927116394,1.0,1,94.354095,[0.051 0.741],100.0,203703.86,-62.729652,-227.60666,381477,164.87701,0.86412054,-133.25256,186.43,,9969.504,-128.01085,11,-133.25256337106228,105143064.0,100,0.86412054,True,22961306000000.0,-128.01085,-10875.658,1.0,29326.812,0.4189424,1618083.4,
-1.0,27.500183,0.0448401,,100.0,1200,1.0,-118552640.0,2.0,182.87377452850342,1.0,1,107.784225,[0.055 0.804],100.0,2833.1882,-73.516266,-225.65378,397997,152.13751,0.86263764,-117.86955,165.2,,12373.7,-121.28937,12,-117.86954837828874,5427762.5,100,0.86263764,True,21498765000.0,-121.28937,-13145.23,1.0,554.5878,0.4189424,25960.65,
-1.0,28.6155,0.04709216,,100.0,1300,1.0,-72712870.0,2.0,201.60458326339722,1.0,1,123.01841,[0.046 0.865],100.0,1673.0131,-61.252136,-237.37053,413994,176.1184,0.8613694,-114.35211,159.97,,15952.379,-151.048,13,-114.35210624814033,2032648.8,100,0.8613694,True,4673255400.0,-151.048,-16986.307,1.0,274.26462,0.4189424,16597.805,
-1.0,29.928556,0.0108873155,,100.0,1400,1.0,-167232020.0,2.0,226.6069939136505,1.0,1,97.014465,[0.031 0.805],100.0,3077.5234,-62.23624,-214.99945,430482,152.76321,0.86369115,-117.98499,164.88,,10307.524,-119.23273,14,-117.98498639121652,2989508.5,100,0.86369115,True,44579830000.0,-119.23273,-11085.415,1.0,631.2236,0.4189424,28143.492,
-1.0,23.34815,0.12527645,,100.0,1500,1.0,-50103668.0,2.0,243.52604150772095,1.0,1,83.56118,[0.033 0.867],100.0,6738.383,-61.03026,-187.05997,445033,126.02971,0.8573634,-103.49879,145.51,,7527.6074,-114.140656,15,-103.49878143504262,3642556.5,100,0.8573634,True,7700695600.0,-114.140656,-8057.0586,1.0,990.3016,0.4189424,62923.98,
-1.0,22.443907,0.018752843,,100.0,1600,1.0,-16449638.0,2.0,259.97828221321106,1.0,1,83.50688,[0.047 0.928],100.0,383.1204,-61.986816,-183.10764,459064,121.12082,0.86498654,-99.60075,140.31,,7477.129,-127.31552,16,-99.60074526071548,782479.2,100,0.86498654,True,1026473500.0,-127.31552,-7966.138,1.0,127.32098,0.4189424,3107.9465,
-1.0,26.283588,2.065957,,100.0,1700,1.0,-1.15502855e+17,2.0,280.4344217777252,1.0,1,93.65392,[0.056 0.99 ],100.0,23028536.0,-50.98254,-189.69841,472578,138.71587,0.86768734,-96.044495,135.14,,9461.883,-117.9346,17,-96.04449433878064,12351447000.0,100,0.86768734,True,3.2428233e+28,-117.9346,-10103.287,1.0,3003302.5,0.4189424,224612880.0,
