DivergenceHarmonic,EpLenMean,WReturnMean,TimestepsSoFar,ESSRenyiArithmetic,Weights,MaxIW,EpisodesSoFar,Epsilon,EpThisIter,EpRewMean,InitialReturnMax,OptimizationReturnMean,StdWReturnMean,OptimizationReturnMin,VarianceInitializer,MinBehavPdf,StdIW,MeanD2-0,MeanEntropy,ReturnStepMaxmin,MinTargetPdf,EmpiricalD2Harmonic,Iteration,OptimizationReturnMax,LearnableVariance,ESSRenyiHarmonic,InitialReturnMin,Inner Iteration,ReturnStepMax,ReturnMeanIW,InitialBound,TimeElapsed,Penalization,Bound,MinIW,EmpiricalD2Arithmetic,MeanIW,InitialReturnStd,InitialReturnMean
2.497004e+33,135.6,5195.267,434297,100.0,[0.191 0.953],191002060.0,1500,2.0,100,-96.9050897590816,-62.05101,68.13074,,,-1.0,-102.23818,30568848.0,1.0,0.4189424,0.8517263,-102.23818,1.0,15,102.98482,,100.0,-165.03583,1,0.8517263,22259857000.0,-5548.797,262.62235951423645,True,-1.7665861e+19,0.22435237,1.0,7870032.5,23.525936,-96.905075
1404863200.0,127.91,7995.966,447088,100.0,[0.246 1.065],2954.5574,1600,2.0,100,-89.7343835413456,-51.295082,86.65359,,,-1.0,-115.10988,315.03702,1.0,0.4189424,0.85892993,-115.10988,1.0,16,125.09289,,100.0,-176.38797,1,0.85892993,707802.44,-8517.573,272.14506220817566,True,-20258444.0,0.055755045,1.0,85.605644,22.070835,-89.73438
1.4647593e+26,122.36,5814.025,459324,100.0,[0.253 1.127],1047386.75,1700,2.0,100,-86.0192911145091,-51.21156,73.457,,,-1.0,-111.95408,128791.95,1.0,0.4189424,0.8597468,-111.95408,1.0,17,108.264725,,100.0,-159.47629,1,0.8597468,156046050.0,-6204.733,281.48396921157837,True,-4728635500000000.0,0.10114669,1.0,33464.32,20.447372,-86.01929
6404888600.0,135.83,8083.1963,472907,100.0,[0.177 1.028],11965.535,1800,2.0,100,-96.83228418961167,-50.465813,86.16003,,,-1.0,-113.19278,1391.8551,1.0,0.4189424,0.8629135,-113.19278,1.0,18,132.52649,,100.0,-182.99231,1,0.8629135,1247176.2,-8668.64,290.79372334480286,True,-48100450.0,0.030086081,1.0,330.6324,25.68358,-96.8323
2.2164029e+35,128.57,8286.766,485764,100.0,[0.179 1.091],1503066500000.0,1900,2.0,100,-90.67902632787823,-61.693855,88.91916,,,-1.0,-123.19035,149551940000.0,1.0,0.4189424,0.86042285,-123.19035,1.0,19,117.904335,,100.0,-179.59819,1,0.86042285,89563985000000.0,-8750.146,300.80405950546265,True,-2.1815384e+20,0.13589089,1.0,16080559000.0,19.497393,-90.67902
6.732796e+34,117.29,2177.381,497493,100.0,[0.169 1.216],61302153000.0,2000,2.0,100,-82.28355999663472,-51.206673,43.035873,,,-1.0,-82.07573,6099263500.0,1.0,0.4189424,0.8557329,-82.07573,1.0,20,74.11276,,100.0,-125.319435,1,0.8557329,215377900000.0,-2360.471,308.8740203380585,True,-4.7507536e+19,0.47454467,1.0,615324740.0,18.035925,-82.28356
2.7955218e+32,111.92,4261.7275,508685,100.0,[0.206 1.335],9974601000.0,2100,2.0,100,-78.21770243927837,-51.153904,63.033672,,,-1.0,-91.52,997739600.0,1.0,0.4189424,0.86244357,-91.52,1.0,21,90.09747,,100.0,-141.25137,1,0.86244357,363922400000.0,-4532.3125,318.6434395313263,True,-4.524134e+18,0.24307558,1.0,121451890.0,16.984823,-78.217705
81606140.0,116.66,2476.1682,520351,100.0,[0.219 1.211],4169.074,2200,2.0,100,-81.86555711701513,-51.025352,46.870987,,,-1.0,-84.142365,432.55396,1.0,0.4189424,0.85858715,-84.142365,1.0,22,77.71119,,100.0,-128.73654,1,0.85858715,144083.7,-2677.4685,328.90647864341736,True,-1962558.6,0.027675817,1.0,80.95258,16.711645,-81.865555
8.873767e+24,115.1,3336.65,531861,100.0,[0.2  1.27],9059300.0,2300,2.0,100,-80.6429918654263,-50.52179,55.2608,,,-1.0,-84.307236,1157685.1,1.0,0.4189424,0.8669504,-84.307236,1.0,23,85.382,,100.0,-135.9038,1,0.8669504,431612060.0,-3579.652,336.1664366722107,True,-723878500000000.0,0.21533658,1.0,227976.06,16.819443,-80.64299
101036136.0,119.84,6464.366,543845,100.0,[0.123 1.172],13418.7705,2400,2.0,100,-84.34448191344738,-51.599068,77.79874,,,-1.0,-103.552055,1880.5249,1.0,0.4189424,0.8606832,-103.552055,1.0,24,110.54415,,100.0,-162.14322,1,0.8606832,930162.1,-6871.6997,344.0003659725189,True,-5024547.0,0.056059163,1.0,429.54367,20.290955,-84.34448
