AvgRet,VarRet,AvgNormIw,MinNormIw,AvgDiscRet,VarDiscRet,VanillaAvgRet,J,ESSRenyi,VarNormIw,eRenyi2,MaxNormIw,BatchSize,MinVanillaIw,VarVanillaIw,ESSClassic,AvgEpLen,AvgVanillaIw,EpsThisIter,MaxVanillaIw,Delta,Bound,VarJ,IterType
-123.056239525,2372.74114048,0.01,9.83549e-06,-123.056239525,2372.74114048,-123.056239525,-110.121,,0.000509795,inf,0.14928,100,0.000898139,4.251,16.5372128079,38.29,0.913162,100,13.6317,1.0,-110.121,4.23761,1
-107.708072197,19.5695504464,0.01,1.62949e-15,-107.708072197,19.5695504464,-107.708072197,-106.459,,0.00160235,inf,0.344047,100,1.66933e-13,16.8165,5.93003667884,17.34,1.02445,100,35.2458,1.0,-106.459,5.8547,1
-107.708072197,19.5695504464,0.01,3.78161e-15,-106.895430805,5.15356211021,-107.708072197,-107.406,nan,0.00657017,nan,0.798439,200,0.0283722,3.69836e+23,1.51412664683,17.34,7.50268e+10,100,5.99043e+12,1.0,nan,3.65351,
-109.090354359,212.101763353,0.005,7.10584e-38,-109.090354359,212.101763353,-109.090354359,-105.503,,0.000660117,inf,0.301506,200,4.20321e-36,2.30969,7.33335343643,21.27,0.295758,100,17.8345,1.0,-105.503,4.30319,1
-107.805141704,8.22574342397,0.01,0.01,-107.805141704,8.22574342397,-107.805141704,-107.805,200.0,3.50449e-18,1.0,0.01,200,1.0,,100.0,16.13,1.0,100,1.0,1.0,-107.805,2.85368,2
-109.090354359,212.101763353,0.005,2.35676e-37,-107.366317788,6.53981695228,-109.090354359,-110.513,0.00146668673176,0.00499991,204543.0,0.999992,300,0.056071,inf,,21.27,1.18958e+33,100,2.37913e+35,1.0,-110.513,0.000912503,
-108.072957273,12.4545381995,0.00333333,7.24871e-23,-108.072957273,12.4545381995,-108.072957273,-105.96,7.38618385185e-32,0.000303932,4.06164e+33,0.21883,300,1.84985e-20,19.7936,10.6147085093,17.37,0.850655,100,55.8447,1.0,-105.96,5.85601,1
-106.944771683,4.19889640886,0.01,0.01,-106.944771683,4.19889640886,-106.944771683,-106.945,300.0,3.50449e-18,1.0,0.01,300,1.0,,100.0,16.01,1.0,100,1.0,1.0,-106.945,2.03885,2
-107.002873492,6.07799189672,0.005,0.005,-107.002873492,6.07799189672,-107.002873492,-106.974,300.0,2.1793e-19,1.0,0.005,300,1.0,,200.000000102,16.33,1.0,100,1.0,1.0,-106.974,2.25564,2
-108.072957273,12.4545381995,0.00333333,2.10267e-22,-107.539565332,6.96332728492,-108.072957273,-107.532,1159871.13612,0.00174077,0.000344866,0.634773,400,0.0179068,inf,,17.37,2.83873e+17,100,5.40586e+19,1.0,nan,48.5527,
-107.957770111,25.8271441187,0.0025,,-107.957770111,25.8271441187,-107.957770111,-105.839,1.32162591283e-06,0.0025,3.02658e+08,1.0,400,,1.05068e-37,1.0,16.69,1.62071e-20,100,6.48284e-18,1.0,-105.839,5.94339e-10,1
-106.334795231,3.13101879455,0.01,0.01,-106.334795231,3.13101879455,-106.334795231,-106.335,400.0,3.50449e-18,1.0,0.01,400,1.0,,100.0,14.95,1.0,100,1.0,1.0,-106.335,1.7606,2
-106.964351501,4.33436607618,0.005,0.005,-106.964351501,4.33436607618,-106.964351501,-106.65,400.0,2.1793e-19,1.0,0.005,400,1.0,,200.000000102,15.42,1.0,100,1.0,1.0,-106.65,1.94794,2
-106.251633827,3.34173639405,0.00333333,0.00333333,-106.251633827,3.34173639405,-106.251633827,-106.517,400.0,5.43914e-20,1.0,0.00333333,400,1.0,,299.999969474,15.14,1.0,100,1.0,1.0,-106.517,1.9151,2
-107.957770111,25.8271441187,nan,nan,-106.739645396,4.54003992909,-107.957770111,nan,2.75019699492e+20,nan,1.81805e-18,nan,500,1.54253e+17,nan,nan,16.69,inf,100,inf,1.0,nan,nan,
-109.037057039,94.6811015538,0.002,,-109.037057039,94.6811015538,-109.037057039,-104.581,6.77330911328e-07,0.002,7.38192e+08,1.0,500,,1.18678e-33,1.0,19.13,1.54064e-18,100,7.70318e-16,1.0,-104.581,2.81727e-07,1
-106.483638827,4.38947408446,0.01,0.01,-106.483638827,4.38947408446,-106.483638827,-106.484,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,15.08,1.0,100,1.0,1.0,-106.484,2.0846,2
-106.781887814,3.72004091775,0.005,0.005,-106.781887814,3.72004091775,-106.781887814,-106.633,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,15.48,1.0,100,1.0,1.0,-106.633,2.00909,2
-106.71067682,3.91581684282,0.00333333,0.00333333,-106.71067682,3.91581684282,-106.71067682,-106.659,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,15.21,1.0,100,1.0,1.0,-106.659,1.99613,2
-106.554591269,9.40710299285,0.0025,0.0025,-106.554591269,9.40710299285,-106.554591269,-106.633,500.0,5.4346e-20,1.0,0.0025,500,1.0,,400.0,16.6,1.0,100,1.0,1.0,-106.633,2.30623,2
-106.689760577,4.21284374503,0.002,,-106.689760577,4.21284374503,-106.689760577,-84.186,2.85672156417e-06,0.002,1.75026e+08,1.0,500,,4.14224e-42,0.999999715983,15.24,9.10135e-23,100,4.55067e-20,1.0,-84.186,1.60885e-08,1
-106.79819854,7.04872191586,0.01,0.01,-106.79819854,7.04872191586,-106.79819854,-106.798,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,17.23,1.0,100,1.0,1.0,-106.798,2.64163,2
-106.504555653,7.13953991915,0.005,0.005,-106.504555653,7.13953991915,-106.504555653,-106.651,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,17.83,1.0,100,1.0,1.0,-106.651,2.65419,2
-106.501207372,3.00323477907,0.00333333,0.00333333,-106.501207372,3.00323477907,-106.501207372,-106.601,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,17.94,1.0,100,1.0,1.0,-106.601,2.38591,2
-106.041617917,4.19247981377,0.0025,0.0025,-106.041617917,4.19247981377,-106.041617917,-106.461,500.0,5.4346e-20,1.0,0.0025,500,1.0,,400.0,17.74,1.0,100,1.0,1.0,-106.461,2.31642,2
-106.599345826,6.49993586303,0.002,,-106.599345826,6.49993586303,-106.599345826,-103.98,33.3307564926,0.002,15.0012,0.999999,500,,1.10825e-33,1.00000213352,19.0,1.48879e-18,100,7.44397e-16,1.0,-103.98,9.71187e-05,1
-106.824345465,11.6381616026,0.01,0.01,-106.824345465,11.6381616026,-106.824345465,-106.824,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,17.38,1.0,100,1.0,1.0,-106.824,3.39437,2
-106.467472241,4.32443897305,0.005,0.005,-106.467472241,4.32443897305,-106.467472241,-106.646,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,17.08,1.0,100,1.0,1.0,-106.646,2.81662,2
-106.224042647,15.8868262061,0.00333333,0.00333333,-106.224042647,15.8868262061,-106.224042647,-106.505,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,16.68,1.0,100,1.0,1.0,-106.505,3.25132,2
-106.622111987,4.46747010353,0.0025,0.0025,-106.622111987,4.46747010353,-106.622111987,-106.534,500.0,5.4346e-20,1.0,0.0025,500,1.0,,400.0,16.75,1.0,100,1.0,1.0,-106.534,3.00609,2
-106.588666384,3.89845577227,0.002,,-106.588666384,3.89845577227,-106.588666384,-72.633,3.66418237544e-05,0.002,1.36456e+07,1.0,500,,2.46447e-37,1.0,15.6,2.22012e-20,100,1.11006e-17,1.0,-72.633,2.3528e-06,1
-106.608205114,5.80928654102,0.01,0.01,-106.608205114,5.80928654102,-106.608205114,-106.608,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,17.1,1.0,100,1.0,1.0,-106.608,2.39816,2
-106.291905594,5.80415443607,0.005,0.005,-106.291905594,5.80415443607,-106.291905594,-106.45,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,17.66,1.0,100,1.0,1.0,-106.45,2.40285,2
-106.325467744,3.63847310827,0.00333333,0.00333333,-106.325467744,3.63847310827,-106.325467744,-106.409,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,17.13,1.0,100,1.0,1.0,-106.409,2.24794,2
-106.397650874,3.05427261446,0.0025,0.0025,-106.397650874,3.05427261446,-106.397650874,-106.406,500.0,5.4346e-20,1.0,0.0025,500,1.0,,400.0,17.52,1.0,100,1.0,1.0,-106.406,2.13211,2
-106.630456951,8.85581571861,0.002,3.00529e-05,-106.630456951,8.85581571861,-106.630456951,-105.182,,1.34884e-05,inf,0.043732,500,0.0148824,3.30774,114.537939709,17.58,0.99041,100,21.6563,1.0,-105.182,18.0221,1
-106.421985169,12.2956704683,0.01,0.01,-106.421985169,12.2956704683,-106.421985169,-106.422,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,17.11,1.0,100,1.0,1.0,-106.422,3.48894,2
-106.057704624,7.25168370548,0.005,0.005,-106.057704624,7.25168370548,-106.057704624,-106.24,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,18.06,1.0,100,1.0,1.0,-106.24,3.11595,2
-106.361680145,4.038186266,0.00333333,0.00333333,-106.361680145,4.038186266,-106.361680145,-106.28,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,16.52,1.0,100,1.0,1.0,-106.28,2.79439,2
-107.010755309,3.72889749264,0.0025,0.0025,-107.010755309,3.72889749264,-107.010755309,-106.463,500.0,5.4346e-20,1.0,0.0025,500,1.0,,400.0,16.17,1.0,100,1.0,1.0,-106.463,2.62286,2
-106.781928484,5.02313836143,0.002,,-106.781928484,5.02313836143,-106.781928484,-104.297,0.00116230955558,0.002,430178.0,1.0,500,,,inf,16.75,7.24867e-39,100,3.62434e-36,1.0,-104.297,,1
-106.653796911,10.2954174424,0.01,0.01,-106.653796911,10.2954174424,-106.653796911,-106.654,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,17.54,1.0,100,1.0,1.0,-106.654,3.19256,2
-106.254836369,8.70431732479,0.005,0.005,-106.254836369,8.70431732479,-106.254836369,-106.454,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,19.36,1.0,100,1.0,1.0,-106.454,3.07322,2
-106.498983718,4.03475953323,0.00333333,0.00333333,-106.498983718,4.03475953323,-106.498983718,-106.469,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,17.96,1.0,100,1.0,1.0,-106.469,2.76195,2
-106.405298748,3.52884210474,0.0025,0.0025,-106.405298748,3.52884210474,-106.405298748,-106.453,500.0,5.4346e-20,1.0,0.0025,500,1.0,,400.0,17.1,1.0,100,1.0,1.0,-106.453,2.56816,2
-106.211209279,14.8686183512,0.002,0.00022036,-106.211209279,14.8686183512,-106.211209279,-106.148,,2.30616e-06,inf,0.0162096,500,0.108698,0.561135,317.382427307,19.57,0.98655,100,7.99581,1.0,-106.148,3.64975,1
-106.922128113,4.19965906568,0.01,0.01,-106.922128113,4.19965906568,-106.922128113,-106.922,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,17.93,1.0,100,1.0,1.0,-106.922,2.03903,2
-106.487706658,4.7250297435,0.005,0.005,-106.487706658,4.7250297435,-106.487706658,-106.705,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,17.04,1.0,100,1.0,1.0,-106.705,2.11303,2
-106.347089919,4.85648302105,0.00333333,0.00333333,-106.347089919,4.85648302105,-106.347089919,-106.586,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,19.32,1.0,100,1.0,1.0,-106.586,2.14655,2
-106.516885729,5.88316810585,0.0025,0.0025,-106.516885729,5.88316810585,-106.516885729,-106.568,500.0,5.4346e-20,1.0,0.0025,500,1.0,,400.0,16.93,1.0,100,1.0,1.0,-106.568,2.21647,2
-105.82358934,23.0475060757,0.002,,-105.82358934,23.0475060757,-105.82358934,-104.976,0.000733431484802,0.002,681727.0,1.0,500,,5.93924e-21,1.0,18.69,3.44652e-12,100,1.72326e-09,1.0,-104.976,2.48187e-08,1
-106.766182566,5.47110279998,0.01,0.01,-106.766182566,5.47110279998,-106.766182566,-106.766,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,16.25,1.0,100,1.0,1.0,-106.766,2.32731,2
-106.026953808,11.1671036137,0.005,0.005,-106.026953808,11.1671036137,-106.026953808,-106.397,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,17.84,1.0,100,1.0,1.0,-106.397,2.89353,2
-106.283168292,10.3597211143,0.00333333,0.00333333,-106.283168292,10.3597211143,-106.283168292,-106.359,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,17.61,1.0,100,1.0,1.0,-106.359,3.00054,2
-106.797659562,3.7745516577,0.0025,0.0025,-106.797659562,3.7745516577,-106.797659562,-106.468,500.0,5.4346e-20,1.0,0.0025,500,1.0,,400.0,15.51,1.0,100,1.0,1.0,-106.468,2.77898,2
-106.657067984,3.79267928901,0.002,7.43202e-28,-106.657067984,3.79267928901,-106.657067984,-105.751,,0.000492209,inf,0.477233,500,1.72582e-25,26.5416,4.03857093465,16.81,0.464428,100,110.82,1.0,-105.751,5.63167,1
-106.467795256,4.58067855961,0.01,0.01,-106.467795256,4.58067855961,-106.467795256,-106.468,500.0,3.50449e-18,1.0,0.01,500,1.0,,100.0,17.48,1.0,100,1.0,1.0,-106.468,2.12952,2
-106.014637483,10.1745268096,0.005,0.005,-106.014637483,10.1745268096,-106.014637483,-106.241,500.0,2.1793e-19,1.0,0.005,500,1.0,,200.000000102,19.62,1.0,100,1.0,1.0,-106.241,2.71204,2
-105.951953662,8.26092437286,0.00333333,0.00333333,-105.951953662,8.26092437286,-105.951953662,-106.145,500.0,5.43914e-20,1.0,0.00333333,500,1.0,,299.999969474,19.14,1.0,100,1.0,1.0,-106.145,2.76553,2
