MaxVanillaIw,J,eRenyi2,VarVanillaIw,AvgVanillaIw,VarJ,MaxNormIw,AvgDiscRet,BatchSize,EpsThisIter,VanillaAvgRet,Bound,IterType,Delta,VarDiscRet,MinVanillaIw,AvgRet,ESSClassic,VarNormIw,AvgEpLen,AvgNormIw,MinNormIw,ESSRenyi,VarRet
21.9562,-206.199,inf,4.85148,1.09945,343.13,0.199701,-320.754956485,100,100,-320.754956485,-206.199,1,1.0,21533.3881855,0.19538,-320.754956485,20.1071830294,0.000401348,393.1,0.01,0.00177706,,21533.3881855
5.11824,-231.528,1.59512,0.891772,1.62173,190.298,0.0315604,-242.644813267,200,100,-320.754956485,-231.528,,1.0,29013.7555399,0.0455452,-320.754956485,74.867981002,3.39075e-05,393.1,0.01,0.000280843,125.382420052,21533.3881855
1.29773e-37,-51.9303,1.20875e+36,,6.48863e-40,,1.0,-327.930990028,200,100,-327.930990028,-51.9303,1,1.0,20292.9265008,,-327.930990028,inf,0.005,400.81,0.005,,1.65460336966e-34,20292.9265008
1.0,-65.1905,1.0,,1.0,50.7506,0.01,-65.190507376,200,100,-65.190507376,-65.1905,2,1.0,2601.6412494,1.0,-65.190507376,100.0,3.50449e-18,93.28,0.01,0.01,200.0,2601.6412494
inf,nan,,nan,inf,nan,nan,-59.1442131612,300,100,-327.930990028,nan,,1.0,36.9587016833,7.70579e+36,-327.930990028,nan,nan,400.81,nan,nan,inf,20292.9265008
3.30681e-32,-51.9303,1.86175e+20,,1.10227e-34,0.000149114,0.999999,-346.710464684,300,100,-346.710464684,-51.9303,1,1.0,16922.1706955,,-346.710464684,inf,0.00333333,423.38,0.00333333,,1.61138873551e-18,16922.1706955
1.0,-62.2639,1.0,,1.0,36.1876,0.01,-62.2639337783,300,100,-62.2639337783,-62.2639,2,1.0,1322.77340995,1.0,-62.2639337783,100.0,3.50449e-18,90.45,0.01,0.01,300.0,1322.77340995
1.0,-60.7368,1.0,,1.0,26.0689,0.005,-59.2096773666,300,100,-59.2096773666,-60.7368,2,1.0,45.420019968,1.0,-59.2096773666,200.000000102,2.1793e-19,87.18,0.005,0.005,300.0,45.420019968
inf,nan,,nan,inf,nan,nan,-59.6928055477,400,100,-346.710464684,nan,,1.0,58.5296416831,3.02407e+31,-346.710464684,nan,nan,423.38,nan,nan,inf,16922.1706955
2.25581e-38,-51.9303,inf,,5.63953e-41,,1.0,-333.950160916,400,100,-333.950160916,-51.9303,1,1.0,20022.0808814,,-333.950160916,inf,0.0025,408.46,0.0025,,,20022.0808814
1.0,-58.1928,1.0,,1.0,6.38709,0.01,-58.1928038245,400,100,-58.1928038245,-58.1928,2,1.0,41.2070093495,1.0,-58.1928038245,100.0,3.50449e-18,85.48,0.01,0.01,400.0,41.2070093495
1.0,-58.8089,1.0,,1.0,6.68018,0.005,-59.4249408258,400,100,-59.4249408258,-58.8089,2,1.0,48.1774016886,1.0,-59.4249408258,200.000000102,2.1793e-19,87.23,0.005,0.005,400.0,48.1774016886
1.0,-58.6676,1.0,,1.0,6.86594,0.00333333,-58.3849771179,400,100,-58.3849771179,-58.6676,2,1.0,52.5797365122,1.0,-58.3849771179,299.999969474,5.43914e-20,85.55,0.00333333,0.00333333,400.0,52.5797365122
inf,nan,inf,nan,inf,nan,nan,-58.5164076822,500,100,-333.950160916,nan,,1.0,45.1305381154,4.43299e+37,-333.950160916,nan,nan,408.46,nan,nan,,20022.0808814
1.68498e-38,-51.9303,inf,,3.36998e-41,,1.0,-341.951305102,500,100,-341.951305102,-51.9303,1,1.0,18215.8380688,,-341.951305102,inf,0.002,417.44,0.002,,,18215.8380688
1.0,-58.6974,1.0,,1.0,6.80175,0.01,-58.6974256583,500,100,-58.6974256583,-58.6974,2,1.0,46.7311334388,1.0,-58.6974256583,100.0,3.50449e-18,86.46,0.01,0.01,500.0,46.7311334388
1.0,-58.73,1.0,,1.0,6.72626,0.005,-58.7626134446,500,100,-58.7626134446,-58.73,2,1.0,44.6658907498,1.0,-58.7626134446,200.000000102,2.1793e-19,86.17,0.005,0.005,500.0,44.6658907498
1.0,-59.9331,1.0,,1.0,21.7107,0.00333333,-62.3393538415,500,100,-62.3393538415,-59.9331,2,1.0,1328.17119123,1.0,-62.3393538415,299.999969474,5.43914e-20,90.13,0.00333333,0.00333333,500.0,1328.17119123
1.0,-59.8551,1.0,,1.0,19.1791,0.0025,-59.6210585561,500,100,-59.6210585561,-59.8551,2,1.0,57.8037410383,1.0,-59.6210585561,400.0,5.4346e-20,87.92,0.0025,0.0025,500.0,57.8037410383
6.3358,-59.5952,inf,0.500973,0.991708,16.7918,0.0127776,-62.404262746,500,100,-62.404262746,-59.5952,1,1.0,1334.93570201,0.60312,-62.404262746,331.484279209,2.03754e-06,90.64,0.002,0.00121633,,1334.93570201
1.0,-57.2607,1.0,,1.0,6.89483,0.01,-57.260742321,500,100,-57.260742321,-57.2607,2,1.0,48.0189173114,1.0,-57.260742321,100.0,3.50449e-18,84.08,0.01,0.01,500.0,48.0189173114
1.0,-57.519,1.0,,1.0,7.12018,0.005,-57.7773371826,500,100,-57.7773371826,-57.519,2,1.0,54.2644388391,1.0,-57.7773371826,200.000000102,2.1793e-19,84.81,0.005,0.005,500.0,54.2644388391
1.0,-58.9536,1.0,,1.0,21.8836,0.00333333,-61.8228677584,500,100,-61.8228677584,-58.9536,2,1.0,1336.29001737,1.0,-61.8228677584,299.999969474,5.43914e-20,89.9,0.00333333,0.00333333,500.0,1336.29001737
1.0,-59.4622,1.0,,1.0,26.2942,0.0025,-60.9879385093,500,100,-60.9879385093,-59.4622,2,1.0,1339.1610494,1.0,-60.9879385093,400.0,5.4346e-20,88.03,0.0025,0.0025,500.0,1339.1610494
6.24583e-36,-51.814,3.26745e+13,,1.24917e-38,,1.0,-57.8307546388,500,100,-57.8307546388,-51.814,1,1.0,47.9568687364,,-57.8307546388,inf,0.002,85.19,0.002,,1.53024438744e-11,47.9568687364
1.0,-61.265,1.0,,1.0,36.3859,0.01,-61.2650031352,500,100,-61.2650031352,-61.265,2,1.0,1337.30308759,1.0,-61.2650031352,100.0,3.50449e-18,89.12,0.01,0.01,500.0,1337.30308759
1.0,-59.5953,1.0,,1.0,26.17,0.005,-57.9255376975,500,100,-57.9255376975,-59.5953,2,1.0,40.6388688817,1.0,-57.9255376975,200.000000102,2.1793e-19,84.85,0.005,0.005,500.0,40.6388688817
1.0,-59.2934,1.0,,1.0,21.7915,0.00333333,-58.6896147569,500,100,-58.6896147569,-59.2934,2,1.0,54.8786099117,1.0,-58.6896147569,299.999969474,5.43914e-20,85.75,0.00333333,0.00333333,500.0,54.8786099117
