VarNormIw,MinVanillaIw,Bound,AvgEpLen,VarJ,MaxNormIw,VanillaAvgRet,BatchSize,IterType,ESSClassic,AvgDiscRet,eRenyi2,VarVanillaIw,J,MaxVanillaIw,AvgNormIw,AvgRet,VarRet,VarDiscRet,MinNormIw,EpsThisIter,ESSRenyi,AvgVanillaIw
0.009894029,0.06260432,2.2814212,21.57,0.68980944,0.9947404,-5.0275950935119695,100,1,1.010602342458631,-5.0275950935119695,1.4414904,4023265.5,9.854085,20059.15,0.009999999,-5.0275950935119695,97.28013642262006,97.28013642262006,3.1045706e-06,100,69.37264319227317,201.65211
0.00013661134,4.985256e-05,-8.084847,21.57,5.180923,0.11407303,-5.0275950935119695,200,,42.50883615751434,-4.498151019054107,1.3703861,2.6786268,-4.4261813,15.973338,0.01,-5.0275950935119695,97.28013642262006,31.96427764543441,3.5602028e-07,100,145.94426822292155,1.400273
0.0045721726,0.18406495,-2.9303598,26.83,10.643326,0.95647776,-8.270002255488851,200,1,1.0930606111367827,-8.270002255488851,1.4307965,77628.72,11.788062,3941.1665,0.005000001,-8.270002255488851,622.270132594938,622.270132594938,4.4670538e-05,100,139.78228171370188,20.6025
3.5044917e-18,1.0,-10.387384,26.24,9.2763605,0.01,-6.519980519362078,200,2,100.0,-6.519980519362078,1.0,,-6.51998,1.0,0.009999998,-6.519980519362078,86.92007964454086,86.92007964454086,0.01,100,200.0,1.0
7.221116e-06,0.000253732,-12.456238,26.83,11.174554,0.018794768,-8.270002255488851,300,,155.35182884028964,-5.849295627183057,1.3880613,0.6033763,-6.2053356,5.432865,0.005,-8.270002255488851,622.270132594938,140.75030613137062,8.777751e-07,100,216.12878569400533,1.4453132
0.003132818,0.046629664,-1.678813,24.09,7.7619133,0.9695571,-5.639859056990158,300,1,1.0637776813981241,-5.639859056990158,1.5497652,290324.03,10.828374,9333.56,0.0033333336,-5.639859056990158,118.34765236675274,118.34765236675274,4.843824e-06,100,193.57770734731994,32.08874
3.5044917e-18,1.0,-6.319998,21.9,5.307541,0.01,-3.9276570976507204,300,2,100.0,-3.9276570976507204,1.0,,-3.9276571,1.0,0.009999998,-3.9276570976507204,28.454537602807072,28.454537602807072,0.01,100,300.0,1.0
2.179301e-19,1.0,-8.91289,25.7,8.440318,0.005,-5.3721272765028685,300,2,200.00000010221265,-5.3721272765028685,1.0,,-4.649892,1.0,0.0049999994,-5.3721272765028685,114.40879377628009,114.40879377628009,0.005,100,300.0,1.0
1.1102959e-05,0.00010714026,-9.953893,24.09,9.021627,0.04465125,-5.639859056990158,400,,150.30546314212688,-6.119492150765186,1.5037757,2.5612202,-5.1370716,21.445576,0.0033333336,-5.639859056990158,118.34765236675274,90.55948596393928,2.2307383e-07,100,265.9971136585151,1.6009686
0.0024145583,0.08096337,-0.41157627,22.2,4.6262546,0.9828034,-5.603752851973532,400,1,1.0352944864607927,-5.603752851973532,1.7366624,1483277.5,11.054505,24358.973,0.0025,-5.603752851973532,282.0127549736316,282.0127549736316,3.2666023e-06,100,230.3268630673152,61.962982
3.5044917e-18,1.0,-19.044168,23.47,16.26052,0.01,-7.021508497800158,400,2,100.0,-7.021508497800158,1.0,,-7.0215087,1.0,0.009999998,-7.021508497800158,267.0752706901046,267.0752706901046,0.01,100,400.0,1.0
2.179301e-19,1.0,-15.483406,20.58,14.388688,0.005,-6.942694890988391,400,2,200.00000010221265,-6.942694890988391,1.0,,-6.9821014,1.0,0.0049999994,-6.942694890988391,151.1727720653042,151.1727720653042,0.005,100,400.0,1.0
5.4391416e-20,1.0,-13.175744,21.6,12.7447605,0.0033333334,-4.739172525564954,400,2,299.999969473632,-4.739172525564954,1.0,,-6.2344584,1.0,0.0033333336,-4.739172525564954,70.56990747014758,70.56990747014758,0.0033333334,100,400.0,1.0
3.8926864e-06,4.1052634e-05,-13.399257,22.2,11.28993,0.01794028,-5.603752851973532,500,,246.71972294667302,-5.223972741590534,1.6532092,1.8450744,-5.6700573,12.351264,0.0025,-5.603752851973532,282.0127549736316,44.854497380407125,5.962917e-08,100,302.44206065650985,1.721164
0.0019453563,0.039680738,0.7307625,21.39,4.5466676,0.98627174,-4.041390758361016,500,1,1.0280317179608474,-4.041390758361016,1.7696996,2498617.5,11.083426,35346.54,0.0019999999,-4.041390758361016,46.32847752151046,46.32847752151046,1.1072086e-06,100,282.5338308729838,71.67708
3.5044917e-18,1.0,-9.288254,21.75,7.9171214,0.01,-5.307029195673985,500,2,100.0,-5.307029195673985,1.0,,-5.307029,1.0,0.009999998,-5.307029195673985,63.31394875363757,63.31394875363757,0.01,100,500.0,1.0
