MaxVanillaIw,AvgVanillaIw,MaxNormIw,VarJ,Delta,MinVanillaIw,J,VarNormIw,VanillaAvgRet,VarVanillaIw,MinNormIw,AvgDiscRet,VarDiscRet,eRenyi2,ESSClassic,BatchSize,AvgRet,ESSRenyi,EpsThisIter,AvgEpLen,AvgNormIw,Bound,IterType,VarRet
72.23629,2.0593748,0.35076806,2536.5803,0.55,1.2558781e-05,1199.5189,0.0019181911,148.23435896617477,81.35097,6.098347e-08,148.23435896617477,83958.67826312238,13.443407,5.002477578853361,100,148.23435896617477,7.438590497426512,100,15.83,0.010000002,609.29364,1,83958.67826312238
79625.56,1688.3761,0.47161034,329.77652,0.55,0.013843458,304.99042,0.0028474445,148.23435896617477,81169656.0,8.199274e-08,461.0193939172321,420010.7583989812,nan,3.4258660503416176,200,148.23435896617477,nan,100,15.83,0.01,-inf,,83958.67826312238
121.12459,1.7077616,0.35462967,3317.3384,0.55,1.418985e-10,1258.9655,0.0010840176,107.44559513979986,126.459305,4.1545172e-13,107.44559513979986,26785.38403569157,27.37866,4.5306370456263245,200,107.44559513979986,7.304959356089947,100,11.75,0.005000001,663.366,1,26785.38403569157
1.0,1.0,0.01,939.7952,0.55,1.0,603.20624,3.5044917e-18,603.2062419076378,,0.01,603.2062419076378,892136.4137650486,1.0,100.0,200,603.2062419076378,200.0,100,61.33,0.009999998,150.95532,2,892136.4137650486
71.03723,1.2437732,0.2855715,3658.6533,0.55,,4477.8076,0.0009222625,838.2028463337712,57.068554,,838.2028463337712,1696397.2448845815,23.320038,5.304188711396391,200,838.2028463337712,8.576315414100092,100,84.77,0.005,2933.4854,1,1696397.2448845815
1.0,1.0,0.01,1979.0583,0.55,1.0,3207.1272,3.5044917e-18,3207.1271386240587,,0.01,3207.1271386240587,3956234.614428469,1.0,100.0,200,3207.1271386240587,200.0,100,321.26,0.009999998,2754.86,2,3956234.614428469
8.480923,1.1505297,0.0368566,532.94434,0.55,3.44333e-07,4823.6045,5.9455666e-05,3156.842602733049,3.148103,1.4964107e-09,3156.842602733049,4126341.0396391675,3.886874,59.41179006839142,200,3156.842602733049,51.455231641864174,100,316.21,0.005,4193.112,1,4126341.0396391675
1.0,1.0,0.01,1160.3624,0.55,1.0,4594.146,3.5044917e-18,4594.146053694976,,0.01,4594.146053694976,1360041.3045847777,1.0,100.0,200,4594.146053694976,200.0,100,459.57,0.009999998,4141.879,2,1360041.3045847777
2.2609723,1.020096,0.011082155,155.9616,0.55,0.0027231649,4963.6025,1.0384083e-05,4804.133519493329,0.43222532,1.3347591e-05,4804.133519493329,580574.4326672225,1.3684042,141.51413633855393,200,4804.133519493329,146.15565145623236,100,480.51,0.005,4589.503,1,580574.4326672225
1.0,1.0,0.01,202.09888,0.55,1.0,4979.465,3.5044917e-18,4979.464697013248,,0.01,4979.464697013248,41256.51306160815,1.0,100.0,200,4979.464697013248,200.0,100,497.98,0.009999998,4527.1978,2,41256.51306160815
1.6874615,0.9853025,0.008563165,125.2913,0.55,0.14898866,4979.6284,3.2895518e-06,4842.584183887468,0.12774265,0.00075605547,4842.584183887468,529964.497130036,1.123948,176.8464962503187,200,4842.584183887468,177.9441788332413,100,484.33,0.005,4640.587,1,529964.497130036
1.0,1.0,0.01,222.6297,0.55,1.0,4965.8477,3.5044917e-18,4965.847538386359,,0.01,4965.847538386359,50064.63280858038,1.0,100.0,200,4965.847538386359,200.0,100,496.63,0.009999998,4513.5806,2,50064.63280858038
1.3120319,1.004347,0.006531766,68.53518,0.55,0.18711157,4989.84,1.1767928e-06,4960.551659289106,0.04748184,0.00093150866,4960.551659289106,89531.69437621979,1.0482659,191.0518078311789,200,4960.551659289106,190.79128064254792,100,496.09,0.005,4662.412,1,89531.69437621979
1.0,1.0,0.01,0.2291787,0.55,1.0,4999.8447,3.5044917e-18,4999.844605199311,,0.01,4999.844605199311,0.05306244200096104,1.0,100.0,200,4999.844605199311,200.0,100,500.0,0.009999998,4547.5776,2,0.05306244200096104
1.1207578,1.0046477,0.005577865,59.226543,0.55,0.59288,4995.6523,2.0994263e-07,4985.640594177827,0.008475946,0.0029506863,4985.640594177827,20161.6525137444,1.0078382,198.34271018181775,200,4985.640594177827,198.44454222436707,100,498.59,0.005,4674.6006,1,20161.6525137444
1.0,1.0,0.01,434.8794,0.55,1.0,4940.4404,3.5044917e-18,4940.441341380151,,0.01,4940.441341380151,191030.4320776952,1.0,100.0,200,4940.441341380151,200.0,100,494.08,0.009999998,4488.1733,2,191030.4320776952
1.3085318,1.0195183,0.006417402,73.66453,0.55,0.1043023,4990.923,1.7153405e-06,4955.225602543325,0.0713182,0.00051152735,4955.225602543325,116444.3976569866,1.0683268,187.21850146556923,200,4955.225602543325,187.20862775510432,100,495.56,0.005,4660.377,1,116444.3976569866
1.0,1.0,0.01,350.30557,0.55,1.0,4964.131,3.5044917e-18,4964.130997205869,,0.01,4964.130997205869,123953.55475423705,1.0,100.0,200,4964.130997205869,200.0,100,496.45,0.009999998,4511.864,2,123953.55475423705
1.2219992,1.0044723,0.006082792,98.068504,0.55,0.34820905,4992.8506,6.725311e-07,4999.8682289990065,0.027142402,0.0017332935,4999.8682289990065,0.02266468381047864,1.0236803,194.78621766495488,200,4999.8682289990065,195.37349138310003,100,500.0,0.005,4669.285,1,0.02266468381047864
1.0,1.0,0.01,0.12750317,0.55,1.0,4999.855,3.5044917e-18,4999.855124024707,,0.01,4999.855124024707,0.01641789607504432,1.0,100.0,200,4999.855124024707,200.0,100,500.0,0.009999998,4547.588,2,0.01641789607504432
1.1813095,0.9808568,0.006021824,46.576714,0.55,0.14172798,4996.5938,7.3147044e-07,4954.404469743973,0.028149324,0.00072247034,4954.404469743973,207045.4150673103,1.025195,194.34219282641206,200,4954.404469743973,195.0848370323626,100,495.46,0.005,4672.789,1,207045.4150673103
1.0,1.0,0.01,0.13252446,0.55,1.0,4999.866,3.5044917e-18,4999.866361353643,,0.01,4999.866361353643,0.017741175533808762,1.0,100.0,200,4999.866361353643,200.0,100,500.0,0.009999998,4547.599,2,0.017741175533808762
