BatchSize,AvgRet,MinNormIw,AvgVanillaIw,AvgDiscRet,VarJ,AvgEpLen,eRenyi2,AvgNormIw,J,MaxNormIw,ESSClassic,VarRet,MaxVanillaIw,Bound,MinVanillaIw,VarDiscRet,VarNormIw,VarVanillaIw,ESSRenyi,VanillaAvgRet
100,146.33537758531713,,1.0035017,146.33537758531713,2286.2036,15.64,40.42726,0.01,2028.7008,0.8809713,1.2829626592947956,89063.55668865037,88.40562,819.6516,,89063.55668865037,0.007772181,78.26707,2.4735783887997504,146.33537758531713
100,358.3869861594287,,0.8733943,358.3869861594287,5700.072,36.84,31.381514,0.009999998,4377.5513,0.8568989,1.3561409313237853,470653.5373730185,74.841064,2020.206,,470653.5373730185,0.0073473398,56.046787,3.186589445261218,358.3869861594287
100,867.0291331429157,6.5461604e-36,1.3389735,867.0291331429157,2860.554,87.68,14.126476,0.009999999,4517.1597,0.40666163,3.6348898285756026,1512487.2273464594,54.450916,2935.5347,8.765135e-34,1512487.2273464594,0.0026778937,48.010628,7.07890615907286,867.0291331429157
100,3217.957562481943,1.2361566e-13,1.0025195,3217.957562481943,588.01776,322.45,2.8378832,0.01,4750.772,0.06636146,33.897646859529594,3864473.9086594814,6.6528654,4041.8738,1.2392712e-11,3864473.9086594814,0.00019697555,1.9796938,35.23753155206548,3217.957562481943
100,4822.89227322886,0.00011421234,0.9526124,4822.89227322886,251.01117,482.48,1.2174221,0.009999999,4926.7524,0.02233461,80.81809705680325,241208.2491810058,2.1276226,4462.4434,0.010880008,241208.2491810058,2.3974413e-05,0.2175607,82.140777403954,4822.89227322886
100,4924.998269510671,0.0017841206,1.009851,4924.998269510671,125.9541,492.58,1.0771286,0.010000002,4976.5684,0.01422475,92.08615107910961,233399.176019738,1.4364877,4539.831,0.18016958,233399.176019738,8.680736e-06,0.08852604,92.83942091347457,4924.998269510671
100,4832.50638578408,0.00021172824,0.9899845,4832.50638578408,218.53284,483.37,1.1893811,0.009999999,4941.5347,0.0182558,82.18201330992721,582130.8799563239,1.8072959,4482.604,0.020960769,582130.8799563239,2.1900149e-05,0.21463665,84.07733913105533,4832.50638578408
100,4996.431347544608,0.009477002,0.9994076,4996.431347544608,26.32597,499.68,1.0003198,0.01,4996.576,0.0102718435,99.97340110656673,764.4943764807842,1.0265758,4575.698,0.9471387,764.4943764807842,2.6885642e-08,0.00026853796,99.96802637401086,4996.431347544608
100,4939.918690267575,0.0011318822,0.99326164,4939.918690267575,76.91841,494.07,1.0408868,0.009999999,4981.8184,0.012611267,95.05064967453094,194366.89962348048,1.2526288,4552.491,0.11242551,194366.89962348048,5.259679e-06,0.05189035,96.07193007551545,4939.918690267575
100,4962.713327852894,0.0016849388,0.98665476,4962.713327852894,57.224857,496.34,1.038875,0.01,4987.703,0.012788099,94.2846206421958,38990.57405438926,1.2617439,4558.791,0.16624528,38990.57405438926,6.123057e-06,0.059607204,96.25797286543506,4962.713327852894
100,4988.424414920669,0.008732597,1.0080913,4988.424414920669,63.413013,498.89,1.0032036,0.010000002,4989.8066,0.011102655,99.75172061452477,5246.37274893996,1.119249,4568.3228,0.8803255,5246.37274893996,2.5139732e-07,0.0025548209,99.68066000259996,4988.424414920669
100,4995.524450453644,0.008857637,0.9990886,4995.524450453644,24.05928,499.59,1.0006862,0.01,4995.8135,0.01046779,99.92164362776533,667.7289981203343,1.045825,4574.8584,0.88495636,667.7289981203343,7.920968e-08,0.00079065387,99.93143018339448,4995.524450453644
100,4992.427883019261,0.008490538,1.0056068,4992.427883019261,57.812664,499.28,1.0019512,0.010000002,4993.2485,0.010766162,99.83801282700114,4280.553257188523,1.0826524,4572.028,0.8538143,4280.553257188523,1.6387338e-07,0.0016571607,99.80525821846487,4992.427883019261
100,4990.716812306089,0.008793216,1.0130502,4990.716812306089,48.714497,499.11,1.002179,0.010000002,4991.6523,0.010691174,99.85208004289736,2940.583197875988,1.0830696,4570.384,0.8907969,2940.583197875988,1.4963102e-07,0.0015356195,99.78257112293765,4990.716812306089
100,4994.022172419138,0.0074546267,1.0008404,4994.022172419138,40.41908,499.43,1.0030245,0.01,4995.3994,0.010994901,99.64174741741722,2838.9438900196196,1.1004142,4573.953,0.7460892,2838.9438900196196,3.631548e-07,0.0036376552,99.69846608839885,4994.022172419138
100,4989.115138911124,0.00868766,0.9991847,4989.115138911124,78.65472,498.95,1.0029646,0.01,4990.432,0.011372199,99.75067172531719,8230.6163767439,1.1362928,4568.998,0.8680577,8230.6163767439,2.5248255e-07,0.0025207105,99.70441471462988,4989.115138911124
100,4963.82736116727,0.0032619094,0.9582726,4963.82736116727,73.378296,496.46,1.0367457,0.01,4983.3516,0.013018337,94.19091198566643,26799.43479886334,1.2475115,4554.8794,0.3125798,26799.43479886334,6.2296467e-06,0.057206,96.45567195398152,4963.82736116727
100,4997.532133134647,0.009582635,0.9991578,4997.532133134647,23.206745,499.77,1.0001652,0.01,4997.602,0.010304258,99.98396287773335,576.5233688837563,1.029558,4576.757,0.95745647,576.5233688837563,1.6207522e-08,0.00016180222,99.9834803219168,4997.532133134647
100,4999.8974216174365,0.009999214,0.9999984,4999.8974216174365,0.12969665,500.0,1.0,0.01,4999.898,0.01000039,100.00000381470349,0.016991243128977124,1.0000374,4579.0874,0.9999198,0.016991243128977124,7.1027426e-14,7.103676e-10,100.0,4999.8974216174365
100,4993.419485612914,0.008718182,1.0021935,4993.419485612914,50.764484,499.37,1.0017838,0.01,4994.1997,0.010721622,99.85511672483453,3406.035062497967,1.0745139,4573.014,0.8737305,3406.035062497967,1.465642e-07,0.0014720785,99.82193286378697,4993.419485612914
100,4990.528494983872,0.008355985,0.9997292,4990.528494983872,50.80219,499.09,1.0031312,0.01,4991.911,0.0112090735,99.64376029263164,3579.338945188813,1.1206038,4570.4424,0.8353723,3579.338945188813,3.611204e-07,0.003609248,99.68786223061689,4990.528494983872
100,4999.795973268694,0.009985292,0.99996644,4999.795973268694,1.0311209,500.0,1.0000002,0.01,4999.797,0.010015192,99.99996185175765,1.075801399989556,1.0014856,4578.9863,0.99849576,1.075801399989556,3.589362e-11,3.589096e-07,99.99997615814777,4999.795973268694
100,4999.82560999852,0.009975464,1.0000503,4999.82560999852,0.99863905,500.0,1.0000002,0.01,4999.8267,0.010008211,99.99996185495901,1.0122144047474944,1.0008715,4579.016,0.9975967,1.0122144047474944,3.566123e-11,3.5664607e-07,99.99997615814777,4999.82560999852
100,4981.602389916219,0.0055245943,0.9969908,4981.602389916219,62.23537,498.21,1.0144219,0.01,4988.328,0.011956429,98.41190048812607,9997.191606768947,1.192045,4564.494,0.550797,9997.191606768947,1.6300302e-06,0.016202347,98.57830954918147,4981.602389916219
100,4950.0213636867775,0.0037040326,0.98894715,4950.0213636867775,310.42133,495.02,1.0413368,0.010000002,4968.848,0.016607251,95.40680054163442,248995.0678029925,1.6423693,4539.428,0.36630926,248995.0678029925,4.8629663e-06,0.04756061,96.03041246354188,4950.0213636867775
100,4999.315650992725,0.009873875,0.9999117,4999.315650992725,5.90066,499.95,1.0000144,0.01,4999.3237,0.010067368,99.99819551332705,36.04881658771412,1.006648,4578.5103,0.9873004,36.04881658771412,1.8101168e-09,1.809799e-05,99.99855758840225,4999.315650992725
100,4995.430447243936,0.008432851,1.0012405,4995.430447243936,34.832302,499.57,1.0012428,0.010000002,4995.977,0.010534335,99.8690467092889,1621.745518613704,1.0547403,4574.9053,0.8443312,1621.745518613704,1.3243417e-07,0.0013276293,99.87587856840186,4995.430447243936
100,4999.934411573466,0.009985001,1.0000155,4999.934411573466,0.06483246,500.0,1.0000001,0.01,4999.935,0.0100208875,99.9999694829015,0.004246775207787698,1.0021043,4579.1245,0.99851555,0.004246775207787698,3.1539472e-11,3.154052e-07,99.99998807907247,4999.934411573466
