IterType,AvgRet,SamplesThisIter,renyi2,VarJ,VarNormIw,VarRet,MinNormIw,ESSRenyi,VanillaAvgRet,J,VarVanillaIw,AvgEpLen,ESSClassic,Bound,EpsThisIter,MaxVanillaIw,BatchSize,AvgVanillaIw,MaxNormIw,AvgDiscRet,delta,MinVanillaIw,VarDiscRet,AvgNormIw
1,-403.377386398,50000,nan,200.58,3.56123e-10,143.840532054,1.79837e-05,nan,-403.377386398,-72046.1,0.119712,500.0,0.946722182331,-435.182,100,2.22172,100,1.01858,0.000121177,-403.377386398,0.6,0.329722,143.840532054,5.55556e-05
1,-368.546478718,50000,nan,nan,4.23795e-06,11059.4043952,,nan,-368.546478718,nan,inf,450.45045045,10.995752974,nan,111,2.01626e+22,100,1.15011e+19,0.087743,-368.546478718,0.6,,11059.4043952,5.005e-05
1,-392.871040549,50000,nan,500.542,1.55565e-08,1061.55874869,,nan,-392.871040549,-63204.4,20.3765,500.0,0.996887589631,-404.913,100,30.5656,100,2.01065,0.000844547,-392.871040549,0.6,,1061.55874869,5.55556e-05
1,-407.010543518,50000,nan,289.813,4.32503e-10,177.743609378,1.16535e-05,nan,-407.010543518,-72576.0,0.129053,500.0,0.891747917062,-438.277,100,3.58386,100,0.95966,0.000207473,-407.010543518,0.6,0.201301,177.743609378,5.55555e-05
1,-301.59667934,50000,nan,nan,3.71479e-08,22724.4346798,,nan,-301.59667934,nan,2070.24,375.939849624,6.81021468725,nan,133,992.095,100,9.86094,0.00420253,-301.59667934,0.6,,22724.4346798,4.17711e-05
1,-400.10324058,50000,nan,3983.04,6.236e-06,2618.90563689,,nan,-400.10324058,-37473.7,3.74879e+09,490.196078431,1.06895275494,-300.366,102,5.60089e+06,100,1335.43,0.228436,-400.10324058,0.6,,2618.90563689,5.44662e-05
1,-327.189420233,50000,nan,2652.73,8.48819e-08,17250.9910148,,nan,-327.189420233,-24501.0,556169.0,413.223140496,2.05086465899,-146.917,121,13742.6,100,117.527,0.00536877,-327.189420233,0.6,,17250.9910148,4.59137e-05
1,-355.374771324,50000,nan,nan,2.49382e-06,8669.58267512,,nan,-355.374771324,nan,inf,454.545454545,5.20947946775,nan,110,2.98941e+21,100,2.97541e+18,0.0507427,-355.374771324,0.6,,8669.58267512,5.05051e-05
1,-368.231828011,50000,nan,1554.72,4.39968e-06,8889.7354673,,nan,-368.231828011,-35002.5,inf,450.45045045,10.9970007839,-214.778,111,8.99544e+18,100,5.03572e+15,0.0894057,-368.231828011,0.6,,8889.7354673,5.005e-05
1,-292.531661128,50000,nan,3102.81,2.29787e-08,21987.3957321,,nan,-292.531661128,-20055.5,3469.18,378.787878788,3.42168750849,-136.021,132,847.154,100,16.3533,0.00218028,-292.531661128,0.6,,21987.3957321,4.20875e-05
1,-391.551103105,50000,nan,4965.38,5.07666e-06,2881.15134095,,nan,-391.551103105,-40119.9,442663.0,490.196078431,1.42615272712,-301.042,102,53880.1,100,16.0833,0.182465,-391.551103105,0.6,,2881.15134095,5.44662e-05
1,-363.998334093,50000,nan,1694.41,4.89019e-06,9453.09722774,,nan,-363.998334093,-31724.4,inf,450.45045045,9.99963036284,-190.8,111,3.14569e+21,100,1.59246e+18,0.0988673,-363.998334093,0.6,,9453.09722774,5.00501e-05
1,-398.523006099,50000,nan,4090.52,4.07539e-06,2589.18562925,,nan,-398.523006099,-43395.2,7.94238e+08,490.196078431,1.17086073688,-308.632,102,2.0549e+06,100,760.358,0.147197,-398.523006099,0.6,,2589.18562925,5.44662e-05
1,-395.403949232,50000,nan,4310.35,1.33748e-06,4049.94479327,,nan,-395.403949232,-36615.8,8.28548e+06,485.436893204,1.73495004698,-253.884,103,175910.0,100,134.247,0.0706765,-395.403949232,0.6,,4049.94479327,5.39374e-05
1,-351.105615628,50000,nan,1545.2,4.55458e-06,8495.99422156,,nan,-351.105615628,-30190.4,inf,450.45045045,9.9937109954,-188.852,111,4.81867e+22,100,2.52835e+19,0.095388,-351.105615628,0.6,,8495.99422156,5.00501e-05
1,-292.173646805,50000,nan,1172.41,1.86556e-08,21361.3823967,,nan,-292.173646805,-20798.5,1068.76,375.939849624,3.66236221977,-140.961,133,896.614,100,9.99796,0.00374602,-292.173646805,0.6,,21361.3823967,4.17711e-05
1,-384.861067573,50000,nan,3170.56,2.23495e-08,1894.0296211,,nan,-384.861067573,-58943.5,17.0194,495.04950495,0.857076532607,-373.565,101,87.2157,100,1.5179,0.0031605,-384.861067573,0.6,,1894.0296211,5.50055e-05
1,-326.323950365,50000,nan,1604.34,9.86618e-08,16270.3417729,,nan,-326.323950365,-23700.0,145020.0,413.223140496,8.98198171894,-152.842,121,13532.9,100,55.665,0.0111622,-326.323950365,0.6,,16270.3417729,4.59137e-05
1,-402.46028581,50000,nan,3589.66,1.0019e-05,2526.1343076,,nan,-402.46028581,-44497.9,1.37149e+09,490.196078431,2.7266658446,-311.965,102,3.52493e+06,100,637.252,0.301278,-402.46028581,0.6,,2526.1343076,5.44662e-05
1,-347.21954747,50000,nan,1686.48,2.00505e-06,9549.82488611,,nan,-347.21954747,-33294.3,inf,442.477876106,6.5894517849,-217.345,113,8.26694e+19,100,7.83575e+16,0.0518697,-347.21954747,0.6,,9549.82488611,4.91642e-05
1,-296.711119813,50000,nan,1921.69,1.00768e-07,22462.6811621,,nan,-296.711119813,-18202.1,191661.0,378.787878788,5.53146413834,-112.893,132,15831.7,100,58.0442,0.0114795,-296.711119813,0.6,,22462.6811621,4.20875e-05
1,-387.063788363,50000,nan,3999.49,1.49746e-06,3671.01732072,,nan,-387.063788363,-39927.0,1.51719e+06,485.436893204,0.685163226179,-264.35,103,100873.0,100,54.2916,0.100215,-387.063788363,0.6,,3671.01732072,5.39374e-05
1,-273.943323926,50000,nan,1306.77,1.202e-08,23977.8964891,,nan,-273.943323926,-18632.2,457.733,347.222222222,2.23524489682,-123.331,144,206.318,100,7.52867,0.00105727,-273.943323926,0.6,,23977.8964891,3.85803e-05
1,-294.169755359,50000,nan,1870.32,1.62177e-07,22688.7884177,,nan,-294.169755359,-19380.7,44932.2,375.939849624,9.21995241633,-117.946,133,9821.54,100,21.9867,0.0186593,-294.169755359,0.6,,22688.7884177,4.17711e-05
1,-322.617959951,50000,nan,nan,1.67746e-07,17852.8421897,,nan,-322.617959951,nan,376910.0,403.225806452,14.6928827159,nan,124,18544.5,100,67.158,0.0123715,-322.617959951,0.6,,17852.8421897,4.48029e-05
1,-251.258859376,50000,nan,1409.61,1.04712e-08,22838.9202744,,nan,-251.258859376,-16101.3,461.225,333.333333333,3.33212322507,-111.218,150,197.301,100,7.7731,0.000940092,-251.258859376,0.6,,22838.9202744,3.7037e-05
1,-277.099898924,50000,nan,1605.71,4.28388e-08,22895.3173447,,nan,-277.099898924,-20820.6,1698.09,349.65034965,9.08929048781,-130.98,143,1842.86,100,7.73486,0.00925616,-277.099898924,0.6,,22895.3173447,3.885e-05
1,-253.121696156,50000,nan,1342.64,7.89748e-09,23466.3903258,,nan,-253.121696156,-19774.7,242.232,326.797385621,1.77030589923,-119.481,153,100.209,100,6.35928,0.000572185,-253.121696156,0.6,,23466.3903258,3.63108e-05
1,-279.302391944,50000,nan,1913.49,6.69756e-07,24308.132705,,nan,-279.302391944,-19388.4,285443.0,357.142857143,9.88391502322,-109.989,140,26643.8,100,25.906,0.0408127,-279.302391944,0.6,,24308.132705,3.96825e-05
1,-311.626234975,50000,nan,2262.1,2.18569e-06,19078.8391614,,nan,-311.626234975,-23396.6,8.56649e+11,396.825396825,19.9177306886,-129.872,126,3.31161e+07,100,27603.5,0.052897,-311.626234975,0.6,,19078.8391614,4.40917e-05
1,-220.217584501,50000,nan,1305.75,6.55917e-09,21768.4999033,,nan,-220.217584501,-19184.2,88.4529,294.117647059,2.0895025181,-113.864,170,111.009,100,3.79499,0.00095593,-220.217584501,0.6,,21768.4999033,3.26797e-05
1,-189.796166533,50000,nan,1335.91,2.57994e-06,26177.1632874,,nan,-189.796166533,-15257.6,3.46107e+07,245.098039216,10.0002653883,-92.8913,204,356543.0,100,99.7465,0.0973446,-189.796166533,0.6,,26177.1632874,2.72331e-05
1,-145.07006599,50000,nan,952.33,1.38395e-09,18131.3782961,,nan,-145.07006599,-14503.7,8.38181,197.628458498,7.89143875373,-89.8603,253,90.0031,100,1.70889,0.00115651,-145.07006599,0.6,,18131.3782961,2.19587e-05
1,-157.82942203,50000,nan,1021.47,1.7665e-09,17197.4345554,,nan,-157.82942203,-15264.7,16.0899,217.391304348,6.08859711761,-95.2542,230,28.9257,100,2.30525,0.000303085,-157.82942203,0.6,,17197.4345554,2.41546e-05
