AvgNormIw,AvgRet,BatchSize,VarDiscRet,MaxVanillaIw,ESSClassic,AvgVanillaIw,VarRet,IterType,J,VanillaAvgRet,VarVanillaIw,MinVanillaIw,AvgDiscRet,AvgEpLen,MaxNormIw,Bound,EpsThisIter,ESSRenyi,VarNormIw,MinNormIw,eRenyi2,Delta,VarJ
0.01,-126.517539579,100,4841.67031171,1.8892,79.9647356614,1.00287,4841.67031171,1,-113.12,-126.517539579,0.254535,0.00943906,-126.517539579,42.58,0.0188381,-157.708,100,78.7586404773,2.53082e-05,9.41209e-05,1.2697,0.6,23.5951
0.01,-118.596232775,100,2599.38907834,1.62421,89.7379362694,1.05022,2599.38907834,1,-111.64,-118.596232775,0.127404,0.218564,-118.596232775,39.21,0.0154655,-154.265,100,88.8141366442,1.15511e-05,0.00208113,1.12595,0.6,16.2965
0.01,-109.376559776,100,31.6836763917,1.37633,94.2103882294,0.999538,31.6836763917,1,-108.575,-109.376559776,0.0620174,0.151414,-109.376559776,17.79,0.0137697,-120.424,100,94.7758112331,6.20748e-06,0.00151484,1.05512,0.6,3.71856
0.01,-108.839733771,100,25.1274798441,1.22359,97.5231979487,0.991969,25.1274798441,1,-108.544,-108.839733771,0.0252433,0.45908,-108.839733771,19.05,0.0123349,-119.577,100,97.3691119926,2.56537e-06,0.00462797,1.02702,0.6,4.57864
0.01,-110.095894258,100,351.83183112,1.26061,95.7098475794,0.998447,351.83183112,1,-108.777,-110.095894258,0.045137,0.266411,-110.095894258,21.9,0.0126257,-133.078,100,96.13524887,4.52775e-06,0.00266825,1.0402,0.6,7.24572
0.01,-107.683971942,100,11.9163133543,1.65851,96.0778829663,0.9647,11.9163133543,1,-107.368,-107.683971942,0.0383746,0.496917,-107.683971942,16.92,0.017192,-117.123,100,96.7762284603,4.12344e-06,0.00515101,1.03331,0.6,3.32212
0.01,-108.059526715,100,12.2223611257,1.19008,98.5734795012,0.993786,12.2223611257,1,-107.922,-108.059526715,0.0144366,0.570232,-108.059526715,16.2,0.0119752,-117.645,100,98.530662862,1.46177e-06,0.00573797,1.01491,0.6,3.31491
0.01,-108.11012744,100,13.6982768683,1.22282,98.8414989016,1.00253,13.6982768683,1,-107.975,-108.11012744,0.0118994,0.660591,-108.11012744,17.91,0.0121974,-118.215,100,98.6537468007,1.18395e-06,0.00658925,1.01365,0.6,3.48714
0.01,-111.043004458,100,598.489593129,1.25307,93.9635629103,0.940254,598.489593129,1,-108.843,-111.043004458,0.0573689,0.170206,-111.043004458,22.67,0.0133269,-137.864,100,96.1110719652,6.48911e-06,0.00181021,1.04046,0.6,5.66494
0.01,-105.785933977,100,197.420633492,108.059,1.26358710783,1.2157,197.420633492,1,16.1302,-105.785933977,116.652,1.85777e-22,-105.785933977,21.29,0.888861,-35.6965,100,3.212395486,0.00789291,1.52814e-24,31.1294,0.6,142.326
0.01,-105.785933977,200,4462.55167015,5.38279e+21,,5.3828e+19,197.420633492,,-110.896,-105.785933977,inf,0.00925419,-121.852174353,21.29,1.0,-inf,100,14992965.8954,0.01,1.71922e-24,1.33396e-05,0.6,7.63425e-05
0.005,-108.623542694,200,18.258298867,4.40379,138.769315182,0.972155,18.258298867,1,-105.01,-108.623542694,0.419105,0.090683,-108.623542694,17.54,0.0226496,-113.906,100,138.437890814,1.10864e-05,0.000466402,1.44469,0.6,44.22
0.01,-108.261790765,200,114.659196574,1.0,100.0,1.0,114.659196574,2,-108.262,-108.261790765,,1.0,-108.261790765,22.4,0.01,-125.361,100,200.0,3.50449e-18,0.01,1.0,0.6,10.6542
0.005,-111.611218904,200,1531.78042193,1.29242,190.596654663,0.998546,1531.78042193,1,-108.265,-111.611218904,0.0494404,0.281949,-111.611218904,23.32,0.00647153,-137.635,100,191.455382238,1.23961e-06,0.0014118,1.04463,0.6,11.9996
0.01,-107.698725199,200,9.72320190299,1.0,100.0,1.0,9.72320190299,2,-107.699,-107.698725199,,1.0,-107.698725199,17.37,0.01,-117.959,100,200.0,3.50449e-18,0.01,1.0,0.6,3.10257
