VarDiscRet,ESSClassic,MinVanillaIw,AvgVanillaIw,VarNormIw,VanillaAvgRet,J,MinNormIw,Bound,VarJ,VarRet,AvgEpLen,AvgNormIw,VarVanillaIw,AvgRet,MaxVanillaIw,BatchSize,IterType,EpsThisIter,AvgDiscRet,ESSRenyi,MaxNormIw,eRenyi2
6442.25079311412,1.3287069076914062,9.375509e-06,2.2937427,0.007501126,129.03910247348395,387.80405,4.0874284e-08,274.67792,258.14633,6442.25079311412,14.13,0.01,394.65338,129.03910247348395,198.89557,100,1,100,129.03910247348395,9.627219930178564,0.8671224,10.387215
48446.03725113804,1.5384861954408204,0.005027764,1326.3846,0.006464541,129.03910247348395,175.23164,3.7905775e-08,-2674.9194,180.16649,6442.25079311412,14.13,0.01,113730450.0,129.03910247348395,106660.88,200,,100,255.88617585937556,0.6377535380743806,0.8041474,313.60077
11054.875561670835,2.1667418592499117,0.00018705723,3.5422018,0.0022940827,156.13554303666487,361.11057,2.640409e-07,268.79865,536.59674,11054.875561670835,17.02,0.005000001,1151.3721,156.13554303666487,479.24304,200,1,100,156.13554303666487,25.06692994796927,0.6764762,7.9786396
9948.59169700644,100.0,1.0,1.0,3.5044917e-18,206.59905111942243,206.59904,0.01,156.79163,99.24266,9948.59169700644,22.45,0.009999998,,206.59905111942243,1.0,200,2,100,206.59905111942243,200.0,0.01,1.0
10401.063663256633,4.77354333880891,0.002086624,65.57691,0.0010275779,156.13554303666487,242.87946,1.5909745e-07,-163.03815,355.4937,11054.875561670835,17.02,0.005,176757.05,156.13554303666487,5345.9575,300,,100,224.841918983422,2.258413050385373,0.40760973,132.83664
13996.234787186637,2.005345441260277,4.814556e-15,3.10688,0.0016566351,142.18880982999343,709.6263,5.1654782e-18,454.0212,2409.484,13996.234787186637,15.53,0.0033333334,1439.1906,142.18880982999343,654.26685,300,1,100,142.18880982999343,8.809635269727531,0.7019549,34.053623
15137.399897961293,100.0,1.0,1.0,3.5044917e-18,263.6757211301237,263.6757,0.01,207.6676,122.41742,15137.399897961293,28.53,0.009999998,,263.6757211301237,1.0,300,2,100,263.6757211301237,300.0,0.01,1.0
19039.918576634464,200.00000010221265,1.0,1.0,2.179301e-19,269.81467122443047,266.74518,0.005,218.24692,130.10455,19039.918576634464,29.21,0.0049999994,,269.81467122443047,1.0,300,2,100,269.81467122443047,300.0,0.005,1.0
30184.438689649556,1.8160441248446555,0.0015284284,1050011240000.0,0.0018304819,142.18880982999343,183.45792,4.8521017e-18,-inf,773.696,13996.234787186637,15.53,0.0033333334,1.8163345e+26,142.18880982999343,207703480000000.0,400,,100,292.99353765050927,119120.90311805152,0.65936905,0.003357933
9075.367740580821,3.233667755809318,2.314004e-12,2.516384,0.00076878804,151.5195251986729,420.21796,2.2989378e-15,246.21384,1438.2025,9075.367740580821,16.53,0.0025,778.89764,151.5195251986729,553.0048,400,1,100,151.5195251986729,19.009811959722423,0.54940426,21.041765
18327.085924363633,100.0,1.0,1.0,3.5044917e-18,279.5886416282297,279.58865,0.01,196.00006,134.69897,18327.085924363633,30.24,0.009999998,,279.5886416282297,1.0,400,2,100,279.5886416282297,400.0,0.01,1.0
23296.12810124557,200.00000010221265,1.0,1.0,2.179301e-19,278.42548496785616,279.00708,0.005,201.46455,143.54034,23296.12810124557,30.12,0.0049999994,,278.42548496785616,1.0,400,2,100,278.42548496785616,400.0,0.005,1.0
9969.132675337978,299.999969473632,1.0,1.0,5.4391416e-20,264.06301732717344,274.02573,0.0033333334,210.71252,130.67259,9969.132675337978,28.58,0.0033333336,,264.06301732717344,1.0,400,2,100,264.06301732717344,400.0,0.0033333334,1.0
15464.46927524741,1.3358671271823723,2.3639424e-11,3.498402,0.0018698684,260.14032827953616,1175.7959,1.6893015e-14,803.35547,2246.7148,15464.46927524741,28.16,0.0025,3661.5964,260.14032827953616,1210.0568,400,1,100,260.14032827953616,8.669544234125054,0.86472106,46.138527
43461.50987844344,100.0,1.0,1.0,3.5044917e-18,374.07523088519855,374.07523,0.01,265.17688,207.42924,43461.50987844344,40.43,0.009999998,,374.07523088519855,1.0,400,2,100,374.07523088519855,400.0,0.01,1.0
25641.98629914941,200.00000010221265,1.0,1.0,2.179301e-19,334.53794164568103,354.30655,0.005,277.30377,186.00276,25641.98629914941,36.13,0.0049999994,,334.53794164568103,1.0,400,2,100,334.53794164568103,400.0,0.005,1.0
35718.591579053165,299.999969473632,1.0,1.0,5.4391416e-20,367.8588887773391,358.82404,0.0033333334,295.95154,186.79572,35718.591579053165,39.77,0.0033333336,,367.8588887773391,1.0,400,2,100,367.8588887773391,400.0,0.0033333334,1.0
18493.937408632173,2.0837531252981116,0.0008264075,156542530.0,0.0011964996,260.14032827953616,255.23328,1.3197812e-14,-inf,264.4378,15464.46927524741,28.16,0.0025,4.6913423e+18,260.14032827953616,42302220000.0,500,,100,335.19486432287755,nan,0.6755707,nan
