script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, max_offline_iters, min_step_size
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,10,small-weights,1,1e-3
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,109,small-weights,1,1e-3
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,904,small-weights,1,1e-3
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,160,small-weights,1,1e-3
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,570,small-weights,1,1e-3
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,10,small-weights,1,1e-4
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,109,small-weights,1,1e-4
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,904,small-weights,1,1e-4
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,160,small-weights,1,1e-4
pois/run,rllab.inverted-pendulum,simple-nn,pdis,pdis-max-d2,0.9999,0.99,False,1,570,small-weights,1,1e-4
