script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, horizon
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,10,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,109,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,904,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,160,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,570,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,245,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,15,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,481,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,712,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,8,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,10,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,109,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,904,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,160,zeros,100
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,10,570,zeros,100
