script, env, policy, iw_method, logdir, bound, delta, gamma, center, njobs, seed, entropy, positive_return
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,10, none, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,109, none, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,904, none, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,160, none, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,570, none, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,10, step:10.0:100, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,109, step:10.0:100, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,904, step:10.0:100, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,160, step:10.0:100, True
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.6,0.99, False,1,570, step:10.0:100, True
