script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, num_episodes, max_iters
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,10,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,109,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,904,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,160,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,570,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,10,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,109,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,904,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,160,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,570,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,10,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,109,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,904,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,160,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,570,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,10,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,109,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,904,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,160,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,570,xavier,100,500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,10,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,109,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,904,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,160,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.7,1.0,False,1,570,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,10,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,109,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,904,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,160,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.8,1.0,False,1,570,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,10,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,109,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,904,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,160,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.9,1.0,False,1,570,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,10,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,109,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,904,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,160,xavier,20,2500
pois/run,rllab.inverted-pendulum,nn,pdis,pdis-max-d2,0.99,1.0,False,1,570,xavier,20,2500
