script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.1,0.99,False,1,10
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.1,0.99,False,1,109
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.1,0.99,False,1,904
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.1,0.99,False,1,160
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.1,0.99,False,1,570
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.2,0.99,False,1,10
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.2,0.99,False,1,109
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.2,0.99,False,1,904
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.2,0.99,False,1,160
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.2,0.99,False,1,570
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,10
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,109
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,904
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,160
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,570
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.4,0.99,False,1,10
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.4,0.99,False,1,109
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.4,0.99,False,1,904
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.4,0.99,False,1,160
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.4,0.99,False,1,570
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.5,0.99,False,1,10
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.5,0.99,False,1,109
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.5,0.99,False,1,904
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.5,0.99,False,1,160
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.5,0.99,False,1,570
