script, env, policy, iw_method, logdir, bound, delta, gamma, center, num_episodes, njobs, seed
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,100,1,10
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,100,1,109
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,100,1,904
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,100,1,160
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,100,1,570
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,max-d2,0.4,0.99, True,100,1,10
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,max-d2,0.4,0.99, True,100,1,109
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,max-d2,0.4,0.99, True,100,1,904
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,max-d2,0.4,0.99, True,100,1,160
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,max-d2,0.4,0.99, True,100,1,570
