script, env, policy, iw_method, logdir, bound, delta, gamma, center, clipping, njobs, seed
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.99,0.99,False,True,1,10
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.99,0.99,False,True,1,109
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.99,0.99,False,True,1,904
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.99,0.99,False,True,1,160
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.99,0.99,False,True,1,570
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.9,0.99,False,True,1,10
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.9,0.99,False,True,1,109
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.9,0.99,False,True,1,904
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.9,0.99,False,True,1,160
run_rllab_pois.py, inverted-pendulum, linear, pdis, ip_linear_clip,pdis-d2,0.9,0.99,False,True,1,570
run_rllab_pois.py, inverted-pendulum, linear, is, ip_linear_clip,max-d2,0.9,0.99,False,True,1,10
run_rllab_pois.py, inverted-pendulum, linear, is, ip_linear_clip,max-d2,0.9,0.99,False,True,1,109
run_rllab_pois.py, inverted-pendulum, linear, is, ip_linear_clip,max-d2,0.9,0.99,False,True,1,904
run_rllab_pois.py, inverted-pendulum, linear, is, ip_linear_clip,max-d2,0.9,0.99,False,True,1,160
run_rllab_pois.py, inverted-pendulum, linear, is, ip_linear_clip,max-d2,0.9,0.99,False,True,1,570
