script, env, policy, iw_method, logdir, bound, delta, gamma, center, njobs, seed, entropy
run_rllab_pois_sacred.py, inverted-pendulum, linear, is, ip_linear_nobound,J,0.99,0.99, True,1,10, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, is, ip_linear_nobound,J,0.99,0.99, True,1,109, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, is, ip_linear_nobound,J,0.99,0.99, True,1,904, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, is, ip_linear_nobound,J,0.99,0.99, True,1,160, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, is, ip_linear_nobound,J,0.99,0.99, True,1,570, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,10, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,109, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,904, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,160, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,570, step:10.0:100
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,10, none
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,109, none
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,904, none
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,160, none
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_nobound,J,0.99,0.99, True,1,570, none
