script, env, policy, iw_method, logdir, bound, delta, gamma, center, njobs, seed, entropy
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.9,0.99, True,1,10, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.9,0.99, True,1,109, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.9,0.99, True,1,904, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.9,0.99, True,1,160, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.9,0.99, True,1,570, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.99,0.99, True,1,10, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.99,0.99, True,1,109, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.99,0.99, True,1,904, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.99,0.99, True,1,160, step:100.0:200
run_rllab_pois_sacred.py, inverted-pendulum, linear, pdis, ip_linear_pdis,pdis-d2,0.99,0.99, True,1,570, step:100.0:200
