script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, num_episodes
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,662,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,963,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,100,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,746,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,236,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,247,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,689,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,153,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,947,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,307,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,42,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,950,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,315,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,545,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,178,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,245,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,15,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,481,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,712,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,2,8,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,662,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,963,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,100,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,746,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,236,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,247,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,689,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,153,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,947,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,307,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,42,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,950,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,315,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,545,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,178,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,245,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,15,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,481,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,712,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,8,zeros,100
