script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, capacity, num_episodes
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.1,1.0,False,10,10,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.1,1.0,False,10,109,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.1,1.0,False,10,904,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.1,1.0,False,10,160,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.1,1.0,False,10,570,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.3,1.0,False,10,10,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.3,1.0,False,10,109,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.3,1.0,False,10,904,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.3,1.0,False,10,160,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.3,1.0,False,10,570,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.5,1.0,False,10,10,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.5,1.0,False,10,109,zeros,5,100
pomis2/run,rllab.mountain-car,linear,is,max-d2-harmonic,0.5,1.0,False,10,904,zeros,5,100
