script, env, policy, iw_method, logdir, bound, delta, gamma, center, num_episodes, njobs, seed, entropy
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,100,1,10, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,100,1,109, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,100,1,904, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,100,1,160, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,100,1,570, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,20,1,10, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,20,1,109, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,20,1,904, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,20,1,160, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, is, idp,max-d2,0.1,0.99, False,20,1,570, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,100,1,10, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,100,1,109, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,100,1,904, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,100,1,160, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,100,1,570, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,20,1,10, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,20,1,109, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,20,1,904, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,20,1,160, none
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.1,0.99, False,20,1,570, none
