script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, num_episodes
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,662,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,963,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,100,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,746,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,236,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,247,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,689,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,153,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,947,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,307,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,42,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,950,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,315,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,545,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,178,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,245,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,15,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,481,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,712,zeros,20
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,8,8,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,662,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,963,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,100,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,746,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,236,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,247,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,689,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,153,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,947,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,307,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,42,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,950,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,315,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,545,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,178,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,245,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,15,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,481,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,712,zeros,20
pois/run,rllab.inverted-pendulum,linear,is,max-d2,0.9,1.0,False,8,8,zeros,20
