script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, capacity
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,662,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,963,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,100,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,746,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,236,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,247,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,689,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,153,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,947,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,307,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,42,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,950,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,315,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,545,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,178,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,245,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,15,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,481,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,712,zeros,10
pomis/run,rllab.inverted-double-pendulum,linear,is,max-d2-harmonic,0.3,1.0,False,8,8,zeros,10
