script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,10, zeros
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,109, zeros
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,904, zeros
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,160, zeros
pois/run,rllab.cartpole,linear,pdis,pdis-max-d2,0.3,0.99,False,1,570, zeros
pois/run,rllab.acrobot,linear,pdis,pdis-max-d2,0.7,0.99,False,1,10, zeros
pois/run,rllab.acrobot,linear,pdis,pdis-max-d2,0.7,0.99,False,1,109, zeros
pois/run,rllab.acrobot,linear,pdis,pdis-max-d2,0.7,0.99,False,1,904, zeros
pois/run,rllab.acrobot,linear,pdis,pdis-max-d2,0.7,0.99,False,1,160, zeros
pois/run,rllab.acrobot,linear,pdis,pdis-max-d2,0.7,0.99,False,1,570, zeros
pois/run,rllab.mountain-car,linear,pdis,pdis-max-d2,0.9,0.99,False,1,10, zeros
pois/run,rllab.mountain-car,linear,pdis,pdis-max-d2,0.9,0.99,False,1,109, zeros
pois/run,rllab.mountain-car,linear,pdis,pdis-max-d2,0.9,0.99,False,1,904, zeros
pois/run,rllab.mountain-car,linear,pdis,pdis-max-d2,0.9,0.99,False,1,160, zeros
pois/run,rllab.mountain-car,linear,pdis,pdis-max-d2,0.9,0.99,False,1,570, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,10, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,109, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,904, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,160, zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,0.99,False,1,570, zeros
