script, env, policy, iw_method, logdir, bound, delta, gamma, center, num_episodes, njobs, seed, entropy
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.8,0.99, True,100,1,10, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.8,0.99, True,100,1,109, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.8,0.99, True,100,1,904, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.8,0.99, True,100,1,160, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.8,0.99, True,100,1,570, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.9,0.99, True,100,1,10, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.9,0.99, True,100,1,109, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.9,0.99, True,100,1,904, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.9,0.99, True,100,1,160, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.9,0.99, True,100,1,570, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.99,0.99, True,100,1,10, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.99,0.99, True,100,1,109, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.99,0.99, True,100,1,904, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.99,0.99, True,100,1,160, step:10.0:100
run_rllab_pois_sacred.py, inverted-double-pendulum, linear, pdis, idp,pdis-d2,0.99,0.99, True,100,1,570, step:10.0:100
