script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.6,1.0,False,1,10,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.6,1.0,False,1,109,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.6,1.0,False,1,904,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.6,1.0,False,1,160,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.6,1.0,False,1,570,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.8,1.0,False,1,10,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.8,1.0,False,1,109,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.8,1.0,False,1,904,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.8,1.0,False,1,160,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.8,1.0,False,1,570,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,1.0,False,1,10,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,1.0,False,1,109,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,1.0,False,1,904,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,1.0,False,1,160,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9,1.0,False,1,570,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.99,1.0,False,1,10,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.99,1.0,False,1,109,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.99,1.0,False,1,904,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.99,1.0,False,1,160,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.99,1.0,False,1,570,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,1,10,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,1,109,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,1,904,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,1,160,zeros
pois/run,rllab.inverted-pendulum,linear,pdis,pdis-max-d2,0.9999,1.0,False,1,570,zeros
