script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, num_episodes
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1743,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1570,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1024,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1873,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1410,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1731,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1187,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1873,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1082,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1545,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1934,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1090,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1088,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1166,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1635,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1290,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1475,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1380,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1353,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1915,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1760,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1909,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1032,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1166,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1294,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1169,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1914,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1048,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1143,zeros,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,1.0,False,4,1231,zeros,100
