script, env, policy, iw_method, logdir, bound, delta, gamma, center, num_episodes, njobs, seed, entropy
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,20,1,10, step:10.0:100
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,20,1,109, step:10.0:100
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,20,1,904, step:10.0:100
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,20,1,160, step:10.0:100
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,20,1,570, step:10.0:100
run_rllab_pois_sacred.py, cartpole, linear, is, cartpole,max-d2,0.4,0.99, True,20,1,904, none
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,pdis-d2,0.4,0.99, True,20,1,10, none
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,pdis-d2,0.4,0.99, True,20,1,109, none
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,pdis-d2,0.4,0.99, True,20,1,904, none
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,pdis-d2,0.4,0.99, True,20,1,160, none
run_rllab_pois_sacred.py, cartpole, linear, pdis, cartpole,pdis-d2,0.4,0.99, True,20,1,570, none
