script,env,policy,delta,gamma,njobs,seed,capacity,num_episodes,max_iters,iw_norm
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,749,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,728,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,524,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,215,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,455,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,920,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,635,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,930,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,402,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,705,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,938,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,563,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,925,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,29,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,173,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,542,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,899,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,175,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,152,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.6,1,1,210,1,1,50000,none
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,749,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,728,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,524,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,215,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,455,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,920,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,635,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,930,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,402,1,10,5000,all
