script, env, policy, step_size, gamma, seed, policy_init, num_episodes, horizon
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,10,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,109,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,904,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,160,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,570,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,662,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,963,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,100,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,746,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,236,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,247,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,689,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,153,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,947,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,307,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,42,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,950,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,315,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,545,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,178,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,245,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,15,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,481,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,712,zeros,100,100
trpo_rllab/run,inverted-pendulum,linear,0.01,0.99,8,zeros,100,100
