script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, policy_init, capacity, num_episodes, warm_start
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,245,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,15,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,481,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,712,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,8,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,10,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,109,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,904,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,160,zeros,5,100,True
pomis2/run,rllab.inverted-pendulum,linear,is,max-d2-harmonic,0.7,1.0,False,10,570,zeros,5,100,True
