seed,gamma,capacity,script,max_iters,delta,env,policy,iw_norm,njobs,num_episodes
10,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
109,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
904,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
160,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
570,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
662,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
963,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
100,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
746,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
236,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
247,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
689,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
153,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
947,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
307,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
42,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
950,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
315,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
545,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
178,1.0,1,pbpois/run,500,0.2,rllab.cartpole,linear,rows,1,10
