VarJ,eRenyi2,MinNormIw,VanillaAvgRet,MaxVanillaIw,MaxNormIw,ESSRenyi,VarRet,ESSClassic,AvgEpLen,BatchSize,AvgNormIw,VarNormIw,MinVanillaIw,AvgDiscRet,VarDiscRet,IterType,J,VarVanillaIw,AvgVanillaIw,AvgRet,Delta,EpsThisIter,Bound
564.909,3.075,6.1359e-14,-1485.85436731,12.7547,0.123023,32.5203499135,153715.045746,24.7655929893,500.0,100,0.01,0.000306855,6.36155e-12,-1485.85436731,153715.045746,1,-1071.88,3.29839,1.03678,-1485.85436731,0.5,100,-1422.15
448.865,1.93432,4.55913e-07,-1161.47924469,11.0072,0.0974877,51.697732669,50599.6207076,37.9929324311,500.0,100,0.01,0.000164855,5.14765e-05,-1161.47924469,50599.6207076,1,-1038.83,2.10164,1.12909,-1161.47924469,0.5,100,-1311.52
210.649,1.17133,0.0022975,-1118.10275265,2.33987,0.0233042,85.3726917561,28462.3524459,86.2597785072,500.0,100,0.01,1.60898e-05,0.230682,-1118.10275265,28462.3524459,1,-1091.65,0.162206,1.00406,-1118.10275265,0.5,100,-1303.72
186.578,1.05966,0.00442581,-1119.70667452,1.80673,0.0181059,94.3700870756,20765.821601,94.0465992079,500.0,100,0.01,6.39422e-06,0.441638,-1119.70667452,20765.821601,1,-1109.65,0.06367,0.997869,-1119.70667452,0.5,100,-1311.28
254.336,1.59429,0.000153403,-1056.94901846,2.85383,0.02763,62.7240185446,27703.1653128,64.5959442842,500.0,100,0.01,5.53621e-05,0.0158446,-1056.94901846,27703.1653128,1,-985.324,0.590618,1.03287,-1056.94901846,0.5,100,-1208.05
276.266,2.17282,4.19687e-06,-1002.17227112,4.46908,0.0424466,46.0231334523,61002.2412689,48.5681944394,500.0,100,0.01,0.000106966,0.000441876,-1002.17227112,61002.2412689,1,-842.431,1.18575,1.05287,-1002.17227112,0.5,100,-1131.11
333.25,1.62407,0.000322083,-898.619219822,6.12068,0.055031,61.5738253578,107859.232409,56.0430061826,500.0,100,0.01,7.92267e-05,0.0358228,-898.619219822,107859.232409,1,-776.766,0.980069,1.11222,-898.619219822,0.5,100,-1026.67
306.849,2.22024,3.67684e-05,-856.548811174,9.29682,0.0788564,45.0401251153,140052.265139,34.6164961299,500.0,100,0.01,0.000190787,0.00433483,-856.548811174,140052.265139,1,-666.174,2.65183,1.17896,-856.548811174,0.5,100,-958.509
138.009,1.29788,0.00147626,-714.159670549,2.54267,0.0266619,77.0485242851,39814.6451576,72.1659523481,500.0,100,0.01,3.89591e-05,0.140786,-714.159670549,39814.6451576,1,-659.242,0.354328,0.95367,-714.159670549,0.5,100,-882.27
113.328,1.12476,0.00190945,-656.97532979,2.05298,0.0191943,88.9081549302,28328.9491881,89.7463059786,500.0,100,0.01,1.15406e-05,0.204231,-656.97532979,28328.9491881,1,-629.984,0.132025,1.06958,-656.97532979,0.5,100,-837.925
76.1475,1.26178,0.000559974,-635.293056858,2.58902,0.0254397,79.2532743694,13015.6273459,74.939070513,500.0,100,0.01,3.37795e-05,0.056989,-635.293056858,13015.6273459,1,-601.299,0.349864,1.01771,-635.293056858,0.5,100,-734.957
164.142,1.09469,0.00192385,-630.902665719,2.1398,0.0217963,91.3499361533,42109.8305387,89.6568431268,500.0,100,0.01,1.16529e-05,0.18887,-630.902665719,42109.8305387,1,-608.745,0.112309,0.981727,-630.902665719,0.5,100,-813.877
58.3955,1.16615,0.00127558,-611.671797713,2.01906,0.0210048,85.7524126596,5321.71467375,81.7480775559,500.0,100,0.01,2.25526e-05,0.122613,-611.671797713,5321.71467375,1,-593.485,0.20838,0.961235,-611.671797713,0.5,100,-691.44
48.0297,1.12972,0.00402865,-582.982933462,3.33246,0.0329178,88.5177164,2023.95831636,83.6349054693,500.0,100,0.01,1.9765e-05,0.407844,-582.982933462,2023.95831636,1,-575.371,0.202565,1.01236,-582.982933462,0.5,100,-648.305
56.2666,1.21528,0.00119242,-572.321565745,2.10379,0.0211204,82.2852290965,2821.41176231,80.681492857,500.0,100,0.01,2.4186e-05,0.118776,-572.321565745,2821.41176231,1,-558.0,0.239974,0.996093,-572.321565745,0.5,100,-633.016
222.644,1.8326,0.00146741,-560.359673216,32.2789,0.255322,54.5671466489,2522.68116953,13.6104316295,500.0,100,0.01,0.000641142,0.185516,-560.359673216,2522.68116953,1,-519.676,10.2474,1.26424,-560.359673216,0.5,100,-615.715
57.5354,1.31387,0.000596801,-552.806321396,3.40215,0.0353142,76.1109644288,2635.63811287,65.3539951213,500.0,100,0.01,5.35484e-05,0.0574955,-552.806321396,2635.63811287,1,-530.873,0.496998,0.963394,-552.806321396,0.5,100,-608.785
75.3037,1.38819,0.000664601,-542.291288408,8.51094,0.0765909,72.0362346569,3199.4248833,49.7499341356,500.0,100,0.01,0.000102026,0.0738518,-542.291288408,3199.4248833,1,-518.276,1.25982,1.11122,-542.291288408,0.5,100,-601.165
65.5817,1.19345,0.000472627,-542.364359703,1.93616,0.0219422,83.7909856104,3533.69497507,80.8917544238,500.0,100,0.01,2.38606e-05,0.0417043,-542.364359703,3533.69497507,1,-528.073,0.185782,0.882393,-542.364359703,0.5,100,-619.591
60.1717,1.23376,0.00184772,-521.266578634,2.3126,0.0246281,81.0530959787,3529.03917497,80.3735656605,500.0,100,0.01,2.46657e-05,0.173503,-521.266578634,3529.03917497,1,-504.228,0.217487,0.939011,-521.266578634,0.5,100,-585.347
50.5522,1.18262,0.00130309,-518.598829557,2.07413,0.021169,84.5579180261,2538.95386931,82.5429524599,500.0,100,0.01,2.13627e-05,0.127677,-518.598829557,2538.95386931,1,-506.821,0.205082,0.979797,-518.598829557,0.5,100,-584.542
65.6031,1.31997,0.000529909,-498.16184374,3.10107,0.0302811,75.7591258385,2369.82370521,73.7480661488,500.0,100,0.01,3.59563e-05,0.0542676,-498.16184374,2369.82370521,1,-483.412,0.377098,1.02409,-498.16184374,0.5,100,-552.924
54.0689,1.23251,8.3536e-05,-506.278079028,2.11418,0.0237978,81.1353090496,1971.4626166,76.5394275487,500.0,100,0.01,3.09612e-05,0.00742129,-506.278079028,1971.4626166,1,-493.039,0.24436,0.888395,-506.278079028,0.5,100,-565.632
48.607,1.18564,0.000860959,-502.648449492,2.34946,0.0233037,84.3428047218,2795.24665735,82.3010521397,500.0,100,0.01,2.17223e-05,0.0868013,-502.648449492,2795.24665735,1,-490.594,0.220797,1.00819,-502.648449492,0.5,100,-564.689
67.1622,1.22255,0.0019804,-487.29590972,5.28588,0.0521845,81.7964266874,2647.64411529,73.8776715266,500.0,100,0.01,3.57161e-05,0.200599,-487.29590972,2647.64411529,1,-475.626,0.366451,1.01292,-487.29590972,0.5,100,-543.871
53.4414,1.18914,0.00221984,-478.83452972,2.54957,0.0251778,84.0942721897,1915.15444449,79.5068807979,500.0,100,0.01,2.60356e-05,0.224787,-478.83452972,1915.15444449,1,-468.358,0.266973,1.01263,-478.83452972,0.5,100,-533.47
58.4248,1.23356,0.0020199,-475.311245826,4.2519,0.0414584,81.0662316647,2031.49693053,73.587022836,500.0,100,0.01,3.62561e-05,0.207157,-475.311245826,2031.49693053,1,-463.372,0.381348,1.02558,-475.311245826,0.5,100,-532.57
64.2684,1.27322,0.00203278,-474.358909796,6.65567,0.0664196,78.5411063793,1905.02193956,62.3683838102,500.0,100,0.01,6.09471e-05,0.203698,-474.358909796,1905.02193956,1,-461.851,0.611989,1.00206,-474.358909796,0.5,100,-530.503
42.5902,1.14219,0.00253349,-471.678370291,2.03062,0.0212628,87.5511003889,1925.32799208,85.8299484329,500.0,100,0.01,1.66762e-05,0.241951,-471.678370291,1925.32799208,1,-464.841,0.152094,0.955008,-471.678370291,0.5,100,-526.861
45.0636,1.1417,0.00198404,-469.727362468,2.01643,0.0185447,87.5888641984,1939.11322741,88.8249655141,500.0,100,0.01,1.2708e-05,0.215733,-469.727362468,1939.11322741,1,-461.364,0.150247,1.08734,-469.727362468,0.5,100,-525.596
40.4756,1.03704,0.00441061,-462.794917102,1.3633,0.0130687,96.4284848042,1472.35819788,96.5865882064,500.0,100,0.01,3.56974e-06,0.460106,-462.794917102,1472.35819788,1,-460.477,0.0388468,1.04318,-462.794917102,0.5,100,-521.087
