AvgEpLen,VanillaAvgRet,AvgNormIw,MinVanillaIw,AvgDiscRet,Bound,MaxVanillaIw,Delta,ESSRenyi,EpsThisIter,VarDiscRet,VarRet,VarVanillaIw,MaxNormIw,BatchSize,VarJ,VarNormIw,AvgRet,eRenyi2,J,MinNormIw,AvgVanillaIw,IterType,ESSClassic
13.88,126.763490816,0.01,0.00635029,126.763490816,56.9291,47.8716,0.1,44.3132306293,100,6798.63646822,6798.63646822,23.1276,0.367209,100,301.679,0.00136083,126.763490816,2.25666,236.786,4.87113e-05,1.30366,1,6.90981491487
23.04,211.957463919,0.01,0.0123777,211.957463919,40.0883,7.48523,0.1,59.3082366722,100,16514.4252858,16514.4252858,1.18023,0.0764288,100,351.729,0.000123047,211.957463919,1.68611,305.137,0.000126384,0.979373,1,45.0823089514
25.88,239.005245894,0.01,0.34302,239.005245894,53.7872,3.49437,0.1,85.487639636,100,13579.5834039,13579.5834039,0.293083,0.0332945,100,136.92,2.66071e-05,239.005245894,1.16976,274.048,0.00326831,1.04953,1,79.1508527102
28.22,260.902149418,0.01,0.130715,260.902149418,-86.0895,3.24925,0.1,83.6360166737,100,22189.6133876,22189.6133876,0.283084,0.0332805,100,343.322,2.96983e-05,260.902149418,1.19566,310.356,0.00133885,0.976321,1,77.2789875242
30.95,285.999133999,0.01,0.14381,285.999133999,44.4091,1.6185,0.1,92.2120133388,100,14794.6888329,14794.6888329,0.0893723,0.0163579,100,126.579,9.12917e-06,285.999133999,1.08446,307.455,0.00145346,0.989431,1,91.7112757555
31.44,291.008779308,0.01,0.0936936,291.008779308,122.309,4.06016,0.1,75.4074882443,100,11999.1192354,11999.1192354,0.415622,0.0420306,100,177.147,4.45392e-05,291.008779308,1.32613,337.576,0.000969911,0.966002,1,69.3992286043
32.73,302.802391743,0.01,0.246038,302.802391743,113.16,2.19838,0.1,85.3232911125,100,13203.7031669,13203.7031669,0.196573,0.0229153,100,141.032,2.13585e-05,302.802391743,1.17201,334.112,0.00256463,0.95935,1,82.5457805185
36.9,341.864350883,0.01,0.106692,341.864350883,116.822,4.83138,0.1,79.6788986948,100,19095.5275018,19095.5275018,0.43534,0.0488677,100,229.61,4.45379e-05,341.864350883,1.25504,388.024,0.00107916,0.988666,1,69.3998804929
39.11,362.406604963,0.01,0.280618,362.406604963,90.7682,2.7875,0.1,86.0763353922,100,23095.6519276,23095.6519276,0.178519,0.0269737,100,226.955,1.67161e-05,362.406604963,1.16176,402.68,0.00271545,1.03341,1,85.8008525269
39.87,369.408216025,0.01,0.469468,369.408216025,32.7545,3.40094,0.1,92.8389790976,100,23509.0318118,23509.0318118,0.11325,0.0338575,100,203.672,1.1224e-05,369.408216025,1.07713,389.632,0.0046737,1.00449,1,89.9994340382
43.78,405.742958832,0.01,0.0318655,405.742958832,158.687,13.7954,0.1,51.3107892138,100,33376.1955765,33376.1955765,2.60223,0.131935,100,601.096,0.000238011,405.742958832,1.94891,581.425,0.000304752,1.04562,1,29.7946231779
50.17,465.0101353,0.01,0.256836,465.0101353,158.35,9.25579,0.1,77.3002957803,100,35468.8356665,35468.8356665,0.963872,0.0837225,100,485.506,7.88637e-05,465.0101353,1.29366,531.186,0.00232319,1.10553,1,56.1561123202
46.48,430.402669568,0.01,0.236683,430.402669568,34.3759,2.55738,0.1,83.7482136906,100,39572.0857046,39572.0857046,0.276414,0.0245536,100,333.8,2.54799e-05,430.402669568,1.19406,490.253,0.00227241,1.04155,1,79.8561838805
52.68,488.365293749,0.01,0.0174252,488.365293749,258.842,83.7028,0.1,41.2396523653,100,33230.8222863,33230.8222863,69.3344,0.484866,100,1297.04,0.00232655,488.365293749,2.42485,756.995,0.000100939,1.72631,1,4.16097718016
