VarVanillaIw,MaxNormIw,IterType,AvgNormIw,AvgDiscRet,Bound,MinVanillaIw,EpsThisIter,J,MinNormIw,VarRet,ESSRenyi,AvgRet,ESSClassic,BatchSize,MaxVanillaIw,AvgEpLen,eRenyi2,VarNormIw,Delta,VarJ,VarDiscRet,VanillaAvgRet,AvgVanillaIw
314.209,0.742299,1,0.01,161.420861883,317.252,5.94914e-11,100,482.122,2.49818e-13,10740.5379436,7.84403845417,161.420861883,1.79044204517,100,176.77,17.6,12.7485,0.00554062,0.6,646.412,10740.5379436,161.420861883,2.38139
2.82547e+18,0.999986,,0.01,214.36101104,-921924.0,0.00565706,100,297.119,3.36542e-13,10740.5379436,3.5347363918e-07,161.420861883,1.00002899776,200,1.68091e+10,17.6,5.65813e+08,0.00999971,0.6,0.0283178,9129.19674078,161.420861883,1.68094e+08
1811.77,0.753031,1,0.005,168.491758483,308.383,0.00475887,100,447.815,5.94808e-06,20028.7692231,35.1461534929,168.491758483,1.75978707148,200,602.477,18.36,5.69052,0.00283041,0.6,775.341,20028.7692231,168.491758483,4.00034
,0.01,2,0.01,217.031459718,161.643,1.0,100,217.031,0.01,22936.5682695,200.0,217.031459718,100.0,200,1.0,23.56,1.0,3.50449e-18,0.6,150.689,22936.5682695,217.031459718,1.0
405.291,0.130349,,0.005,220.432284848,-14.0285,0.00165982,100,184.463,1.0296e-06,20028.7692231,13.6610224018,168.491758483,27.7513935554,300,210.134,18.36,21.9603,0.000155951,0.6,260.718,18487.3069879,168.491758483,8.06046
1763.07,0.716574,1,0.00333333,158.251262151,300.162,2.57224e-07,100,440.12,2.53354e-10,11237.9835077,34.8827639296,158.251262151,1.94270300314,300,727.521,17.27,8.60024,0.00171041,0.6,998.606,11237.9835077,158.251262151,3.38425
,0.01,2,0.01,206.512453242,166.388,1.0,100,206.512,0.01,14038.3442819,300.0,206.512453242,100.0,300,1.0,22.41,1.0,3.50449e-18,0.6,117.89,14038.3442819,206.512453242,1.0
,0.005,2,0.005,217.30344136,162.792,1.0,100,211.908,0.005,21901.6370523,300.0,217.30344136,200.000000102,300,1.0,23.58,1.0,2.1793e-19,0.6,133.489,21901.6370523,217.30344136,1.0
5.03809e+10,0.988079,,0.00333333,232.839142734,-inf,0.00137453,100,248.286,3.49348e-10,11237.9835077,nan,158.251262151,1.02416827025,400,3.88766e+06,17.27,nan,0.00325441,0.6,175.792,18858.5957825,158.251262151,13115.2
785.906,0.559125,1,0.0025,144.70574015,496.033,4.12138e-20,100,683.813,4.13702e-23,9502.83164353,19.3777289248,144.70574015,3.14010762639,400,557.012,15.81,20.6423,0.000791881,0.6,3732.13,9502.83164353,144.70574015,2.49055
