MaxVanillaIw,AvgEpLen,VarNormIw,ESSRenyi,SamplesThisIter,EpsThisIter,ESSClassic,MinNormIw,J,VarRet,BatchSize,VanillaAvgRet,MinVanillaIw,MaxNormIw,VarJ,delta,AvgNormIw,AvgRet,AvgVanillaIw,VarVanillaIw,Bound,VarDiscRet,IterType,renyi2,AvgDiscRet
69.8097,500.0,2.14501e-08,nan,50000,100,0.701387840957,1.93758e-41,511.951,33.8438840162,100,-5.5568023567,1.05746e-36,0.00127915,68.2144,0.4,5.52486e-05,-5.5568023567,3.01519,63.8874,-2.09633,33.8438840162,1,nan,-5.5568023567
5.16036e+21,500.0,1.0994e-05,nan,50000,100,2.79252429814,,3941.06,85.942616123,100,-5.90752098704,,0.248509,72.469,0.4,5.52486e-05,-5.90752098704,1.14725e+18,inf,2.57884,85.942616123,1,nan,-5.90752098704
17.152,500.0,8.51564e-09,nan,50000,100,0.84736896073,1.11418e-15,437.67,78.4139481271,100,-5.77189727668,2.63906e-11,0.00072414,122.696,0.4,5.52486e-05,-5.77189727668,1.30862,4.77753,-4.86846,78.4139481271,1,nan,-5.77189727668
14.4199,500.0,7.81702e-09,nan,50000,100,1.07604775065,2.19488e-14,47.4578,79.0107097471,100,-7.19782394564,5.45745e-10,0.000579941,69.4885,0.4,5.52486e-05,-7.19782394564,1.37373,4.83281,-6.52741,79.0107097471,1,nan,-7.19782394564
340.25,500.0,4.29144e-08,nan,50000,100,1.17244907512,,1354.49,49.3171740713,100,-4.25707455804,,0.00358568,105.531,0.4,5.52486e-05,-4.25707455804,5.24262,386.418,1.63893,49.3171740713,1,nan,-4.25707455804
71.792,500.0,2.11954e-08,nan,50000,100,0.855199679284,7.4433e-30,955.551,38.9262134149,100,-3.40400153152,3.94317e-25,0.00135518,64.9226,0.4,5.52486e-05,-3.40400153152,2.92685,59.4841,0.898603,38.9262134149,1,nan,-3.40400153152
6.61175e+18,500.0,1.83518e-05,nan,50000,100,2.99999470398,,3978.22,47.2018979893,100,-2.94365821364,,0.332768,25.2068,0.4,5.52486e-05,-2.94365821364,1.09773e+15,7.24483e+33,6.84027,47.2018979893,1,nan,-2.94365821364
1863.1,500.0,1.29829e-07,nan,50000,100,2.69577527247,2.76753e-24,1069.59,49.778114403,100,-4.53483267329,2.06246e-19,0.0250001,90.0434,0.4,5.52486e-05,-4.53483267329,4.11733,721.039,0.865124,49.778114403,1,nan,-4.53483267329
2.10137e+10,500.0,1.84098e-05,nan,50000,100,3.00000004181,,2979.4,55.3982159867,100,-2.5711516095,,0.333294,94.5924,0.4,5.52486e-05,-2.5711516095,3.48335e+06,7.31812e+16,7.72208,55.3982159867,1,nan,-2.5711516095
1.38045e+07,500.0,2.58724e-05,nan,50000,100,1.99987925842,,3772.15,73.3705406485,100,-4.32270850469,,0.483886,345.007,0.4,5.52486e-05,-4.32270850469,1576.16,2.10569e+10,5.14825,73.3705406485,1,nan,-4.32270850469
8263.47,500.0,3.08828e-07,nan,50000,100,0.829211643044,,3040.03,64.6398930043,100,-3.08981228943,,0.0247608,300.323,0.4,5.52486e-05,-3.08981228943,18.4382,34396.3,4.47369,64.6398930043,1,nan,-3.08981228943
43.9204,500.0,1.72106e-08,nan,50000,100,0.815249253949,,408.38,23.5185483945,100,-3.82146125157,,0.00134548,69.0393,0.4,5.52486e-05,-3.82146125157,1.80348,18.339,-0.994208,23.5185483945,1,nan,-3.82146125157
18029.5,500.0,5.62533e-07,nan,50000,100,2.18190366187,2.4019e-31,1875.86,49.3966807433,100,-3.55156510885,8.82459e-26,0.0490732,80.9677,0.4,5.52486e-05,-3.55156510885,20.2983,75932.2,4.79507,49.3966807433,1,nan,-3.55156510885
86.5878,500.0,2.53925e-08,nan,50000,100,0.55901993101,6.55098e-20,1003.35,79.7592231457,100,-7.05842454204,2.19745e-15,0.00258134,285.523,0.4,5.52486e-05,-7.05842454204,1.85325,28.5713,-3.39197,79.7592231457,1,nan,-7.05842454204
324.441,500.0,5.09378e-08,nan,50000,100,0.33544108399,2.3885e-24,1856.52,61.6215265551,100,-3.76683213948,1.7755e-19,0.00436458,297.537,0.4,5.52486e-05,-3.76683213948,4.10691,281.467,3.10713,61.6215265551,1,nan,-3.76683213948
2.86211e+21,500.0,8.7247e-06,nan,50000,100,2.71616633475,,5054.0,91.2228477182,100,-2.09478429376,,0.218341,50.2806,0.4,5.52486e-05,-2.09478429376,7.24223e+17,inf,8.60758,91.2228477182,1,nan,-2.09478429376
1.50536e+13,500.0,1.46491e-05,nan,50000,100,2.95723014815,,4403.67,75.212467352,100,-5.2132998293,,0.295189,57.2764,0.4,5.52486e-05,-5.2132998293,2.81748e+09,3.8097e+22,7.9255,75.212467352,1,nan,-5.2132998293
2.30781e+13,500.0,2.76228e-05,nan,50000,100,1.99999991309,,3269.5,48.9646430654,100,-2.61565318003,,0.5,178.452,0.4,5.52486e-05,-2.61565318003,2.55007e+09,5.88474e+22,4.52997,48.9646430654,1,nan,-2.61565318003
137.258,500.0,3.38544e-08,nan,50000,100,0.592427175661,2.92044e-37,1516.85,65.9338581776,100,-4.28174461458,1.3005e-32,0.00308231,156.335,0.4,5.52486e-05,-4.28174461458,2.46027,67.1335,1.26242,65.9338581776,1,nan,-4.28174461458
