#{"env_id": "ContCartPole-v0", "t_start": 1523346731.0352097}
r,l,t
229.892717,24,1.06156
449.762263,46,1.103509
289.840605,30,1.131436
139.910648,15,1.145452
199.868643,21,1.164975
279.786309,29,1.192269
239.869922,25,1.215526
379.746939,39,1.261008
139.883437,15,1.275038
279.90251,29,1.302047
169.898979,18,1.318914
119.884707,13,1.331034
159.917448,17,1.346943
569.897626,58,1.401034
199.888241,21,1.431438
199.874378,21,1.451706
119.883081,13,1.46417
219.812209,23,1.486016
379.873313,39,1.522832
129.916072,14,1.536172
159.88855,17,1.55243
459.733545,47,1.597612
199.864449,21,1.622436
359.874133,37,1.657543
229.923033,24,1.680368
219.84313,23,1.703363
209.876697,22,1.72593
209.912373,22,1.748292
229.795834,24,1.771164
339.869432,35,1.830337
199.894699,21,1.850308
149.895934,16,1.86555
189.902981,20,1.884654
179.874102,19,1.902755
159.916897,17,1.918984
299.908162,31,1.948769
139.904842,15,1.963053
219.861368,23,1.984936
449.844285,46,2.031285
799.686399,81,2.107964
109.92265,12,2.119334
469.8447,48,2.164659
139.888595,15,2.191078
219.928363,23,2.212649
369.877792,38,2.248643
199.877821,21,2.268612
169.875403,18,2.285697
349.89532,36,2.320032
199.891041,21,2.339965
269.883195,28,2.366508
199.903598,21,2.386491
199.836051,21,2.406431
219.864804,23,2.428287
189.913002,20,2.447576
149.925772,16,2.462809
439.823947,45,2.505314
129.884723,14,2.51866
169.888302,18,2.573937
169.910044,18,2.591164
239.840017,25,2.614898
409.76924,42,2.660689
199.881035,21,2.68257
289.895953,30,2.714118
199.931536,21,2.736188
389.791201,40,2.798867
589.689703,60,2.856276
239.84183,25,2.880064
289.761409,30,2.908568
199.892473,21,2.928554
119.904656,13,2.941244
629.693063,64,3.012192
399.849544,41,3.051053
139.884244,15,3.065696
139.926827,15,3.079961
169.892714,18,3.097094
189.895776,20,3.116171
149.918827,16,3.131402
139.899221,15,3.15617
129.9065,14,3.169537
339.864265,35,3.203126
99.919364,11,3.213708
349.899157,36,3.247851
179.925604,19,3.265926
179.892254,19,3.284012
119.910749,13,3.296421
159.902325,17,3.312928
169.918628,18,3.330019
149.90109,16,3.34815
599.790283,61,3.405726
259.899022,27,3.431307
189.918105,20,3.451237
189.881935,20,3.470303
119.892002,13,3.482779
199.83518,21,3.502796
269.887043,28,3.550233
189.891254,20,3.56959
119.894187,13,3.582022
349.857482,36,3.616101
129.880989,14,3.629467
169.896969,18,3.646626
379.675713,39,3.683663
189.920152,20,3.703069
679.864432,69,3.779711
279.894457,29,3.807213
119.918647,13,3.820859
129.912367,14,3.835397
249.895588,26,3.862116
149.861775,16,3.878765
109.895547,12,3.891186
169.910041,18,3.909763
219.783109,23,3.936967
299.792923,31,3.969124
289.880772,30,4.00002
139.882056,15,4.015438
269.905531,28,4.044225
119.930474,13,4.057842
169.912383,18,4.075533
129.867099,14,4.088902
159.855846,17,4.105152
199.841255,21,4.135591
219.821988,23,4.157416
379.827262,39,4.194099
199.882532,21,4.214052
419.846689,43,4.254776
199.883721,21,4.274705
129.902037,14,4.317905
259.890784,27,4.341621
119.921781,13,4.35311
439.818886,45,4.392869
139.926247,15,4.405975
149.89778,16,4.419974
269.859116,28,4.44541
219.753471,23,4.467359
