optimgain,TimeElapsed,TimestepsSoFar,EpRewMean,EpLenMean,surrgain,Var_J,ev_tdlam_before,DiscEpRewMean,entloss,entropy,SampleRenyi2,J_hat,EpisodesSoFar,EpThisIter,meankl,Step_size
0.0177302,30.14149022102356,20000,220.826111975,22.9885057471,0.0177302,92.26522827148438,-0.000142455101013,206.527468035,,1.41438,1.03433,252.1805877685547,870,870,0.00970158,1.0
0.0194808,60.2876410484314,40000,274.104534716,28.28854314,0.0194808,98.54815673828125,-0.000887155532837,251.551697571,,1.40436,1.11965,312.25244140625,1577,707,0.00967906,1.0
0.0216357,93.4114191532135,60000,387.043663639,39.5256916996,0.0216357,633.0167846679688,-0.000462293624878,340.610617662,,1.37573,1.01413,456.97222900390625,2083,506,0.00972058,1.0
0.0247584,124.32688975334167,80000,657.418214938,66.4451827243,0.0247584,1951.169189453125,0.00113743543625,524.515773431,,1.35499,1.03159,686.8933715820312,2384,301,0.00957553,1.0
0.0163689,157.38008093833923,100000,1171.89190203,117.647058824,0.0163689,1938.9464111328125,0.00864207744598,826.087172007,,1.32326,4.35071,979.9085693359375,2554,170,0.00956293,1.0
0.00505042,186.7497432231903,120000,1650.73932239,165.289256198,0.00505042,2178.669921875,0.00347858667374,1078.07156523,,1.26172,13.9907,1058.45068359375,2675,121,0.0102736,1.0
0.00284043,218.24683475494385,140000,1693.17954237,169.491525424,0.00284043,4440.076171875,0.019118309021,1091.88369603,,1.22907,8.59271,989.18115234375,2793,118,0.00941248,1.0
0.00608899,251.07073307037354,160000,1597.7214019,160.0,0.00608899,2362.071044921875,-0.011482000351,1038.78412347,,1.20605,1.26672,1040.215576171875,2918,125,0.00938433,1.0
0.00201532,280.7236521244049,180000,1868.22512947,186.91588785,0.00201532,1104.0916748046875,-0.098451256752,1188.07818057,,1.21095,8.41601,1180.259521484375,3025,107,0.00888616,1.0
0.0038627,311.0941846370697,200000,1868.31339112,186.91588785,0.0038627,2044.065673828125,-0.0782202482224,1186.09600889,,1.21511,12.1438,1163.0308837890625,3132,107,0.00930361,1.0
0.00164092,343.7231249809265,220000,1816.98139957,181.818181818,0.00164092,1136.455078125,-0.264252305031,1159.30297228,,1.26433,8.33928,1195.139892578125,3242,110,0.00905949,1.0
0.00583198,375.5664143562317,240000,1817.07311454,181.818181818,0.00583198,2173.6611328125,-0.337763309479,1156.80261279,,1.24909,62.4782,1101.860107421875,3352,110,0.00895295,1.0
0.00170298,407.63152146339417,260000,1707.73922753,170.94017094,0.00170298,4121.62353515625,-0.490888357162,1097.37008619,,1.18659,83.4665,1016.1397094726562,3469,117,0.00887313,1.0
0.00512166,440.48060750961304,280000,1610.56334185,161.290322581,0.00512166,4574.26123046875,-0.56596493721,1035.15623395,,1.17316,1.00919,909.99853515625,3593,124,0.0100929,1.0
0.00251884,477.6812570095062,300000,1338.66976315,134.228187919,0.00251884,5536.06591796875,-0.76165664196,887.367460622,,1.15876,1.00122,878.9544067382812,3742,149,0.00970398,1.0
0.00274193,510.48128294944763,320000,1294.82381718,129.87012987,0.00274193,15158.57421875,-0.713358044624,861.325039554,,1.1364,54.3096,811.4365844726562,3896,154,0.00822369,1.0
0.00435375,545.240364074707,340000,1165.01121161,116.959064327,0.00435375,4578.67236328125,-0.72314453125,804.323266932,,1.09645,1.53711,894.7762451171875,4067,171,0.0100156,1.0
0.00265556,583.0224974155426,360000,1294.85137681,129.87012987,0.00265556,6974.71923828125,-0.796883106232,859.871535662,,1.10198,36.7245,922.5325927734375,4221,154,0.00948591,1.0
0.00338427,620.2448835372925,380000,1094.06781292,109.89010989,0.00338427,3004.609375,-0.689216852188,756.860941368,,1.0979,1.11025,735.971435546875,4403,182,0.00857626,1.0
0.00209589,658.6108376979828,400000,1064.69801615,106.951871658,0.00209589,2478.453125,-0.748268604279,734.710739586,,1.15316,43.6816,572.6140747070312,4590,187,0.00804027,1.0
0.00282646,696.9651122093201,420000,1064.64179555,106.951871658,0.00282646,5322.72021484375,-0.94723880291,738.695930028,,1.19891,2.02141,655.30029296875,4777,187,0.00863691,1.0
0.001889,734.4502856731415,440000,1031.02776831,103.626943005,0.001889,7095.982421875,-0.768370509148,725.468457675,,1.185,1.96718,742.9404296875,4970,193,0.00954015,1.0
0.00324199,773.2560486793518,460000,1036.6464647,104.166666667,0.00324199,2459.719970703125,-0.860622048378,728.359262754,,1.19115,1.4023,603.6104736328125,5162,192,0.00787136,1.0
0.00336481,812.2102956771851,480000,999.704653646,100.502512563,0.00336481,3490.626220703125,-0.947979092598,720.150817324,,1.13175,1.96395,718.4884643554688,5361,199,0.0100401,1.0
0.00267568,852.5001516342163,500000,999.762569046,100.502512563,0.00267568,9534.265625,-1.05128693581,718.000106825,,1.14575,1.12922,677.614013671875,5560,199,0.00866299,1.0
0.00170954,892.6301345825195,520000,999.745457369,100.502512563,0.00170954,1558.328369140625,-1.09539198875,732.21122136,,1.15691,1.70721,708.8152465820312,5759,199,0.00872757,1.0
0.00246084,931.6293187141418,540000,1020.44611045,102.564102564,0.00246084,2863.583984375,-1.08860993385,741.37137756,,1.19435,1.74946,783.01611328125,5954,195,0.00771466,1.0
0.00224415,971.9724071025848,560000,989.696325555,99.5024875622,0.00224415,1131.03564453125,-0.959044694901,743.219297844,,1.19012,1.75991,725.4574584960938,6155,201,0.00809379,1.0
