AvgEpLen,IterType,AvgRet,VarDiscRet,MaxVanillaIw,VanillaAvgRet,J,VarNormIw,VarVanillaIw,VarRet,MinVanillaIw,MaxNormIw,AvgNormIw,MinNormIw,BatchSize,ESSClassic,Bound,EpsThisIter,AvgDiscRet,eRenyi2,ESSRenyi,AvgVanillaIw,VarJ,Delta
497.39,1,4632.60718694,61324.2872412,1.19239,4632.60718694,4643.52,1.23215e-07,0.00496303,61324.2872412,0.694589,0.00594121,0.005,0.00346088,200,199.02404069,3649.37,100,4632.60718694,1.00477,199.050355639,1.00349,141.441,0.1
499.79,2,4651.52075624,918.900411569,1.0,4651.52075624,4651.52,3.50449e-18,,918.900411569,1.0,0.01,0.01,0.01,200,100.0,3248.95,100,4651.52075624,1.0,200.0,1.0,30.1614,0.1
497.67,1,4631.7354337,40245.3399495,1.12351,4631.7354337,4644.09,6.61854e-08,0.00266155,40245.3399495,0.782859,0.0056026,0.005,0.00390389,200,199.474475201,3651.12,100,4631.7354337,1.00233,199.534975437,1.00267,113.102,0.1
494.18,2,4595.6278698,141542.375989,1.0,4595.6278698,4595.63,3.50449e-18,,141542.375989,1.0,0.01,0.01,0.01,200,100.0,3193.17,100,4595.6278698,1.0,200.0,1.0,374.335,0.1
499.37,1,4649.83504317,4955.95017049,1.1865,4649.83504317,4634.82,2.92339e-07,0.0115507,4955.95017049,0.610373,0.00596909,0.005,0.00307068,200,197.699804875,3637.89,100,4649.83504317,1.01061,197.90060792,0.993872,171.746,0.1
500.0,2,4657.05253764,345.51901125,1.0,4657.05253764,4657.05,3.50449e-18,,345.51901125,1.0,0.01,0.01,0.01,200,100.0,3254.97,100,4657.05253764,1.0,200.0,1.0,18.495,0.1
493.2,1,4591.66816993,202822.751822,1.18959,4591.66816993,4636.45,2.62089e-07,0.0103255,202822.751822,0.520882,0.00599331,0.005,0.00262427,200,197.935260775,3639.87,100,4591.66816993,1.01003,198.014825722,0.992434,199.022,0.1
499.31,2,4651.50029329,3043.19485246,1.0,4651.50029329,4651.5,3.50449e-18,,3043.19485246,1.0,0.01,0.01,0.01,200,100.0,3248.56,100,4651.50029329,1.0,200.0,1.0,54.8886,0.1
497.31,1,4632.31946353,64445.2275668,1.13315,4632.31946353,4644.48,5.74191e-08,0.00230959,64445.2275668,0.78526,0.00564999,0.005,0.00391539,200,199.544087037,3651.26,100,4632.31946353,1.00241,199.519503949,1.00279,156.289,0.1
492.5,2,4580.25248905,242471.181398,1.0,4580.25248905,4580.25,3.50449e-18,,242471.181398,1.0,0.01,0.01,0.01,200,100.0,3178.13,100,4580.25248905,1.0,200.0,1.0,489.945,0.1
499.34,1,4647.97344093,5028.62198153,1.2316,4647.97344093,4631.31,3.90452e-07,0.0154211,5028.62198153,0.39337,0.0061972,0.005,0.00197937,200,196.939582517,3633.05,100,4647.97344093,1.01319,197.39622007,0.993673,202.63,0.1
500.0,2,4657.18135272,290.049536181,1.0,4657.18135272,4657.18,3.50449e-18,,290.049536181,1.0,0.01,0.01,0.01,200,100.0,3254.75,100,4657.18135272,1.0,200.0,1.0,16.9455,0.1
500.0,1,4657.14609793,279.121897316,1.02336,4657.14609793,4657.27,2.63095e-09,0.000105676,279.121897316,0.964419,0.0051062,0.005,0.00481209,200,199.979084709,3665.51,100,4657.14609793,1.00011,199.978926018,1.00208,16.5142,0.1
500.0,2,4656.09877725,207.91559592,1.0,4656.09877725,4656.1,3.50449e-18,,207.91559592,1.0,0.01,0.01,0.01,200,100.0,3253.98,100,4656.09877725,1.0,200.0,1.0,14.347,0.1
497.65,1,4633.19745854,31845.9518506,1.0768,4633.19745854,4647.55,8.00225e-08,0.0031715,31845.9518506,0.708291,0.00540889,0.005,0.00355783,200,199.365034051,3654.54,100,4633.19745854,1.00262,199.47701716,0.995397,94.844,0.1
498.7,2,4643.51031257,16625.1809918,1.0,4643.51031257,4643.51,3.50449e-18,,16625.1809918,1.0,0.01,0.01,0.01,200,100.0,3240.97,100,4643.51031257,1.0,200.0,1.0,128.292,0.1
500.0,1,4654.27906721,463.953459523,1.06226,4654.27906721,4649.96,2.93583e-08,0.0011686,463.953459523,0.859433,0.00532432,0.005,0.00430768,200,199.766552588,3657.71,100,4654.27906721,1.00102,199.796930715,0.997557,80.1683,0.1
498.6,2,4641.23693609,11733.4461233,1.0,4641.23693609,4641.24,3.50449e-18,,11733.4461233,1.0,0.01,0.01,0.01,200,100.0,3238.7,100,4641.23693609,1.0,200.0,1.0,107.778,0.1
498.18,1,4638.08928768,24490.4663064,1.11192,4638.08928768,4642.86,1.14899e-07,0.00450668,24490.4663064,0.745583,0.00561441,0.005,0.00376467,200,199.089547916,3649.62,100,4638.08928768,1.00303,199.396339721,0.990238,109.182,0.1
498.79,2,4645.21530692,14887.8840465,1.0,4645.21530692,4645.22,3.50449e-18,,14887.8840465,1.0,0.01,0.01,0.01,200,100.0,3242.88,100,4645.21530692,1.0,200.0,1.0,121.404,0.1
493.61,1,4594.62945169,177814.277672,1.36236,4594.62945169,4637.04,4.32509e-07,0.0171631,177814.277672,0.392136,0.00683897,0.005,0.0019685,200,196.615467306,3639.0,100,4594.62945169,1.01303,197.428299159,0.996024,166.241,0.1
500.0,2,4654.88753706,604.721716021,1.0,4654.88753706,4654.89,3.50449e-18,,604.721716021,1.0,0.01,0.01,0.01,200,100.0,3252.55,100,4654.88753706,1.0,200.0,1.0,24.4678,0.1
500.0,1,4654.77867575,365.129085407,1.02824,4654.77867575,4655.12,1.10461e-08,0.000439906,365.129085407,0.869843,0.0051525,0.005,0.00435879,200,199.912142649,3663.38,100,4654.77867575,1.00027,199.945798308,0.997804,21.0568,0.1
497.91,2,4637.53291727,32937.1926412,1.0,4637.53291727,4637.53,3.50449e-18,,32937.1926412,1.0,0.01,0.01,0.01,200,100.0,3234.89,100,4637.53291727,1.0,200.0,1.0,180.576,0.1
497.63,1,4635.6895436,51941.5388421,1.15747,4635.6895436,4644.23,2.04754e-07,0.00805744,51941.5388421,0.644733,0.00583483,0.005,0.0032501,200,198.383365983,3649.15,100,4635.6895436,1.00658,198.692321257,0.991865,135.761,0.1
500.0,2,4656.79265178,358.150768302,1.0,4656.79265178,4656.79,3.50449e-18,,358.150768302,1.0,0.01,0.01,0.01,200,100.0,3254.4,100,4656.79265178,1.0,200.0,1.0,18.83,0.1
492.27,1,4583.44019888,175741.721778,1.23212,4583.44019888,4638.15,4.16063e-07,0.0167112,175741.721778,0.321239,0.00614791,0.005,0.00160289,200,196.742072456,3639.89,100,4583.44019888,1.01339,197.357720349,1.00206,161.75,0.1
500.0,2,4659.19100951,228.208874671,1.0,4659.19100951,4659.19,3.50449e-18,,228.208874671,1.0,0.01,0.01,0.01,200,100.0,3256.78,100,4659.19100951,1.0,200.0,1.0,15.0309,0.1
500.0,1,4656.10396124,854.085363401,1.03147,4656.10396124,4657.92,7.89207e-09,0.000316639,854.085363401,0.896373,0.00514956,0.005,0.00447509,200,199.937212388,3666.13,100,4656.10396124,1.00029,199.942319344,1.00151,21.5586,0.1
500.0,2,4655.85282971,370.026912336,1.0,4655.85282971,4655.85,3.50449e-18,,370.026912336,1.0,0.01,0.01,0.01,200,100.0,3253.24,100,4655.85282971,1.0,200.0,1.0,19.1397,0.1
