ESSClassic,VarDiscRet,MinNormIw,ESSRenyi,J,VanillaAvgRet,AvgEpLen,BatchSize,MaxVanillaIw,Delta,AvgRet,AvgVanillaIw,MinVanillaIw,MaxNormIw,AvgNormIw,IterType,AvgDiscRet,VarNormIw,VarJ,EpsThisIter,eRenyi2,VarRet,Bound,VarVanillaIw
16.8515301719,23344.6619147,1.28004e-39,13.2701273055,-90.9743,-309.32856151,379.06,100,10.2738,0.8,-309.32856151,1.20129,1.53769e-37,0.085523,0.01,1,-309.32856151,0.000498402,43.6514,100,7.53572,23344.6619147,-148.23,7.19241
58.2115625494,7924.75485278,0.000320352,60.2776075577,-90.3915,-103.960404596,142.36,100,5.66385,0.8,-103.960404596,1.11695,0.0357818,0.0507081,0.01,1,-103.960404596,7.25123e-05,85.26,100,1.65899,7924.75485278,-117.256,0.904651
34.5466778599,9141.43654648,7.35345e-15,37.8530279054,-74.4261,-102.027895502,138.33,100,4.44059,0.8,-102.027895502,0.892256,6.56116e-13,0.0497681,0.01,1,-102.027895502,0.000191377,28.9564,100,2.6418,9141.43654648,-108.326,1.52359
73.0438433262,8021.85636955,0.000575395,76.9326882266,-90.3955,-97.5950847717,134.09,100,2.01739,0.8,-97.5950847717,0.929182,0.0534646,0.0217114,0.01,1,-97.5950847717,3.72769e-05,62.3904,100,1.29984,8021.85636955,-114.175,0.321841
59.1871053222,8029.3711344,4.2373e-05,61.1069625783,-82.9711,-95.3677603413,131.42,100,3.53578,0.8,-95.3677603413,0.978186,0.00414487,0.0361463,0.01,1,-95.3677603413,6.96522e-05,69.8553,100,1.63647,8029.3711344,-109.652,0.666465
65.7107116728,3728.7452114,1.22217e-05,64.9780215456,-71.7564,-79.4122047497,111.74,100,2.54837,0.8,-79.4122047497,1.01468,0.0012401,0.0251151,0.01,1,-79.4122047497,5.27093e-05,33.6282,100,1.53898,3728.7452114,-97.6251,0.542678
1.77439589593,12155.2802894,0.000364532,9.39236981023,-80.0629,-79.4122047497,111.74,200,806.385,0.8,-79.4122047497,10.7647,0.392407,0.749103,0.01,,-106.321190725,0.00559164,157.232,100,21.2939,3728.7452114,-176.309,6479.49
97.9729114235,3739.84373563,1.27595e-08,105.510080935,-71.5925,-81.3523688993,114.98,200,3.17392,0.8,-81.3523688993,0.903739,2.30626e-06,0.0175599,0.005,1,-81.3523688993,2.61653e-05,38.3408,100,1.89555,3739.84373563,-91.8973,0.854817
100.0,4879.88200382,0.01,200.0,-83.2926,-83.2926217192,116.6,200,1.0,0.8,-83.2926217192,1.0,1.0,0.01,0.01,2,-83.2926217192,3.50449e-18,69.506,100,1.0,4879.88200382,-104.149,
118.957127776,8199.21405182,2.84281e-06,119.943792933,-81.4218,-91.0832827407,125.01,200,4.7415,0.8,-91.0832827407,0.934675,0.00053142,0.0253644,0.005,1,-91.0832827407,1.71175e-05,81.7446,100,1.66745,8199.21405182,-100.466,0.598167
