ESSClassic,MaxVanillaIw,VarNormIw,MinVanillaIw,VarRet,VarVanillaIw,BatchSize,Delta,AvgEpLen,AvgNormIw,VanillaAvgRet,J,AvgDiscRet,AvgVanillaIw,MinNormIw,VarDiscRet,Bound,EpsThisIter,VarJ,eRenyi2,IterType,AvgRet,MaxNormIw,ESSRenyi
200.000000102,1.0,2.1793e-19,1.0,338.705784579,,500,0.9,500.0,0.005,6.35922561046,2.43466,6.35922561046,1.0,0.005,338.705784579,1.42089,100,14.224,1.0,2,6.35922561046,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,87.3227945083,,500,0.9,500.0,0.00333333,-0.560073282706,1.43641,-0.560073282706,1.0,0.00333333,87.3227945083,0.608679,100,12.8721,1.0,2,-0.560073282706,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,62.0436571072,,500,0.9,500.0,0.0025,1.53507306077,1.46108,1.53507306077,1.0,0.0025,62.0436571072,0.744239,100,11.8163,1.0,2,1.53507306077,0.0025,500.0
10.1693741194,1311.15,0.000193055,0.00080763,40.0773605556,33750.6,500,0.9,500.0,0.002,-4.00155925252,42.6836,-4.00155925252,26.4442,6.10819e-08,40.0773605556,40.6359,100,2.35863,10.1999,1,-4.00155925252,0.0991636,49.0202412509
100.0,1.0,3.50449e-18,1.0,130.834428961,,500,0.9,500.0,0.01,5.59696478598,5.59696,5.59696478598,1.0,0.01,130.834428961,4.84862,100,11.381,1.0,2,5.59696478598,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,171.466897606,,500,0.9,500.0,0.005,7.99016364252,6.79356,7.99016364252,1.0,0.005,171.466897606,6.22751,100,12.2911,1.0,2,7.99016364252,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,133.498346955,,500,0.9,500.0,0.00333333,4.43164796138,6.00626,4.43164796138,1.0,0.00333333,133.498346955,5.39872,100,12.0834,1.0,2,4.43164796138,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,187.262947956,,500,0.9,500.0,0.0025,2.8162737579,5.20876,2.8162737579,1.0,0.0025,187.262947956,4.68262,100,12.5603,1.0,2,2.8162737579,0.0025,500.0
10.3309375381,2176.32,0.000189973,0.00251725,49.4463106434,92957.5,500,0.9,500.0,0.002,3.81497951791,31.2329,3.81497951791,44.2411,1.13797e-07,49.4463106434,30.2381,100,2.39204,4.46797,1,3.81497951791,0.0983848,111.907528072
100.0,1.0,3.50449e-18,1.0,423.455550959,,500,0.9,500.0,0.01,12.0244719058,12.0245,12.0244719058,1.0,0.01,423.455550959,10.7136,100,20.4749,1.0,2,12.0244719058,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,84.5265902822,,500,0.9,500.0,0.005,0.993196536438,6.50883,0.993196536438,1.0,0.005,84.5265902822,5.58187,100,16.7891,1.0,2,0.993196536438,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,185.986491098,,500,0.9,500.0,0.00333333,4.46629934905,5.82799,4.46629934905,1.0,0.00333333,185.986491098,5.07113,100,15.8183,1.0,2,4.46629934905,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,299.937307705,,500,0.9,500.0,0.0025,6.97907628189,6.11576,6.97907628189,1.0,0.0025,299.937307705,5.45724,100,16.1909,1.0,2,6.97907628189,0.0025,500.0
12.4967315013,1109.22,0.000156355,0.000153407,514.485213467,28850.0,500,0.9,500.0,0.002,15.084924789,50.0842,15.084924789,27.1674,1.12934e-08,514.485213467,48.0355,100,3.7082,7.36266,1,15.084924789,0.0816585,67.9102439954
100.0,1.0,3.50449e-18,1.0,189.649198754,,500,0.9,500.0,0.01,5.11881511938,5.11882,5.11881511938,1.0,0.01,189.649198754,4.42525,100,13.7023,1.0,2,5.11881511938,0.01,500.0
