VarDiscRet,ESSClassic,VarVanillaIw,MinVanillaIw,MinNormIw,eRenyi2,MaxVanillaIw,VarRet,AvgEpLen,VarNormIw,J,ESSRenyi,AvgNormIw,MaxNormIw,AvgDiscRet,Bound,VanillaAvgRet,AvgRet,VarJ,BatchSize,AvgVanillaIw
23535.533426901693,1.1777733040729663,36.394913,3.7777266e-34,5.764864e-36,26.349657,60.359043,23535.533426901693,11.99,0.008475352,1063.2072,3.7951158065232753,0.01,0.92108744,109.84167400185963,570.7793,109.84167400185963,109.84167400185963,742.7456,100,0.655302
73521.81822018065,1.4062963330459886,135.9968,1.1560381e-26,8.3421174e-29,20.3557,116.65363,73521.81822018065,28.82,0.0070816954,1422.766,4.912629006313477,0.010000003,0.84178746,278.0736677645101,815.33514,278.0736677645101,278.0736677645101,1563.8853,100,1.3857849
112565.90947065366,6.9069529563059415,15.493561,1.5926203e-17,1.4929126e-19,8.14599,24.89568,112565.90947065366,43.83,0.0013614309,1132.7197,12.275978172937673,0.01,0.23337059,428.15650240310157,770.0583,428.15650240310157,428.15650240310157,854.0587,100,1.0667874
114186.1867617804,4.799334356311715,45.066166,3.2973016e-10,2.1985948e-12,4.197723,66.08358,114186.1867617804,80.82,0.0020036593,1148.7673,23.822439474999214,0.01,0.44063613,797.9537884450233,807.3867,797.9537884450233,797.9537884450233,927.1504,100,1.4997313
92132.91624709623,1.8617494238323906,36.8698,1.2645065e-19,1.5195907e-21,15.57403,60.432194,92132.91624709623,95.13,0.0053245383,1727.6774,6.420945670306102,0.009999999,0.72622955,941.0375024376617,1100.0029,941.0375024376617,941.0375024376617,1215.316,100,0.8321362
178011.8995857197,2.0350548716735433,53.35049,1.02647086e-23,9.799573e-26,23.471167,71.8808,178011.8995857197,111.32,0.0048624966,2254.7646,4.2605466382883765,0.01,0.68623585,1102.9224226041335,1202.8235,1102.9224226041335,1102.9224226041335,2422.69,100,1.0474648
449798.77966442786,1.539904352468586,156.22218,9.135499e-26,5.8739014e-28,18.428656,125.005974,449798.77966442786,138.05,0.0064584967,3331.7078,5.426331797510702,0.0100000035,0.80375767,1370.150594086615,1984.0923,1370.150594086615,1370.150594086615,3342.6655,100,1.5552695
351123.80491171643,1.8845430382998505,19.647022,,,17.03781,42.238308,351123.80491171643,155.99,0.005258914,3094.5361,5.869299146206211,0.01,0.6910447,1549.5225401731168,1760.5588,1549.5225401731168,1549.5225401731168,3601.5874,100,0.611224
133442.64127177204,73.93187979665328,0.35021183,0.02482096,0.00025030787,1.3466225,2.383974,133442.64127177204,144.28,3.5615794e-05,1495.4236,74.2598630629814,0.01,0.024041275,1432.4492989380262,1248.3365,1432.4492989380262,1432.4492989380262,383.06238,100,0.9916172
182917.33798943346,1.6505639275975081,243.17862,5.342007e-16,2.6576267e-18,11.177742,156.02324,182917.33798943346,139.73,0.0060187243,2378.7542,8.946350699513818,0.010000002,0.77620924,1386.9170422596517,1627.4828,1386.9170422596517,1386.9170422596517,2051.0774,100,2.0100667
258476.72328740772,3.6693258119296037,92.358765,4.3347398e-26,2.3227132e-28,9.440846,91.15339,258476.72328740772,144.78,0.002651815,2212.4692,10.59227057678486,0.010000003,0.4884334,1437.4216189209023,1428.9393,1437.4216189209023,1437.4216189209023,2680.0757,100,1.8662399
278389.9227445306,1.9967540640925736,48.361946,1.4119916e-30,1.4296198e-32,20.185482,68.53114,278389.9227445306,147.03,0.0049577043,3037.436,4.954055586853111,0.009999999,0.6938673,1459.9271147677534,1702.6753,1459.9271147677534,1459.9271147677534,3618.1882,100,0.9876693
217425.2137453168,84.1884989678972,0.19314359,0.14331211,0.0014203165,1.1620122,1.9610556,217425.2137453168,145.29,1.8970763e-05,1477.9844,86.05761482365264,0.01,0.01943534,1442.5154873483862,1193.116,1442.5154873483862,1442.5154873483862,477.8466,100,1.0090153
