ESSRenyi,renyi2,MinNormIw,delta,AvgEpLen,ESSClassic,BatchSize,VarNormIw,AvgNormIw,MaxNormIw,J,VarJ,SamplesThisIter,MinVanillaIw,VanillaAvgRet,AvgVanillaIw,VarRet,AvgRet,VarVanillaIw,AvgDiscRet,MaxVanillaIw,IterType,EpsThisIter,VarDiscRet,Bound
nan,nan,1.38473e-06,0.4,500.0,0.724377291219,100,7.51863e-10,5.52486e-05,0.000174504,15041.2,89.4302,50000,0.0245462,80.4053789552,0.979352,51.993426004,80.4053789552,0.236251,80.4053789552,3.09331,1,100,51.993426004,70.9875
nan,nan,4.99531e-07,0.4,500.0,0.84747681901,100,1.1288e-09,5.52486e-05,0.000199193,14826.8,105.134,50000,0.00839639,78.0134112543,0.928648,77.9693217132,78.0134112543,0.318916,78.0134112543,3.34814,1,100,77.9693217132,69.6277
nan,nan,3.68189e-07,0.4,500.0,0.847427274913,100,7.50219e-10,5.52486e-05,0.000155194,15130.4,79.1401,50000,0.00671683,81.0330469773,1.00789,49.6763181353,81.0330469773,0.249675,81.0330469773,2.83118,1,100,49.6763181353,71.8385
nan,nan,1.43496e-07,0.4,500.0,0.842661547396,100,9.02402e-10,5.52486e-05,0.000164116,14861.2,87.1424,50000,0.00244405,78.8142022418,0.941005,90.0511857054,78.8142022418,0.261782,78.8142022418,2.79526,1,100,90.0511857054,70.5263
nan,nan,1.21637e-06,0.4,500.0,0.853338996663,100,5.62729e-10,5.52486e-05,0.000165124,14856.7,70.9755,50000,0.0221568,80.0633599688,1.00638,40.2290412795,80.0633599688,0.186716,80.0633599688,3.00781,1,100,40.2290412795,70.3261
nan,nan,1.01702e-06,0.4,500.0,0.754243679062,100,5.72587e-10,5.52486e-05,0.000145723,15032.5,72.32,50000,0.0182856,81.0206667172,0.993341,38.5518605536,81.0206667172,0.185095,81.0206667172,2.62002,1,100,38.5518605536,71.3957
nan,nan,1.46106e-07,0.4,500.0,0.881668453708,100,8.64044e-10,5.52486e-05,0.00018304,15195.9,93.0488,50000,0.0026624,81.0056857013,1.00676,64.2617327187,81.0056857013,0.286908,81.0056857013,3.33542,1,100,64.2617327187,71.7775
nan,nan,8.51885e-08,0.4,500.0,0.875146853018,100,9.82607e-10,5.52486e-05,0.000176548,15180.2,88.9446,50000,0.00148018,80.3140719451,0.959961,76.9202279421,80.3140719451,0.29665,80.3140719451,3.06758,1,100,76.9202279421,71.8537
nan,nan,2.0949e-07,0.4,500.0,0.86759009274,100,6.51095e-10,5.52486e-05,0.00017749,15254.5,87.6169,50000,0.00371196,81.7818344582,0.97895,55.8725661408,81.7818344582,0.204419,81.7818344582,3.14494,1,100,55.8725661408,71.9507
nan,nan,9.78111e-07,0.4,500.0,0.808851108387,100,6.07544e-10,5.52486e-05,0.000156488,15120.2,71.7314,50000,0.0171105,81.3280470502,0.966488,45.238425857,81.3280470502,0.185921,81.3280470502,2.73751,1,100,45.238425857,71.689
nan,nan,6.76209e-07,0.4,500.0,0.855697729517,100,8.28808e-10,5.52486e-05,0.000195214,14987.3,96.5881,50000,0.0120738,79.8078333401,0.986467,66.4850735728,79.8078333401,0.264227,79.8078333401,3.48555,1,100,66.4850735728,70.5121
nan,nan,1.65801e-07,0.4,500.0,0.834542281785,100,8.4762e-10,5.52486e-05,0.000153745,15087.8,79.6539,50000,0.00298118,80.2863422917,0.993392,75.4858410694,80.2863422917,0.274031,80.2863422917,2.7644,1,100,75.4858410694,71.7877
nan,nan,6.24339e-07,0.4,500.0,0.765924339663,100,7.85633e-10,5.52486e-05,0.000160598,15277.8,84.005,50000,0.0109407,81.509491731,0.968157,62.2736303225,81.509491731,0.241251,81.509491731,2.81426,1,100,62.2736303225,72.4511
nan,nan,4.43785e-07,0.4,500.0,0.888317248811,100,6.64823e-10,5.52486e-05,0.000157338,15334.8,77.0345,50000,0.00798291,82.2740628464,0.993827,57.0836627251,82.2740628464,0.215122,82.2740628464,2.83023,1,100,57.0836627251,72.9367
nan,nan,1.30945e-06,0.4,500.0,0.801800540278,100,6.08049e-10,5.52486e-05,0.000147514,15426.5,72.4389,50000,0.023875,83.0976790553,1.00734,40.1116881277,83.0976790553,0.202138,83.0976790553,2.68961,1,100,40.1116881277,73.3515
nan,nan,7.10261e-07,0.4,500.0,0.731286594928,100,5.8909e-10,5.52486e-05,0.000158939,15063.3,84.4607,50000,0.0130636,80.9990277855,1.01617,51.3164017118,80.9990277855,0.199282,80.9990277855,2.92331,1,100,51.3164017118,71.3966
nan,nan,1.17421e-06,0.4,500.0,0.754387050751,100,5.54553e-10,5.52486e-05,0.000140426,15186.8,68.2627,50000,0.0210234,81.9475150385,0.989191,36.8119003816,81.9475150385,0.177771,81.9475150385,2.51423,1,100,36.8119003816,72.204
nan,nan,2.66526e-07,0.4,500.0,0.920730135181,100,8.78155e-10,5.52486e-05,0.000172414,15279.4,90.1824,50000,0.00483321,81.1256064383,1.00188,96.935316086,81.1256064383,0.288777,81.1256064383,3.12658,1,100,96.935316086,72.5511
nan,nan,1.08575e-06,0.4,500.0,0.745575817265,100,6.28977e-10,5.52486e-05,0.000132302,15315.4,70.1761,50000,0.0193133,82.4048885638,0.982765,42.7848241942,82.4048885638,0.199018,82.4048885638,2.35339,1,100,42.7848241942,73.0095
nan,nan,4.97009e-07,0.4,500.0,0.885197208467,100,6.81293e-10,5.52486e-05,0.000148806,15511.5,71.4859,50000,0.00880915,83.270947656,0.979244,47.3043762852,83.270947656,0.214029,83.270947656,2.63748,1,100,47.3043762852,73.8561
nan,nan,7.37243e-07,0.4,500.0,0.795583584656,100,7.71661e-10,5.52486e-05,0.000166411,15095.6,91.9665,50000,0.0133624,80.659025803,1.00137,56.1341141871,80.659025803,0.253497,80.659025803,3.01617,1,100,56.1341141871,71.3549
nan,nan,1.71612e-06,0.4,500.0,0.745247473928,100,5.38968e-10,5.52486e-05,0.000126303,15548.8,64.8511,50000,0.0306442,84.0476663221,0.986553,34.8008992667,84.0476663221,0.171855,84.0476663221,2.25534,1,100,34.8008992667,74.2411
nan,nan,2.26447e-07,0.4,500.0,0.994381950216,100,8.5058e-10,5.52486e-05,0.000159576,15285.5,79.0175,50000,0.00382055,80.3855905674,0.932138,200.400787645,80.3855905674,0.242122,80.3855905674,2.69232,1,100,200.400787645,72.8372
nan,nan,3.94437e-07,0.4,500.0,0.851212120738,100,9.03621e-10,5.52486e-05,0.000162675,15413.7,83.0765,50000,0.00686246,81.7256066018,0.961221,84.0891349412,81.7256066018,0.273521,81.7256066018,2.83023,1,100,84.0891349412,73.2311
nan,nan,3.644e-06,0.4,500.0,0.706521644537,100,5.02764e-10,5.52486e-05,0.00013905,15264.5,68.0054,50000,0.0653167,82.6073886799,0.990301,30.2000765107,82.6073886799,0.161531,82.6073886799,2.4924,1,100,30.2000765107,72.4537
nan,nan,7.2478e-07,0.4,500.0,0.838850886052,100,8.02847e-10,5.52486e-05,0.000178849,15485.6,88.1259,50000,0.0129079,82.4772890868,0.983947,70.5581327584,82.4772890868,0.254644,82.4772890868,3.1852,1,100,70.5581327584,73.2419
nan,nan,1.44729e-06,0.4,500.0,0.720306442822,100,6.58291e-10,5.52486e-05,0.000146667,15412.1,77.8705,50000,0.0263293,82.7732153583,1.00509,50.4067665567,82.7732153583,0.217863,82.7732153583,2.66819,1,100,50.4067665567,73.2282
